p,matched_rules,true_label,pred_label,score
1,"IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.; IF a person discusses seemingly spontaneous and fun experiences with friends, THEN openness is likely High because this conveys adaptability and a willingness to embrace new opportunities.; IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.",High,High,1
2,"IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.; IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.; IF a person shares playful and spontaneous language about social events, THEN openness is likely High because this indicates an adventurous spirit and readiness to embrace new experiences.",High,High,1
3,"IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.; IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.",Low,Low,1
4,"IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.; IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.; IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.",High,High,1
5,"IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.; IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.",Low,Low,1
6,"IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.; IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.; IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.",Moderate,High,0
7,"IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.; IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.",Low,Low,1
8,"IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.; IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.",Moderate,Low,0
9,"IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.; IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.; IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.",High,Moderate,0
10,"IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.; IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.; IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.",Moderate,Moderate,1
11,"IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.; IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.",Moderate,Moderate,1
12,"IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.; IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.; IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.",Low,Moderate,0
13,"IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.; IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.; IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.; IF a person discusses seemingly spontaneous and fun experiences with friends, THEN openness is likely High because this conveys adaptability and a willingness to embrace new opportunities.",Moderate,High,0
14,"IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.; IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.",High,Low,0
15,"IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.; IF a person shares details about trying new activities or experiences in a post, THEN openness is likely High because this demonstrates a willingness to explore and engage with the world.; IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.; IF a person discusses seemingly spontaneous and fun experiences with friends, THEN openness is likely High because this conveys adaptability and a willingness to embrace new opportunities.",High,High,1
16,"IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.; IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.; IF a person discusses seemingly spontaneous and fun experiences with friends, THEN openness is likely High because this conveys adaptability and a willingness to embrace new opportunities.",Moderate,High,0
17,"IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.; IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.; IF a person shares playful and spontaneous language about social events, THEN openness is likely High because this indicates an adventurous spirit and readiness to embrace new experiences.",High,High,1
18,"IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.; IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.; IF a person shares playful and spontaneous language about social events, THEN openness is likely High because this indicates an adventurous spirit and readiness to embrace new experiences.; IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.",Moderate,High,0
19,"IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.; IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.; IF a person shares playful and spontaneous language about social events, THEN openness is likely High because this indicates an adventurous spirit and readiness to embrace new experiences.",High,High,1
20,"IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.; IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.",High,Low,0
21,"IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.",Low,Low,1
22,"IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.; IF a person uses enthusiastic and detailed language to describe a social event or gathering in a post, THEN openness is likely High because this indicates engagement with new experiences and enjoyment of diverse activities.",Moderate,High,0
23,"IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.; IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.",Moderate,Moderate,1
24,"IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.",High,Low,0
25,"IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.; IF a person enthusiastically shares specific details about new activities or experiences in a post, THEN openness is likely High because this demonstrates a readiness to try new things and engage with different environments.",Moderate,High,0
26,"IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.; IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.",Moderate,Moderate,1
27,"IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.",Moderate,Low,0
