p,matched_rules,true_label,pred_label,score
1,"IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.; IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.",High,High,1
2,"IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.; IF a person indicates that they operate within a familiar routine and demonstrate reluctance towards new social settings, THEN openness is likely Low because this suggests a closed disposition toward experiences.",High,Low,0
3,"IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.; IF a person indicates that they operate within a familiar routine and demonstrate reluctance towards new social settings, THEN openness is likely Low because this suggests a closed disposition toward experiences.",Low,Low,1
4,"IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.; IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.; IF a person indicates that they operate within a familiar routine and demonstrate reluctance towards new social settings, THEN openness is likely Low because this suggests a closed disposition toward experiences.",High,Low,0
5,"IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.; IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.",Low,Low,1
6,"IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.; IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.",Moderate,Moderate,1
7,"IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.; IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.; IF a person indicates that they operate within a familiar routine and demonstrate reluctance towards new social settings, THEN openness is likely Low because this suggests a closed disposition toward experiences.",Low,Low,1
8,"IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.; IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.",Moderate,Low,0
9,"IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.; IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.",High,High,1
10,"IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.; IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.; IF a person indicates that they operate within a familiar routine and demonstrate reluctance towards new social settings, THEN openness is likely Low because this suggests a closed disposition toward experiences.",Moderate,Low,0
11,"IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.; IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.",Moderate,Low,0
12,"IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.; IF a person uses language that emphasizes a lack of new experiences and focuses only on unchanging friendships, THEN openness is likely Low because this suggests resistance to change and a closed mindset.",Low,Low,1
13,"IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.; IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.",Moderate,High,0
14,"IF a person emphasizes a lack of new experiences and focuses only on unchanging friendships, THEN openness is likely Low because this suggests resistance to change and a closed mindset.; IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.",High,Low,0
15,"IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.; IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.; IF a person discusses meeting new acquaintances and expresses affection towards them, THEN openness is likely High because this indicates a positive attitude towards new relationships.",High,High,1
16,"IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.; IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.",Moderate,High,0
17,"IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.; IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.",High,High,1
18,"IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.; IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.",Moderate,High,0
19,"IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.; IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.",High,Moderate,0
20,"IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.; IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.",High,Low,0
21,"IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.; IF a person expresses enjoyment while participating in activities such as bowling or karaoke, demonstrating engagement with new experiences, THEN openness is likely High because they are seeking varied and adventurous interactions.; IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.",Low,Moderate,0
22,"IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.; IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.",Moderate,Low,0
23,"IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.; IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.; IF a person mentions past experiences and good times in a way that suggests a focus on what they have already done rather than anticipating new adventures, THEN openness is likely Low because it reflects a lack of interest in change or novelty.",Moderate,Low,0
