p,true_label,few_shot_pred,few_shot_score,zero_shot_pred,zero_shot_score
1,High,High,1,High,1
4,Moderate,High,0,High,0
5,Low,High,0,High,0
8,Moderate,High,0,High,0
9,Moderate,Moderate,1,High,0
13,Moderate,High,0,High,0
17,High,High,1,High,1
19,Moderate,High,0,High,0
24,High,High,1,High,1
26,High,High,1,High,1
30,Low,High,0,High,0
31,High,High,1,High,1
33,Low,High,0,High,0
34,Moderate,Moderate,1,High,0
46,Moderate,High,0,High,0
49,Moderate,High,0,High,0
51,High,High,1,High,1
52,Low,Moderate,0,High,0
53,Moderate,High,0,High,0
56,Moderate,High,0,High,0
2,High,High,1,High,1
7,High,High,1,High,1
12,Moderate,High,0,High,0
15,High,High,1,High,1
16,Low,Moderate,0,High,0
18,Low,High,0,High,0
21,Low,High,0,High,0
22,Low,Moderate,0,High,0
23,Low,High,0,High,0
25,Moderate,High,0,High,0
28,Low,High,0,High,0
32,Moderate,High,0,High,0
37,Moderate,Moderate,1,Moderate,1
38,Low,Moderate,0,High,0
39,Moderate,High,0,High,0
42,High,High,1,High,1
44,Low,High,0,High,0
57,Low,Low,1,Moderate,0
58,Low,Moderate,0,High,0
59,High,High,1,High,1
3,Moderate,High,0,High,0
6,High,Moderate,0,High,1
10,High,High,1,High,1
11,Low,High,0,High,0
14,High,High,1,High,1
20,High,Moderate,0,High,1
27,Low,Low,1,Moderate,0
29,Moderate,Moderate,1,High,0
35,High,Moderate,0,High,1
36,High,High,1,High,1
40,Moderate,Moderate,1,High,0
41,High,Moderate,0,High,1
43,Low,High,0,High,0
45,Moderate,Moderate,1,High,0
47,High,Moderate,0,High,1
48,Low,High,0,High,0
50,Low,Moderate,0,High,0
54,High,Moderate,0,High,1
55,Moderate,High,0,High,0
60,Low,Moderate,0,Moderate,0
