p,post1,post2,true_label,matched_rules,matched_behaviours,pred_rule_based,category_counts,score_rules
1,OMG we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night,I just want to shout out happy birthday to my amazing husband he always does everything for us and gets up and goes to work and works hard everyday to provide everything that we need I just want to say I'm so grateful for him and everything he has done for me and our children and I will continue to be grateful everyday,High,"['IF a person describes engaging in social activities that involve interaction and connection with others, THEN extraversion is likely High because it indicates comfort and enjoyment in social settings.', 'IF a person shares experiences of communicating and connecting with others, then they are likely High in extraversion since such behavior indicates enjoyment and proficiency in social interactions.', 'IF a person expresses appreciation or affection for others, followed by recognition of their efforts or achievements, THEN this might indicate a High level of extraversion as it reflects positive social relations.']","['we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention.', ""he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since."", 'I just want to shout out happy birthday to my amazing husband he always does everything for us.']",High,{'Uncategorized': 3},1
3,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Moderate,"['IF a person describes spending time with friends in a social setting, THEN extraversion is likely High because this indicates enjoyment of companionship and social interaction.', 'IF a person talks about celebrating important events or wishes someone well in a personalized way, THEN extraversion is likely High because this reflects a focus on relationships and social connections.', 'IF a person expresses affection and appreciation for another person in a heartfelt manner, THEN extraversion is likely High because this indicates a strong orientation towards emotional connections with others.']","['We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out.', 'Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship.', 'Love you forever and always xx Your the most gentle person ever and make me the happiest girl alive.']",High,{'Uncategorized': 3},0
5,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Low,"['IF a person expresses joy in connecting with friends and cherishes past experiences, THEN extraversion is likely High because this reflects a warm and sociable nature.', 'IF a person actively expresses affection and appreciation for their close relationships, THEN extraversion is likely High because this indicates a strong emotional connection and engagement with others.']","['Lovely to catch up with some old friends and reminisce on childhood memories!', 'To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side.']",High,{'Uncategorized': 2},0
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"['IF a person expresses excitement about reuniting with friends, THEN extraversion is likely High because this reflects a strong enjoyment of social interactions.', 'IF a person shows joy in celebrating others or their life milestones, THEN extraversion is likely High as it demonstrates a positive attitude towards social relationships.', 'IF a person reflects on enjoyable past relationships and encourages others to connect socially, THEN extraversion is likely High as it indicates a preference for socializing.']","['I have reunited with my childhood friends and I was so excited.', 'I am so happy to see you growing up bit by bit.', 'I totally recommend if you can do it as the feeling of meeting someone you used to play with is unforgettable.']",High,{'Uncategorized': 3},1
7,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,High,"['IF a person expresses enjoyment from being with friends and highlights shared experiences, THEN extraversion is likely High because this reflects a strong inclination towards social engagement.', 'IF a person mentions celebrating and expressing affection for someone in a public manner, THEN extraversion is likely High as this demonstrates an eagerness to connect with others.']","['Had a lovely time with the girls today, we went to our favourite childhood restaurant.', ""Happy Birthday to you. You're getting old but at least you still look fly haha.""]",High,{'Uncategorized': 2},1
8,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Moderate,"['IF a person expresses joy about reunions and reflects positively on past experiences with friends, THEN extraversion is likely High because this indicates a strong enjoyment of social interactions and connections.', 'IF a person expresses excitement about future gatherings and plans to celebrate together, THEN extraversion is likely High as it shows enthusiasm for social activities.']","['I had so much fun seeing you all again and catching up.', ""I cant wait to celebrate every birthday with you, even when we are old we'll still have each others company.""]",High,{'Uncategorized': 2},0
10,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",High,"['IF a person expresses enjoyment of social gatherings and connections with friends, THEN their extraversion is likely High because this reflects a preference for interacting with people.', 'IF a person shows excitement for activities that involve others, such as singing in a group, THEN their extraversion is likely High because this indicates a willingness to engage socially.', 'IF a person writes affectionately to a friend and makes an effort to engage them with personal touches, THEN their extraversion is likely High because it shows a focus on relationships.', 'IF a person shares personal messages that indicate a desire to connect and communicate with affection, THEN their extraversion is likely High because it reflects a social orientation.']","[""having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time."", 'just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique!', ""Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you xxxxx"", ""you're always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time""]",High,{'Uncategorized': 4},1
12,"Had a great catch up with my old school pals. 
Dinner was lovely and lots of laughs and drinks as usual! Always great to see them and amazing that we are all still friends after over 30 years.
Can't wait until the next one in December . Hope everyone can make it as it's going to be a special trip!","Wishing you the happiest of birthdays. You deserve to have the best day!
Thanks for being the most amazing and supportive partner.
We all appreciate everything you do for us .
We hope you love your surprise party .. you won't read this until after , so it's safe to write this :-) Lots of love ...",Moderate,"['IF a person expresses joy about spending time with others, indicating strong appreciation for social interactions, THEN extraversion is likely High because this reflects a sociable and outgoing nature.', 'IF a person demonstrates enthusiasm for future social gatherings and expresses hopes that friends can attend, THEN extraversion is likely High because it shows eagerness for social connections.', 'IF a person expresses warm feelings and appreciation towards friends or family in a celebratory context, THEN extraversion is likely High because it shows fondness for social bonds.', ""IF a person is planning or referring to a surprise party, indicating social engagement and effort towards others' happiness, THEN extraversion is likely High because this reflects active participation in social life.""]","['Had a great catch up with my old school pals. Dinner was lovely and lots of laughs and drinks as usual!', ""Can't wait until the next one in December. Hope everyone can make it as it's going to be a special trip!"", 'Wishing you the happiest of birthdays. You deserve to have the best day! Thanks for being the most amazing and supportive partner.', ""We hope you love your surprise party .. you won't read this until after , so it's safe to write this :-)""]",High,{'Uncategorized': 4},0
13,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",Moderate,"['IF a person expresses joy and fondness for past social interactions, THEN their extraversion is likely High because this reflects a positive attitude towards social experiences.', 'IF a person makes plans for future social activities, THEN their extraversion is likely High because this indicates a desire for social engagement.', 'IF a person expresses deep affection and emotional connection in their relationships, THEN their extraversion is likely High because this shows they value social bonds.']","['I hung out with my best friend when I was a teenager. We drank and danced to 80s music!', ""Can't wait to do it again! Let's go whale watching next time."", 'I love you so much and am praying that God blesses you with peace and happiness this year.']",High,{'Uncategorized': 3},0
14,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,High,"['IF a person expresses deep appreciation for their loved ones and describes social activities with them, THEN extraversion is likely High because this reflects a strong orientation towards social relationships.', 'IF a person emphasizes their emotional connections and celebrates relationships, THEN extraversion is likely High because this indicates a focus on social bonds and shared experiences.']","['My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking.', ""I love you so much and I'm so blessed to have you.""]",High,{'Uncategorized': 2},1
