p,post1,post2,true_label,matched_rules,matched_behaviours,pred_rule_based,category_counts,score_rules
4,"Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time. It's great to see all these familiar faces smiling back at me! I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!","Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more! I know that you will a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way. Enjoy your day, take some time to yourself and start back to work tomorrow. L,S",Moderate,"['IF a person shares experiences of engaging with a crowd and having fun in social settings THEN extraversion is likely High because it shows a tendency to enjoy social interactions and being surrounded by others.', 'IF a person reveals that they enjoy spending time reminiscing with friends and want to continue doing so in future gatherings with excitement THEN extraversion is likely High because it indicates engagement with social experiences.', 'IF a person frequently mentions trying to make gatherings more regular and expresses joy about social connections THEN extraversion is likely High because it reflects a proactive approach towards social involvement.']","[""Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time."", 'I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!', 'I am so excited to be here and catch up on all that we missed over time!']",High,{'Sociability': 3},0
5,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Low,"['IF a person shares experiences of engaging with a crowd and having fun in social settings THEN extraversion is likely High because it shows a tendency to enjoy social interactions and being surrounded by others.', 'IF a person reveals that they enjoy spending time reminiscing with friends and want to continue doing so in future gatherings with excitement THEN extraversion is likely High because it indicates engagement with social experiences.']","['Lovely to catch up with some old friends and reminisce on childhood memories!', 'hope to catch up with you all again sometime soon and make more brilliant memories.']",High,{'Sociability': 2},0
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"['IF a person shares experiences of engaging with a crowd and having fun in social settings THEN extraversion is likely High because it shows a tendency to enjoy social interactions and being surrounded by others.', 'IF a person reveals that they enjoy spending time reminiscing with friends and want to continue doing so in future gatherings with excitement THEN extraversion is likely High because it indicates engagement with social experiences.', 'IF a person frequently mentions trying to make gatherings more regular and expresses joy about social connections THEN extraversion is likely High because it reflects a proactive approach towards social involvement.']","['I have reunited with my childhood friends and I was so excited.', 'it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with... is unforgettable.', ""I wish you the best of many days and years to come and I hope you find my gifts splendid as well as everyone else's.""]",High,{'Sociability': 3},1
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"['IF a person shares experiences of engaging with a crowd and having fun in social settings THEN extraversion is likely High because it shows a tendency to enjoy social interactions and being surrounded by others.', 'IF a person reveals that they enjoy spending time reminiscing with friends and want to continue doing so in future gatherings with excitement THEN extraversion is likely High because it indicates engagement with social experiences.', 'IF a person frequently mentions trying to make gatherings more regular and expresses joy about social connections THEN extraversion is likely High because it reflects a proactive approach towards social involvement.']","['It was so lovely to catch up with all of you.', ""Let me know when you're all back in town - we can hang out again."", 'I look forward to spending the next year with you.']",High,{'Sociability': 3},0
10,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",High,"['IF a person shares experiences of engaging with a crowd and having fun in social settings THEN extraversion is likely High because it shows a tendency to enjoy social interactions and being surrounded by others.', 'IF a person reveals that they enjoy spending time reminiscing with friends and want to continue doing so in future gatherings with excitement THEN extraversion is likely High because it indicates engagement with social experiences.', 'IF a person frequently mentions trying to make gatherings more regular and expresses joy about social connections THEN extraversion is likely High because it reflects a proactive approach towards social involvement.', 'IF a person communicates a sense of nostalgia about friends without enthusiasm for future social engagements or events THEN extraversion is likely Low because it suggests a preference for the past over actively seeking out new social interactions.']","[""having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time."", 'Talking about old times at school was a blast....rekindled many good memories.', ""we mustn't leave it so long next time."", ""Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!!""]",High,{'Sociability': 4},1
13,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",Moderate,"['IF a person shares experiences of engaging with a crowd and having fun in social settings THEN extraversion is likely High because it shows a tendency to enjoy social interactions and being surrounded by others.', 'IF a person reveals that they enjoy spending time reminiscing with friends and want to continue doing so in future gatherings with excitement THEN extraversion is likely High because it indicates engagement with social experiences.']","['We drank and danced to 80s music!', ""Cant wait to do it again! Let's go whale watching next time.""]",High,{'Sociability': 2},0
15,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,"['IF a person shares experiences of engaging with a crowd and having fun in social settings THEN extraversion is likely High because it shows a tendency to enjoy social interactions and being surrounded by others.', 'IF a person reveals that they enjoy spending time reminiscing with friends and want to continue doing so in future gatherings with excitement THEN extraversion is likely High because it indicates engagement with social experiences.', 'IF a person frequently mentions trying to make gatherings more regular and expresses joy about social connections THEN extraversion is likely High because it reflects a proactive approach towards social involvement.', 'IF a person communicates a sense of nostalgia about friends without enthusiasm for future social engagements or events THEN extraversion is likely Low because it suggests a preference for the past over actively seeking out new social interactions.', 'IF a person communicates a sense of nostalgia about friends without enthusiasm for future social engagements or events THEN extraversion is likely Low because it suggests a preference for the past over actively seeking out new social interactions.']","['Just got back from a reunion with some friends from back home!', 'Hope to see you guys soon!!', 'Hope to see you guys soon!!', 'These guys always had my back.', ""P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment.""]",High,{'Sociability': 5},1
16,"went to a great birthday party today at the drummond park animal experience
centre with ash, jen, jodie jake, alex and all the rest of the crew.  loved watching the
monkeys antics.  the lion cubs were so cute.  alex ate too much cake and looked alittle
green jake punched him in the stomach to sicee if he could make him sick ..","wow!  another landmark birthday.  we are all so looking forward to your birthday
bash at Fisher's restaurant.  can't believe you've come this far despite all the
hoops you've had to jump through in the past few years,  what an achievement
well done you.  I know you said no presents but well suspect there may still be one or two surprises",Low,"['IF a person shares experiences of engaging with a crowd and having fun in social settings THEN extraversion is likely High because it shows a tendency to enjoy social interactions and being surrounded by others.', 'IF a person reveals that they enjoy spending time reminiscing with friends and want to continue doing so in future gatherings with excitement THEN extraversion is likely High because it indicates engagement with social experiences.', 'IF a person frequently mentions trying to make gatherings more regular and expresses joy about social connections THEN extraversion is likely High because it reflects a proactive approach towards social involvement.']","['went to a great birthday party today at the drummond park animal experience centre with ash, jen, jodie jake, alex and all the rest of the crew.', ""we are all so looking forward to your birthday bash at Fisher's restaurant."", ""we are all so looking forward to your birthday bash at Fisher's restaurant.""]",High,{'Sociability': 3},0
17,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,"['IF a person shares experiences of engaging with a crowd and having fun in social settings THEN extraversion is likely High because it shows a tendency to enjoy social interactions and being surrounded by others.', 'IF a person reveals that they enjoy spending time reminiscing with friends and want to continue doing so in future gatherings with excitement THEN extraversion is likely High because it indicates engagement with social experiences.', 'IF a person frequently mentions trying to make gatherings more regular and expresses joy about social connections THEN extraversion is likely High because it reflects a proactive approach towards social involvement.']","[""What a wild time we've had, you would think that we were in 2004 living our best life at XXX university!"", 'the venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20!', ""I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!""]",High,{'Sociability': 3},1
19,"So exciting to catch up with everyone! Being in our thirties means meeting up takes at least ten conversations about the event, at least one cancellation, minimum two babies and a stray husband. Glad this one made it out of the group chat. To next time; hopefully it doesn't take eight months ;)","Turning 30 has never looked better. Spending our twenties together was incredible; the highs, the lows, but most importantly being with you. So excited to spend the rest of my life with you. Happy birthday to the love of my life. You have changed my life in the most incredible way and you are so special to me. Cheers to my favourite person. I love you.",Moderate,"['IF a person shares experiences of engaging with a crowd and having fun in social settings THEN extraversion is likely High because it shows a tendency to enjoy social interactions and being surrounded by others.', 'IF a person reveals that they enjoy spending time reminiscing with friends and want to continue doing so in future gatherings with excitement THEN extraversion is likely High because it indicates engagement with social experiences.', 'IF a person frequently mentions trying to make gatherings more regular and expresses joy about social connections THEN extraversion is likely High because it reflects a proactive approach towards social involvement.']","['So exciting to catch up with everyone!', ""Glad this one made it out of the group chat. To next time; hopefully it doesn't take eight months ;)"", ""To next time; hopefully it doesn't take eight months ;)""]",High,{'Sociability': 3},0
