p,post1,post2,true_label,matched_rules,matched_behaviours,pred_rule_based,category_counts,score_rules
5,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Low,"['IF a person shares a nostalgic reflection about spending time with friends paired with a suggestion for future gatherings in a post THEN extraversion is likely High because it signifies enjoyment of social bonds and a desire to maintain them.', 'IF a person expresses gratitude for friends and reflects on shared experiences in a post THEN extraversion is likely High because it demonstrates social appreciation and connection with others.']","['Lovely to catch up with some old friends and reminisce on childhood memories! I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories.', 'Thank you for making the world a happier place and staying by my side.']",High,{'Uncategorized': 2},0
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"['IF a person expresses excitement about social gatherings in a post THEN extraversion is likely High because it indicates joy in being around others.', 'IF a person shares a nostalgic reflection about spending time with friends paired with a suggestion for future gatherings in a post THEN extraversion is likely High because it signifies enjoyment of social bonds and a desire to maintain them.', 'IF a person expresses gratitude for friends and reflects on shared experiences in a post THEN extraversion is likely High because it demonstrates social appreciation and connection with others.']","['I was so excited. it was an amazing experience which I totally recommend.', 'the feeling of meeting someone you used to play with when you talked to them is unforgettable.', 'I am so happy to see you growing up bit by bit.']",High,{'Uncategorized': 3},1
10,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",High,"['IF a person expresses excitement about social gatherings in a post THEN extraversion is likely High because it indicates joy in being around others.', 'IF a person shares a nostalgic reflection about spending time with friends paired with a suggestion for future gatherings in a post THEN extraversion is likely High because it signifies enjoyment of social bonds and a desire to maintain them.', 'IF a person expresses gratitude for friends and reflects on shared experiences in a post THEN extraversion is likely High because it demonstrates social appreciation and connection with others.', 'IF a person indicates they feel comfortable sharing personal feelings or thoughts publicly in a post THEN extraversion is likely High because it shows openness and lack of reservation in social settings.', 'IF a person describes engaging in playful interactions or banter with others in a post THEN extraversion is likely High because it shows a willingness to interact and connect with people.']","[""having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time."", ""we mustn't leave it so long next time."", 'Talking about old times at school was a blast....rekindled many good memories.', ""Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you xxxxx."", ""so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha.""]",High,{'Uncategorized': 5},1
11,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",Low,"['IF a person expresses excitement about social gatherings in a post THEN extraversion is likely High because it indicates joy in being around others.', 'IF a person shares a nostalgic reflection about spending time with friends paired with a suggestion for future gatherings in a post THEN extraversion is likely High because it signifies enjoyment of social bonds and a desire to maintain them.', 'IF a person expresses gratitude for friends and reflects on shared experiences in a post THEN extraversion is likely High because it demonstrates social appreciation and connection with others.']","[""I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up."", ""I have really missed them, i saw them last about 8 years ago but we've always been in communication."", 'Oh my God, i have really missed them.']",High,{'Uncategorized': 3},0
12,"Had a great catch up with my old school pals. 
Dinner was lovely and lots of laughs and drinks as usual! Always great to see them and amazing that we are all still friends after over 30 years.
Can't wait until the next one in December . Hope everyone can make it as it's going to be a special trip!","Wishing you the happiest of birthdays. You deserve to have the best day!
Thanks for being the most amazing and supportive partner.
We all appreciate everything you do for us .
We hope you love your surprise party .. you won't read this until after , so it's safe to write this :-) Lots of love ...",Moderate,"['IF a person expresses excitement about social gatherings in a post THEN extraversion is likely High because it indicates joy in being around others.', 'IF a person describes engaging in playful interactions or banter with others in a post THEN extraversion is likely High because it shows a willingness to interact and connect with people.', 'IF a person expresses gratitude for friends and reflects on shared experiences in a post THEN extraversion is likely High because it demonstrates social appreciation and connection with others.', 'IF a person indicates they feel comfortable sharing personal feelings or thoughts publicly in a post THEN extraversion is likely High because it shows openness and lack of reservation in social settings.']","[""Can't wait until the next one in December. Hope everyone can make it as it's going to be a special trip!"", 'Dinner was lovely and lots of laughs and drinks as usual!', 'Always great to see them and amazing that we are all still friends after over 30 years.', 'Thanks for being the most amazing and supportive partner. We all appreciate everything you do for us.']",High,{'Uncategorized': 4},0
13,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",Moderate,"['IF a person shares a nostalgic reflection about spending time with friends paired with a suggestion for future gatherings in a post THEN extraversion is likely High because it signifies enjoyment of social bonds and a desire to maintain them.', 'IF a person expresses gratitude for friends and reflects on shared experiences in a post THEN extraversion is likely High because it demonstrates social appreciation and connection with others.']","[""I hung out with my best friend when I was a teenager... I can't wait to do it again! Let's go whale watching next time."", 'Shout out to Dassi. I love you!']",High,{'Uncategorized': 2},0
15,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,"['IF a person expresses excitement about social gatherings in a post THEN extraversion is likely High because it indicates joy in being around others.', 'IF a person expresses gratitude for friends and reflects on shared experiences in a post THEN extraversion is likely High because it demonstrates social appreciation and connection with others.', 'IF a person describes engaging in playful interactions or banter with others in a post THEN extraversion is likely High because it shows a willingness to interact and connect with people.', 'IF a person reflects on past experiences with a sense of longing rather than excitement for future social interactions in a post THEN extraversion is likely Low because it indicates a preference for reminiscing over engaging with others.', 'IF a person expresses feelings of discomfort or reservation when discussing social interactions in a post THEN extraversion is likely Low because it suggests social anxiety or a lack of enthusiasm in social settings.']","['Just got back from a reunion with some friends from back home!', 'These guys always had my back...', ""except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit."", 'Hope to see you guys soon!!', ""P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarrassment.""]",High,{'Uncategorized': 5},1
16,"went to a great birthday party today at the drummond park animal experience
centre with ash, jen, jodie jake, alex and all the rest of the crew.  loved watching the
monkeys antics.  the lion cubs were so cute.  alex ate too much cake and looked alittle
green jake punched him in the stomach to sicee if he could make him sick ..","wow!  another landmark birthday.  we are all so looking forward to your birthday
bash at Fisher's restaurant.  can't believe you've come this far despite all the
hoops you've had to jump through in the past few years,  what an achievement
well done you.  I know you said no presents but well suspect there may still be one or two surprises",Low,"['IF a person expresses excitement about social gatherings in a post THEN extraversion is likely High because it indicates joy in being around others.', 'IF a person describes engaging in playful interactions or banter with others in a post THEN extraversion is likely High because it shows a willingness to interact and connect with people.', 'IF a person expresses gratitude for friends and reflects on shared experiences in a post THEN extraversion is likely High because it demonstrates social appreciation and connection with others.']","[""we are all so looking forward to your birthday bash at Fisher's restaurant."", 'alex ate too much cake and looked alittle green jake punched him in the stomach to sicee if he could make him sick ..', 'went to a great birthday party today at the drummond park animal experience centre with ash, jen, jodie jake, alex and all the rest of the crew.']",High,{'Uncategorized': 3},0
20,"Wow. Having a great time catching up with old childhood friends after over 50 years! We haven't changed a bit ????.  Other than having several marriages, 18 children and 7 grandchildren between us. Life has definitely been a journey and pretty good to all of us ??. Lets not leave it another 50 years to catch up ??",Happy Birthday to this amazing man who I'm so proud to call my husband and father of my chidren. Hope you have an absolutely brilliant day and so glad i get to share it with you. You're definitely like a fine wine and get better and better with each passing year. All my love forever and always ?,High,"['IF a person expresses excitement about social gatherings in a post THEN extraversion is likely High because it indicates joy in being around others.', 'IF a person shares a nostalgic reflection about spending time with friends paired with a suggestion for future gatherings in a post THEN extraversion is likely High because it signifies enjoyment of social bonds and a desire to maintain them.', 'IF a person expresses gratitude for friends and reflects on shared experiences in a post THEN extraversion is likely High because it demonstrates social appreciation and connection with others.']","['Having a great time catching up with old childhood friends after over 50 years!', 'Lets not leave it another 50 years to catch up.', ""I'm so proud to call my husband and father of my children.""]",High,{'Uncategorized': 3},1
21,"Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals. Food, drinks, music, games and great chat! Venue was great too with great service, would highly recommend. Thanks to all for coming. Should make this a regular thing, so heres to the next one!","A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that i know, and i am privileged to have you in my life. Congratulations on all that you have achieved and your recent success, long may it continue. thanks for many memories and look forward to creating many more with you.",Low,"['IF a person shares a nostalgic reflection about spending time with friends paired with a suggestion for future gatherings in a post THEN extraversion is likely High because it signifies enjoyment of social bonds and a desire to maintain them.', 'IF a person expresses gratitude for friends and reflects on shared experiences in a post THEN extraversion is likely High because it demonstrates social appreciation and connection with others.', 'IF a person expresses gratitude for friends and reflects on shared experiences in a post THEN extraversion is likely High because it demonstrates social appreciation and connection with others.']","['Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals. Should make this a regular thing, so heres to the next one!', 'Thanks to all for coming.', 'thanks for many memories and look forward to creating many more with you.']",High,{'Uncategorized': 3},0
