p,post1,post2,true_label,matched_rules,matched_behaviours,pred_rule_based,category_counts,score_rules
3,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Moderate,"['IF a person describes a fun night out with friends and uses exclamatory language to emphasize their enjoyment in a post THEN extraversion is likely High because they actively highlight their sociability and pleasure in group experiences.', 'IF a person talks about enjoying time spent with a group, expressing a sense of fun and connection in their post THEN extraversion is likely High because they show an affinity for group dynamics and social enjoyment.', 'IF a person expresses a desire to catch up with a group of friends and use playful or humorous language in a post THEN extraversion is likely High because they indicate a strong inclination towards social engagement.', 'IF a person shares mostly introspective thoughts that do not involve current social activities in a post THEN extraversion is likely Low because their tone suggests limited social engagement and reflection on past experiences rather than present actions.']","['We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out.', 'Once they came here we spent the evening wining and dining. I must stay I think I out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert.', 'Feeling it today haha!', 'I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you.']",High,"{'Energy/Activity': 1, 'Uncategorized': 1, 'Sociability': 2}",0
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"['IF a person describes a fun night out with friends and uses exclamatory language to emphasize their enjoyment in a post THEN extraversion is likely High because they actively highlight their sociability and pleasure in group experiences.', 'IF a person talks about enjoying time spent with a group, expressing a sense of fun and connection in their post THEN extraversion is likely High because they show an affinity for group dynamics and social enjoyment.', 'IF a person expresses a desire to catch up with a group of friends and use playful or humorous language in a post THEN extraversion is likely High because they indicate a strong inclination towards social engagement.']","['I was so excited. it was an amazing experience which I totally recommend', 'the feeling of meeting someone you used to play with when you talked to them is unforgettable.', 'I wish you the best of many days and years to come and I hope you find my gifts splendid']",High,"{'Energy/Activity': 1, 'Uncategorized': 1, 'Sociability': 1}",1
8,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Moderate,"['IF a person describes a fun night out with friends and uses exclamatory language to emphasize their enjoyment in a post THEN extraversion is likely High because they actively highlight their sociability and pleasure in group experiences.', 'IF a person posts about having a joyful time reminiscing with friends and shares intentions for future gatherings in a post THEN extraversion is likely High because they demonstrate eagerness for future social interactions.', 'IF a person expresses a desire to catch up with a group of friends and use playful or humorous language in a post THEN extraversion is likely High because they indicate a strong inclination towards social engagement.', 'IF a person talks about enjoying time spent with a group, expressing a sense of fun and connection in their post THEN extraversion is likely High because they show an affinity for group dynamics and social enjoyment.']","['I had so much fun seeing you all again and catching up.', 'we should make this an annual thing every year.', 'Happpy Birthdayyyy. I hope your day is filled with all the things you love.', 'I cant wait to celebrate every birthday with you.']",High,"{'Energy/Activity': 1, 'Sociability': 2, 'Uncategorized': 1}",0
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"['IF a person expresses a desire to catch up with a group of friends and use playful or humorous language in a post THEN extraversion is likely High because they indicate a strong inclination towards social engagement.', 'IF a person shares mostly introspective thoughts that do not involve current social activities in a post THEN extraversion is likely Low because their tone suggests limited social engagement and reflection on past experiences rather than present actions.', 'IF a person talks about enjoying time spent with a group, expressing a sense of fun and connection in their post THEN extraversion is likely High because they show an affinity for group dynamics and social enjoyment.']","[""It has been way too long since we last saw each other, and it really good to hear that you're all doing well. Let me know when you're all back in town - we can hang out again."", 'I hope you had an amazing day with friends and family - and thank you for letting me share it with you.', 'Happy birthday!! I hope you had an amazing day with friends and family - and thank you for letting me share it with you.']",High,"{'Sociability': 2, 'Uncategorized': 1}",0
10,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",High,"['IF a person describes a fun night out with friends and uses exclamatory language to emphasize their enjoyment in a post THEN extraversion is likely High because they actively highlight their sociability and pleasure in group experiences.', 'IF a person expresses a desire to catch up with a group of friends and use playful or humorous language in a post THEN extraversion is likely High because they indicate a strong inclination towards social engagement.', 'IF a person posts about having a joyful time reminiscing with friends and shares intentions for future gatherings in a post THEN extraversion is likely High because they demonstrate eagerness for future social interactions.', 'IF a person talks about enjoying time spent with a group, expressing a sense of fun and connection in their post THEN extraversion is likely High because they show an affinity for group dynamics and social enjoyment.', 'IF a person communicates a lack of enthusiasm or a dry tone when talking about social gatherings or interactions in a post THEN extraversion is likely Low because they reflect a disinterest in active socializing.']","[""having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time."", 'just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique !', ""we mustn't leave it so long next time."", 'Talking about old times at school was a blast....rekindled many good memories.', 'expect the princess treatment !!! love you xxxxx.']",High,"{'Energy/Activity': 2, 'Sociability': 2, 'Uncategorized': 1}",1
12,"Had a great catch up with my old school pals. 
Dinner was lovely and lots of laughs and drinks as usual! Always great to see them and amazing that we are all still friends after over 30 years.
Can't wait until the next one in December . Hope everyone can make it as it's going to be a special trip!","Wishing you the happiest of birthdays. You deserve to have the best day!
Thanks for being the most amazing and supportive partner.
We all appreciate everything you do for us .
We hope you love your surprise party .. you won't read this until after , so it's safe to write this :-) Lots of love ...",Moderate,"['IF a person describes a fun night out with friends and uses exclamatory language to emphasize their enjoyment in a post THEN extraversion is likely High because they actively highlight their sociability and pleasure in group experiences.', 'IF a person expresses a desire to catch up with a group of friends and use playful or humorous language in a post THEN extraversion is likely High because they indicate a strong inclination towards social engagement.', 'IF a person posts about having a joyful time reminiscing with friends and shares intentions for future gatherings in a post THEN extraversion is likely High because they demonstrate eagerness for future social interactions.', 'IF a person talks about enjoying time spent with a group, expressing a sense of fun and connection in their post THEN extraversion is likely High because they show an affinity for group dynamics and social enjoyment.', ""IF a person posts about a surprise party for someone else, this generally indicates a positive social engagement and an intention to celebrate a person's significant day, reflecting sociability.""]","['Dinner was lovely and lots of laughs and drinks as usual!', ""Can't wait until the next one in December. Hope everyone can make it as it's going to be a special trip!"", 'Had a great catch up with my old school pals.', 'Always great to see them and amazing that we are all still friends after over 30 years.', ""We hope you love your surprise party .. you won't read this until after.""]",High,"{'Energy/Activity': 1, 'Sociability': 2, 'Uncategorized': 2}",0
14,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,High,"['IF a person talks about enjoying time spent with a group, expressing a sense of fun and connection in their post THEN extraversion is likely High because they show an affinity for group dynamics and social enjoyment.', 'IF a person shares mostly introspective thoughts that do not involve current social activities in a post THEN extraversion is likely Low because their tone suggests limited social engagement and reflection on past experiences rather than present actions.', 'IF a person expresses a desire to catch up with a group of friends and use playful or humorous language in a post THEN extraversion is likely High because they indicate a strong inclination towards social engagement.', 'IF a person communicates a lack of enthusiasm or a dry tone when talking about social gatherings or interactions in a post THEN extraversion is likely Low because they reflect a disinterest in active socializing.']","['Times Like This??Life can be complicated, but my people make it all worth it.', ""I don't know where I would be without them. I'm so blessed to be able to call you guys my family."", 'HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year.', 'Even when times are tough you always keep that spark.']",High,"{'Uncategorized': 1, 'Sociability': 2, 'Energy/Activity': 1}",1
16,"went to a great birthday party today at the drummond park animal experience
centre with ash, jen, jodie jake, alex and all the rest of the crew.  loved watching the
monkeys antics.  the lion cubs were so cute.  alex ate too much cake and looked alittle
green jake punched him in the stomach to sicee if he could make him sick ..","wow!  another landmark birthday.  we are all so looking forward to your birthday
bash at Fisher's restaurant.  can't believe you've come this far despite all the
hoops you've had to jump through in the past few years,  what an achievement
well done you.  I know you said no presents but well suspect there may still be one or two surprises",Low,"['IF a person describes a fun night out with friends and uses exclamatory language to emphasize their enjoyment in a post THEN extraversion is likely High because they actively highlight their sociability and pleasure in group experiences.', 'IF a person communicates a lack of enthusiasm or a dry tone when talking about social gatherings or interactions in a post THEN extraversion is likely Low because they reflect a disinterest in active socializing.', 'IF a person expresses a desire to catch up with a group of friends and use playful or humorous language in a post THEN extraversion is likely High because they indicate a strong inclination towards social engagement.', 'IF a person talks about enjoying time spent with a group, expressing a sense of fun and connection in their post THEN extraversion is likely High because they show an affinity for group dynamics and social enjoyment.']","['went to a great birthday party today at the drummond park animal experience centre with ash, jen, jodie jake, alex and all the rest of the crew.', 'loved watching the monkeys antics. the lion cubs were so cute.', 'alex ate too much cake and looked alittle green jake punched him in the stomach to sicee if he could make him sick.', ""we are all so looking forward to your birthday bash at Fisher's restaurant.""]",High,"{'Energy/Activity': 2, 'Sociability': 1, 'Uncategorized': 1}",0
17,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,"['IF a person describes a fun night out with friends and uses exclamatory language to emphasize their enjoyment in a post THEN extraversion is likely High because they actively highlight their sociability and pleasure in group experiences.', 'IF a person talks about enjoying time spent with a group, expressing a sense of fun and connection in their post THEN extraversion is likely High because they show an affinity for group dynamics and social enjoyment.', 'IF a person expresses a desire to catch up with a group of friends and use playful or humorous language in a post THEN extraversion is likely High because they indicate a strong inclination towards social engagement.']","[""What a wild time we've had, you would think that we were in 2004 living our best life at XXX university!"", 'despite turning 40 we can still bust a move like when we were 20!', ""we'll keep it low key and definitely not party like we did for your thirtieth!""]",High,"{'Energy/Activity': 1, 'Uncategorized': 1, 'Sociability': 1}",1
20,"Wow. Having a great time catching up with old childhood friends after over 50 years! We haven't changed a bit ????.  Other than having several marriages, 18 children and 7 grandchildren between us. Life has definitely been a journey and pretty good to all of us ??. Lets not leave it another 50 years to catch up ??",Happy Birthday to this amazing man who I'm so proud to call my husband and father of my chidren. Hope you have an absolutely brilliant day and so glad i get to share it with you. You're definitely like a fine wine and get better and better with each passing year. All my love forever and always ?,High,"['IF a person expresses a desire to catch up with a group of friends and use playful or humorous language in a post THEN extraversion is likely High because they indicate a strong inclination towards social engagement.', 'IF a person talks about enjoying time spent with a group, expressing a sense of fun and connection in their post THEN extraversion is likely High because they show an affinity for group dynamics and social enjoyment.', 'IF a person expresses affection and pride towards someone special in a post, particularly in a social context, THEN extraversion is likely High because it indicates a positive social connection.']","['Wow. Having a great time catching up with old childhood friends after over 50 years!', 'Lets not leave it another 50 years to catch up ??', ""Happy Birthday to this amazing man who I'm so proud to call my husband and father of my children.""]",High,"{'Sociability': 1, 'Uncategorized': 2}",1
