p,post1,post2,true_label,matched_rules,matched_behaviours,pred_rule_based,category_counts,score_rules
2,"Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well, who'll see you through anything and everything. And no matter how old we get are still up for a good girls night out, even if it now takes us two days to recover! Night at Sixways is always the best, love this place, and Love you all ???? ","It's official, he's getting older! Happy birthday to my gorgeous husband, another year old and not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find. Looking forward to spoiling you rotten today - and maybe a few surprises this weekend! Happy birthday favourite human xoxo",High,"['IF a person discusses having fun with friends and expresses the desire to meet them again in a post THEN extraversion is likely High because this indicates enjoyment of social gatherings.', 'IF a person shares plans for future social events with eagerness in a post THEN extraversion is likely High because this shows anticipation for social interaction.', 'IF a person describes a lively and fun environment in detail after a social event in a post THEN extraversion is likely High because this illustrates appreciation for vibrant social settings.']","[""Such a great night with this incredible bunch, but I'm feeling it this morning!"", 'Looking forward to spoiling you rotten today - and maybe a few surprises this weekend!', 'Night at Sixways is always the best, love this place, and Love you all ????']",High,"{'Sociability': 2, 'Energy/Activity': 1}",1
3,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Moderate,"['IF a person discusses having fun with friends and expresses the desire to meet them again in a post THEN extraversion is likely High because this indicates enjoyment of social gatherings.', 'IF a person describes a lively and fun environment in detail after a social event in a post THEN extraversion is likely High because this illustrates appreciation for vibrant social settings.', 'IF a person shares plans for future social events with eagerness in a post THEN extraversion is likely High because this shows anticipation for social interaction.']","['We love spending time together and chilling out.', 'We spent the evening wining and dining... drank many bottles of wine and had many shots.', 'I cherish all our memories together and enjoyed our 6 year relationship.']",High,"{'Sociability': 2, 'Energy/Activity': 1}",0
4,"Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time. It's great to see all these familiar faces smiling back at me! I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!","Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more! I know that you will a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way. Enjoy your day, take some time to yourself and start back to work tomorrow. L,S",Moderate,"['IF a person discusses having fun with friends and expresses the desire to meet them again in a post THEN extraversion is likely High because this indicates enjoyment of social gatherings.', 'IF a person shares plans for future social events with eagerness in a post THEN extraversion is likely High because this shows anticipation for social interaction.']","['I am so excited to be here and catch up on all that we missed over time.', 'I will be there to cheer you on the whole way.']",High,{'Sociability': 2},0
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"['IF a person discusses having fun with friends and expresses the desire to meet them again in a post THEN extraversion is likely High because this indicates enjoyment of social gatherings.', 'IF a person shares plans for future social events with eagerness in a post THEN extraversion is likely High because this shows anticipation for social interaction.', ""IF a person shows enthusiasm for a friend's birthday and expresses joy in their growth in a post THEN extraversion is likely High because this reflects a positive engagement with social connections.""]","['I was so excited. it was an amazing experience which I totally recommend if you can do it.', 'the feeling of meeting someone you used to play with when you talked to them is unforgettable.', 'I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year.']",High,"{'Sociability': 2, 'Uncategorized': 1}",1
7,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,High,"['IF a person describes memories and experiences with friends in a manner that emphasizes reflection rather than excitement in a post THEN extraversion is likely Low because this suggests a lack of enthusiasm for social interactions.', 'IF a person discusses having fun with friends and expresses the desire to meet them again in a post THEN extraversion is likely High because this indicates enjoyment of social gatherings.', 'IF a person shares plans for future social events with eagerness in a post THEN extraversion is likely High because this shows anticipation for social interaction.']","['Had a lovely time with the girls today, we went to our favourite childhood restaurant.', '15 years of friendship down, a lifetime to go.', 'I cant wait to spend the rest of the day with you.']",Moderate,{'Sociability': 3},0
14,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,High,"['IF a person discusses having fun with friends and expresses the desire to meet them again in a post THEN extraversion is likely High because this indicates enjoyment of social gatherings.', 'IF a person describes their loved ones in a manner that emphasizes support and appreciation in a post THEN extraversion is likely Moderate because this indicates a value placed on social connections without strong enthusiasm.']","['Whether we go for drinks, go out to eat, or are just kicked back smoking and talking.', ""My loved ones are what keep me going. I'm so blessed to be able to call you guys my family.""]",Moderate,"{'Sociability': 1, 'Uncategorized': 1}",0
17,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,"['IF a person discusses having fun with friends and expresses the desire to meet them again in a post THEN extraversion is likely High because this indicates enjoyment of social gatherings.', 'IF a person describes a lively and fun environment in detail after a social event in a post THEN extraversion is likely High because this illustrates appreciation for vibrant social settings.', 'IF a person shares plans for future social events with eagerness in a post THEN extraversion is likely High because this shows anticipation for social interaction.']","[""What a wild time we've had, you would think that we were in 2004 living our best life at XXX university!"", 'The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20!', ""I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!""]",High,"{'Sociability': 2, 'Energy/Activity': 1}",1
18,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",Low,"['IF a person discusses having fun with friends and expresses the desire to meet them again in a post THEN extraversion is likely High because this indicates enjoyment of social gatherings.', 'IF a person describes a lively and fun environment in detail after a social event in a post THEN extraversion is likely High because this illustrates appreciation for vibrant social settings.', 'IF a person shares plans for future social events with eagerness in a post THEN extraversion is likely High because this shows anticipation for social interaction.', 'IF a person describes a lively and fun environment in detail after a social event in a post THEN extraversion is likely High because this illustrates appreciation for vibrant social settings.']","[""It was great to catch up with everyone again after so long. Let's not leave it so long next time."", 'School reunion gathering, fun night with all. Lots of laughs and embarrassing stories.', ""Let's not leave it so long next time."", 'Here to cake, fizz and a fun-filled day of surprises.']",High,"{'Sociability': 2, 'Energy/Activity': 2}",0
19,"So exciting to catch up with everyone! Being in our thirties means meeting up takes at least ten conversations about the event, at least one cancellation, minimum two babies and a stray husband. Glad this one made it out of the group chat. To next time; hopefully it doesn't take eight months ;)","Turning 30 has never looked better. Spending our twenties together was incredible; the highs, the lows, but most importantly being with you. So excited to spend the rest of my life with you. Happy birthday to the love of my life. You have changed my life in the most incredible way and you are so special to me. Cheers to my favourite person. I love you.",Moderate,"['IF a person shows a willingness to interact with a stranger and mentions a successful social encounter in a post THEN extraversion is likely High because this indicates comfort in meeting new people.', 'IF a person discusses having fun with friends and expresses the desire to meet them again in a post THEN extraversion is likely High because this indicates enjoyment of social gatherings.', 'IF a person shares plans for future social events with eagerness in a post THEN extraversion is likely High because this shows anticipation for social interaction.', 'IF a person describes a lively and fun environment in detail after a social event in a post THEN extraversion is likely High because this illustrates appreciation for vibrant social settings.']","['So exciting to catch up with everyone!', ""Glad this one made it out of the group chat. To next time; hopefully it doesn't take eight months ;)"", ""To next time; hopefully it doesn't take eight months ;)"", 'Being in our thirties means meeting up takes at least ten conversations about the event, at least one cancellation, minimum two babies and a stray husband.']",High,"{'Sociability': 3, 'Energy/Activity': 1}",0
21,"Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals. Food, drinks, music, games and great chat! Venue was great too with great service, would highly recommend. Thanks to all for coming. Should make this a regular thing, so heres to the next one!","A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that i know, and i am privileged to have you in my life. Congratulations on all that you have achieved and your recent success, long may it continue. thanks for many memories and look forward to creating many more with you.",Low,"['IF a person describes memories and experiences with friends in a manner that emphasizes reflection rather than excitement in a post THEN extraversion is likely Low because this suggests a lack of enthusiasm for social interactions.', 'IF a person discusses having fun with friends and expresses the desire to meet them again in a post THEN extraversion is likely High because this indicates enjoyment of social gatherings.', 'IF a person shares plans for future social events with eagerness in a post THEN extraversion is likely High because this shows anticipation for social interaction.', 'IF a person reminisces about past experiences with friends without strong enthusiasm in a post THEN extraversion is likely Low because this implies a more reflective and less engaged approach to social situations.']","['Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals.', 'Should make this a regular thing, so heres to the next one!', 'Should make this a regular thing, so heres to the next one!', 'Thanks for many memories and look forward to creating many more with you.']",Moderate,{'Sociability': 4},0
