p,post1,post2,true_label,matched_rules,matched_behaviours,pred_rule_based,category_counts,score_rules
2,"Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well, who'll see you through anything and everything. And no matter how old we get are still up for a good girls night out, even if it now takes us two days to recover! Night at Sixways is always the best, love this place, and Love you all ???? ","It's official, he's getting older! Happy birthday to my gorgeous husband, another year old and not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find. Looking forward to spoiling you rotten today - and maybe a few surprises this weekend! Happy birthday favourite human xoxo",High,"['IF a person shows in a post expressions of gratitude and excitement about spending time with loved ones, THEN extraversion is likely High because it reflects enjoyment of social experiences and the company of others.', 'IF a person shows in a post enthusiasm and eagerness to plan future social events or gatherings, THEN extraversion is likely High because it reflects a proactive attitude towards socializing.', 'IF a person shows in a post a high degree of use of exclamations, emojis, and expressive language about social experiences, THEN extraversion is likely High because it illustrates a vibrant and engaging personality in social contexts.', 'IF a person shows in a post references to enjoying dancing, partying, or large social events, THEN extraversion is likely High because it indicates active participation in dynamic social environments.']","[""Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well."", 'Looking forward to spoiling you rotten today - and maybe a few surprises this weekend!', 'Love you all ????', 'No matter how old we get, we are still up for a good girls night out.']",High,"{'Positive Emotions': 1, 'Energy/Activity': 2, 'Warmth': 1}",1
3,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Moderate,"['IF a person shows in a post expressions of gratitude and excitement about spending time with loved ones, THEN extraversion is likely High because it reflects enjoyment of social experiences and the company of others.', 'IF a person shows in a post enthusiasm and eagerness to plan future social events or gatherings, THEN extraversion is likely High because it reflects a proactive attitude towards socializing.', 'IF a person shows in a post a high degree of use of exclamations, emojis, and expressive language about social experiences, THEN extraversion is likely High because it illustrates a vibrant and engaging personality in social contexts.', 'IF a person shows in a post references to enjoying dancing, partying, or large social events, THEN extraversion is likely High because it indicates active participation in dynamic social environments.']","['I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you.', 'We love spending time together and chilling out.', 'Feeling it today haha!', 'we spent the evening wining and dining.']",High,"{'Positive Emotions': 1, 'Energy/Activity': 2, 'Warmth': 1}",0
5,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Low,"['IF a person shows in a post expressions of gratitude and excitement about spending time with loved ones, THEN extraversion is likely High because it reflects enjoyment of social experiences and the company of others.', 'IF a person shows in a post enthusiasm and eagerness to plan future social events or gatherings, THEN extraversion is likely High because it reflects a proactive attitude towards socializing.', 'IF a person shows in a post a high degree of use of exclamations, emojis, and expressive language about social experiences, THEN extraversion is likely High because it illustrates a vibrant and engaging personality in social contexts.', 'IF a person shows in a post references to enjoying dancing, partying, or large social events, THEN extraversion is likely High because it indicates active participation in dynamic social environments.']","['Thank you for making the world a happier place and staying by my side.', 'hope to catch up with you all again sometime soon and make more brilliant memories.', 'I love you with all of my heart, always ??', ""It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them.""]",High,"{'Positive Emotions': 1, 'Energy/Activity': 2, 'Warmth': 1}",0
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"['IF a person shows in a post expressions of gratitude and excitement about spending time with loved ones, THEN extraversion is likely High because it reflects enjoyment of social experiences and the company of others.', 'IF a person shows in a post enthusiasm and eagerness to plan future social events or gatherings, THEN extraversion is likely High because it reflects a proactive attitude towards socializing.', 'IF a person shows in a post a high degree of use of exclamations, emojis, and expressive language about social experiences, THEN extraversion is likely High because it illustrates a vibrant and engaging personality in social contexts.']","['Happy birthday!! I hope you had an amazing day with friends and family - and thank you for letting me share it with you.', ""Let me know when you're all back in town - we can hang out again."", 'Happy birthday!!']",High,"{'Positive Emotions': 1, 'Energy/Activity': 1, 'Warmth': 1}",0
11,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",Low,"['IF a person shows in a post expressions of gratitude and excitement about spending time with loved ones, THEN extraversion is likely High because it reflects enjoyment of social experiences and the company of others.', 'IF a person shows in a post enthusiasm and eagerness to plan future social events or gatherings, THEN extraversion is likely High because it reflects a proactive attitude towards socializing.', 'IF a person shows in a post a high degree of use of exclamations, emojis, and expressive language about social experiences, THEN extraversion is likely High because it illustrates a vibrant and engaging personality in social contexts.', 'IF a person shows in a post expressions of love and appreciation for significant others, THEN extraversion is likely High because it demonstrates emotional engagement in social relationships.']","[""I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up."", ""i can't wait to update you guys on the plans we have to catch up."", 'Hey guys!!! guess who we have here today???', ""Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life.""]",High,"{'Positive Emotions': 1, 'Energy/Activity': 1, 'Warmth': 1, 'Uncategorized': 1}",0
12,"Had a great catch up with my old school pals. 
Dinner was lovely and lots of laughs and drinks as usual! Always great to see them and amazing that we are all still friends after over 30 years.
Can't wait until the next one in December . Hope everyone can make it as it's going to be a special trip!","Wishing you the happiest of birthdays. You deserve to have the best day!
Thanks for being the most amazing and supportive partner.
We all appreciate everything you do for us .
We hope you love your surprise party .. you won't read this until after , so it's safe to write this :-) Lots of love ...",Moderate,"['IF a person shows in a post expressions of gratitude and excitement about spending time with loved ones, THEN extraversion is likely High because it reflects enjoyment of social experiences and the company of others.', 'IF a person shows in a post enthusiasm and eagerness to plan future social events or gatherings, THEN extraversion is likely High because it reflects a proactive attitude towards socializing.', 'IF a person shows in a post a high degree of use of exclamations, emojis, and expressive language about social experiences, THEN extraversion is likely High because it illustrates a vibrant and engaging personality in social contexts.', 'IF a person shows in a post references to enjoying dancing, partying, or large social events, THEN extraversion is likely High because it indicates active participation in dynamic social environments.']","['Thanks for being the most amazing and supportive partner. We all appreciate everything you do for us.', ""Can't wait until the next one in December."", 'Dinner was lovely and lots of laughs and drinks as usual! Always great to see them.', ""Hope everyone can make it as it's going to be a special trip!""]",High,"{'Positive Emotions': 1, 'Energy/Activity': 2, 'Warmth': 1}",0
13,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",Moderate,"['IF a person shows in a post expressions of gratitude and excitement about spending time with loved ones, THEN extraversion is likely High because it reflects enjoyment of social experiences and the company of others.', 'IF a person shows in a post enthusiasm and eagerness to plan future social events or gatherings, THEN extraversion is likely High because it reflects a proactive attitude towards socializing.', 'IF a person shows in a post references to enjoying dancing, partying, or large social events, THEN extraversion is likely High because it indicates active participation in dynamic social environments.']","['Happy Birthday my Kub. I love you so much and am praying that God blesses you with peace and happiness this year.', ""Cant wait to do it again! Let's go whale watching next time."", 'We drank and danced to 80s music!']",High,"{'Positive Emotions': 1, 'Energy/Activity': 2}",0
15,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,"['IF a person shows in a post expressions of gratitude and excitement about spending time with loved ones, THEN extraversion is likely High because it reflects enjoyment of social experiences and the company of others.', 'IF a person shows in a post a willingness to engage with strangers and initiate social interactions, THEN extraversion is likely High because it indicates comfort in connecting with others in social contexts.', 'IF a person shows in a post a high degree of use of exclamations, emojis, and expressive language about social experiences, THEN extraversion is likely High because it illustrates a vibrant and engaging personality in social contexts.', 'IF a person shows in a post enthusiasm and eagerness to plan future social events or gatherings, THEN extraversion is likely High because it reflects a proactive attitude towards socializing.']","['Just got back from a reunion with some friends from back home!', 'To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love.', 'Hope to see you guys soon!!', 'Hope to see you guys soon!!']",High,"{'Positive Emotions': 1, 'Sociability': 1, 'Warmth': 1, 'Energy/Activity': 1}",1
17,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,"['IF a person shows in a post expressions of gratitude and excitement about spending time with loved ones, THEN extraversion is likely High because it reflects enjoyment of social experiences and the company of others.', 'IF a person shows in a post enthusiasm and eagerness to plan future social events or gatherings, THEN extraversion is likely High because it reflects a proactive attitude towards socializing.', 'IF a person shows in a post references to enjoying dancing, partying, or large social events, THEN extraversion is likely High because it indicates active participation in dynamic social environments.', 'IF a person shows in a post a high degree of use of exclamations, emojis, and expressive language about social experiences, THEN extraversion is likely High because it illustrates a vibrant and engaging personality in social contexts.']","['My darling partner, wishing you the best birthday ever (yet!).', 'I hope you will enjoy the celebrations we planned for you today.', ""What a wild time we've had, you would think that we were in 2004 living our best life."", 'Finally! The stars aligned!']",High,"{'Positive Emotions': 1, 'Energy/Activity': 2, 'Warmth': 1}",1
19,"So exciting to catch up with everyone! Being in our thirties means meeting up takes at least ten conversations about the event, at least one cancellation, minimum two babies and a stray husband. Glad this one made it out of the group chat. To next time; hopefully it doesn't take eight months ;)","Turning 30 has never looked better. Spending our twenties together was incredible; the highs, the lows, but most importantly being with you. So excited to spend the rest of my life with you. Happy birthday to the love of my life. You have changed my life in the most incredible way and you are so special to me. Cheers to my favourite person. I love you.",Moderate,"['IF a person shows in a post expressions of gratitude and excitement about spending time with loved ones, THEN extraversion is likely High because it reflects enjoyment of social experiences and the company of others.', 'IF a person shows in a post enthusiasm and eagerness to plan future social events or gatherings, THEN extraversion is likely High because it reflects a proactive attitude towards socializing.', 'IF a person shows in a post a high degree of use of exclamations, emojis, and expressive language about social experiences, THEN extraversion is likely High because it illustrates a vibrant and engaging personality in social contexts.', 'IF a person shows in a post expressions of gratitude and excitement about spending time with loved ones, THEN extraversion is likely High because it reflects enjoyment of social experiences and the company of others.']","['So excited to catch up with everyone! Glad this one made it out of the group chat.', ""To next time; hopefully it doesn't take eight months ;)"", 'So exciting to catch up with everyone!', 'Cheers to my favourite person. I love you.']",High,"{'Positive Emotions': 2, 'Energy/Activity': 1, 'Warmth': 1}",0
