p,post1,post2,true_label,matched_rules,matched_behaviours,pred_rule_based,category_counts,score_rules
2,"Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well, who'll see you through anything and everything. And no matter how old we get are still up for a good girls night out, even if it now takes us two days to recover! Night at Sixways is always the best, love this place, and Love you all ???? ","It's official, he's getting older! Happy birthday to my gorgeous husband, another year old and not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find. Looking forward to spoiling you rotten today - and maybe a few surprises this weekend! Happy birthday favourite human xoxo",High,"['IF a person shows in a post expressions of gratitude for friendships and excitement to reconnect, THEN extraversion is likely High because it reflects enthusiasm for social interactions and relationships.', 'IF a person shows in a post enjoyment and eagerness about future social events or gatherings, THEN extraversion is likely High because it highlights a desire for social engagement and connection.', 'IF a person shows in a post enjoyment in sharing humorous and fun experiences with friends, THEN extraversion is likely High because it indicates a lively social engagement.', 'IF a person shows in a post a focus on collective experiences and shared enjoyment, THEN extraversion is likely High because it emphasizes a desire for communal activities and friendships.']","[""Everyone needs those friends who know you so well, who'll see you through anything and everything."", 'Looking forward to spoiling you rotten today - and maybe a few surprises this weekend!', 'Not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find.', 'Such a great night with this incredible bunch']",High,"{'Warmth': 1, 'Energy/Activity': 1, 'Positive Emotions': 1, 'Sociability': 1}",1
3,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Moderate,"['IF a person shows in a post enjoyment and eagerness about future social events or gatherings, THEN extraversion is likely High because it highlights a desire for social engagement and connection.', 'IF a person shows in a post a focus on collective experiences and shared enjoyment, THEN extraversion is likely High because it emphasizes a desire for communal activities and friendships.', 'IF a person shows in a post expressions of gratitude for friendships and excitement to reconnect, THEN extraversion is likely High because it reflects enthusiasm for social interactions and relationships.', 'IF a person shows in a post enjoyment in sharing humorous and fun experiences with friends, THEN extraversion is likely High because it indicates a lively social engagement.']","['We love spending time together and chilling out.', 'We spent the evening wining and dining.', 'Happy birthday, hope you have the best day ever XX I cherish all our memories together.', 'Feeling it today haha!']",High,"{'Energy/Activity': 1, 'Sociability': 1, 'Warmth': 1, 'Positive Emotions': 1}",0
4,"Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time. It's great to see all these familiar faces smiling back at me! I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!","Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more! I know that you will a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way. Enjoy your day, take some time to yourself and start back to work tomorrow. L,S",Moderate,"['IF a person shows in a post expressions of gratitude for friendships and excitement to reconnect, THEN extraversion is likely High because it reflects enthusiasm for social interactions and relationships.', 'IF a person shows in a post enjoyment and eagerness about future social events or gatherings, THEN extraversion is likely High because it highlights a desire for social engagement and connection.', 'IF a person shows in a post eagerness to make future plans with people, THEN extraversion is likely High because it illustrates a proactive approach to socialization.', 'IF a person shows in a post a focus on collective experiences and shared enjoyment, THEN extraversion is likely High because it emphasizes a desire for communal activities and friendships.']","[""It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time."", 'I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!', 'Just wanted you to know I was thinking about you on your special day and wish you many more!', ""It's great to see all these familiar faces smiling back at me!""]",High,"{'Warmth': 1, 'Energy/Activity': 1, 'Sociability': 2}",0
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"['IF a person shows in a post expressions of gratitude for friendships and excitement to reconnect, THEN extraversion is likely High because it reflects enthusiasm for social interactions and relationships.', 'IF a person shows in a post enjoyment and eagerness about future social events or gatherings, THEN extraversion is likely High because it highlights a desire for social engagement and connection.', 'IF a person shows in a post enjoyment in sharing humorous and fun experiences with friends, THEN extraversion is likely High because it indicates a lively social engagement.', 'IF a person shows in a post expressions of gratitude for friendships and excitement to reconnect, THEN extraversion is likely High because it reflects enthusiasm for social interactions and relationships.', 'IF a person shows in a post enjoyment and eagerness about future social events or gatherings, THEN extraversion is likely High because it highlights a desire for social engagement and connection.']","['I have reunited with my childhood friends and I was so excited.', 'I totally recommend if you can do it as the feeling of meeting someone you used to play with is unforgettable.', 'the fact that you used to be so close with them is shocking!', 'I am so happy to see you growing up bit by bit.', 'I wish you the best of many days and years to come.']",High,"{'Warmth': 2, 'Energy/Activity': 2, 'Positive Emotions': 1}",1
12,"Had a great catch up with my old school pals. 
Dinner was lovely and lots of laughs and drinks as usual! Always great to see them and amazing that we are all still friends after over 30 years.
Can't wait until the next one in December . Hope everyone can make it as it's going to be a special trip!","Wishing you the happiest of birthdays. You deserve to have the best day!
Thanks for being the most amazing and supportive partner.
We all appreciate everything you do for us .
We hope you love your surprise party .. you won't read this until after , so it's safe to write this :-) Lots of love ...",Moderate,"['IF a person shows in a post enjoyment and eagerness about future social events or gatherings, THEN extraversion is likely High because it highlights a desire for social engagement and connection.', 'IF a person shows in a post expressions of gratitude for friendships and excitement to reconnect, THEN extraversion is likely High because it reflects enthusiasm for social interactions and relationships.', 'IF a person shows in a post enjoyment in sharing humorous and fun experiences with friends, THEN extraversion is likely High because it indicates a lively social engagement.']","[""Can't wait until the next one in December. Hope everyone can make it as it's going to be a special trip!"", 'Wishing you the happiest of birthdays. You deserve to have the best day! Thanks for being the most amazing and supportive partner. We all appreciate everything you do for us.', 'Dinner was lovely and lots of laughs and drinks as usual!']",High,"{'Energy/Activity': 1, 'Warmth': 1, 'Positive Emotions': 1}",0
13,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",Moderate,"['IF a person shows in a post a willingness to engage and perform actions to get the attention of others, THEN extraversion is likely High because it indicates an outgoing and sociable nature.', 'IF a person shows in a post expressions of gratitude for friendships and excitement to reconnect, THEN extraversion is likely High because it reflects enthusiasm for social interactions and relationships.', 'IF a person shows in a post enjoyment in sharing humorous and fun experiences with friends, THEN extraversion is likely High because it indicates a lively social engagement.', 'IF a person shows in a post enjoyment and eagerness about future social events or gatherings, THEN extraversion is likely High because it highlights a desire for social engagement and connection.', 'IF a person shows in a post a focus on collective experiences and shared enjoyment, THEN extraversion is likely High because it emphasizes a desire for communal activities and friendships.']","[""I can't wait to do it again! Let's go whale watching next time."", 'Shout out to Dassi. I love you! Cant wait to do it again!', 'We drank and danced to 80s music! I kicked her butt in air hockey.', ""Let's go whale watching next time."", 'I hung out with my best friend when I was a teenager.']",High,"{'Sociability': 2, 'Warmth': 1, 'Positive Emotions': 1, 'Energy/Activity': 1}",0
14,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,High,"['IF a person shows in a post expressions of gratitude for friendships and excitement to reconnect, THEN extraversion is likely High because it reflects enthusiasm for social interactions and relationships.', 'IF a person shows in a post enjoyment in sharing humorous and fun experiences with friends, THEN extraversion is likely High because it indicates a lively social engagement.', 'IF a person shows in a post eagerness to make future plans with people, THEN extraversion is likely High because it illustrates a proactive approach to socialization.']","[""I'm so blessed to be able to call you guys my family."", 'Whether we go for drinks, go out to eat, or are just kicked back smoking and talking.', ""I love you so much and I'm so blessed to have you.""]",High,"{'Warmth': 1, 'Positive Emotions': 1, 'Sociability': 1}",1
17,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,"['IF a person shows in a post enjoyment and eagerness about future social events or gatherings, THEN extraversion is likely High because it highlights a desire for social engagement and connection.', 'IF a person shows in a post a willingness to engage and perform actions to get the attention of others, THEN extraversion is likely High because it indicates an outgoing and sociable nature.', 'IF a person shows in a post a focus on collective experiences and shared enjoyment, THEN extraversion is likely High because it emphasizes a desire for communal activities and friendships.']","['I hope you will enjoy the celebrations we planned for you today.', 'The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20!', ""What a wild time we've had, you would think that we were in 2004 living our best life at XXX university!""]",High,"{'Energy/Activity': 1, 'Sociability': 2}",1
18,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",Low,"['IF a person shows in a post a willingness to engage and perform actions to get the attention of others, THEN extraversion is likely High because it indicates an outgoing and sociable nature.', 'IF a person shows in a post enjoyment and eagerness about future social events or gatherings, THEN extraversion is likely High because it highlights a desire for social engagement and connection.', 'IF a person shows in a post enjoyment in sharing humorous and fun experiences with friends, THEN extraversion is likely High because it indicates a lively social engagement.', 'IF a person shows in a post enjoyment and eagerness about future social events or gatherings, THEN extraversion is likely High because it highlights a desire for social engagement and connection.', 'IF a person shows in a post a focus on collective experiences and shared enjoyment, THEN extraversion is likely High because it emphasizes a desire for communal activities and friendships.']","['School reunion gathering, fun night with all.', ""Let's not leave it so long next time."", 'Lots of laughs and embarrassing stories which may or may not have been true.', 'Here to cake, fizz and a fun-filled day of surprises.', 'It was great to catch up with everyone again after so long.']",High,"{'Sociability': 2, 'Energy/Activity': 2, 'Positive Emotions': 1}",0
19,"So exciting to catch up with everyone! Being in our thirties means meeting up takes at least ten conversations about the event, at least one cancellation, minimum two babies and a stray husband. Glad this one made it out of the group chat. To next time; hopefully it doesn't take eight months ;)","Turning 30 has never looked better. Spending our twenties together was incredible; the highs, the lows, but most importantly being with you. So excited to spend the rest of my life with you. Happy birthday to the love of my life. You have changed my life in the most incredible way and you are so special to me. Cheers to my favourite person. I love you.",Moderate,"['IF a person shows in a post a willingness to engage and perform actions to get the attention of others, THEN extraversion is likely High because it indicates an outgoing and sociable nature.', 'IF a person shows in a post expressions of gratitude for friendships and excitement to reconnect, THEN extraversion is likely High because it reflects enthusiasm for social interactions and relationships.', 'IF a person shows in a post enjoyment and eagerness about future social events or gatherings, THEN extraversion is likely High because it highlights a desire for social engagement and connection.', 'IF a person shows in a post enjoyment in sharing humorous and fun experiences with friends, THEN extraversion is likely High because it indicates a lively social engagement.', 'IF a person shows in a post a focus on collective experiences and shared enjoyment, THEN extraversion is likely High because it emphasizes a desire for communal activities and friendships.']","['So exciting to catch up with everyone!', 'Glad this one made it out of the group chat.', ""To next time; hopefully it doesn't take eight months ;)"", 'Being in our thirties means meeting up takes at least ten conversations about the event, at least one cancellation, minimum two babies and a stray husband.', 'Spending our twenties together was incredible; the highs, the lows, but most importantly being with you.']",High,"{'Sociability': 2, 'Warmth': 1, 'Energy/Activity': 1, 'Positive Emotions': 1}",0
