p,post1,post2,true_label,matched_rules,matched_behaviours,pred_rule_based,category_counts,score_rules
1,OMG we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night,I just want to shout out happy birthday to my amazing husband he always does everything for us and gets up and goes to work and works hard everyday to provide everything that we need I just want to say I'm so grateful for him and everything he has done for me and our children and I will continue to be grateful everyday,High,"[""IF a person uses phrases like 'lots of laughs,' 'great times,' and 'can't wait until the next one' in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions.""]",['we went to the movie theater and watched a new movie and had fun'],High,{'Uncategorized': 1},1
4,"Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time. It's great to see all these familiar faces smiling back at me! I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!","Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more! I know that you will a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way. Enjoy your day, take some time to yourself and start back to work tomorrow. L,S",Moderate,"[""IF a person uses phrases like 'lots of laughs,' 'great times,' and 'can't wait until the next one' in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions.""]","[""It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time.""]",High,{'Uncategorized': 1},0
5,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Low,"[""IF a person uses phrases like 'lots of laughs,' 'great times,' and 'can't wait until the next one' in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions."", 'IF a person recounts a social experience with an emphasis on food and drink, focusing less on the interpersonal interactions in their post THEN extraversion is likely Low because it suggests a lower emphasis on social engagement.', 'IF a person describes feeling awkward and uncomfortable in a social setting, implying a lack of enjoyment in those interactions THEN extraversion is likely Low because it suggests disinterest in socializing and a preference for solitude.', ""IF a person's language indicates a passive observation of a social event without excitement or active participation in their experiences THEN extraversion is likely Low because it reflects a lack of assertiveness in social environments."", 'IF a person shares an experience of a reunion but focuses primarily on personal reflections or comparisons rather than the social aspects of the gathering THEN extraversion is likely Low because it implies a preference for introspection over social engagement.']","['I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories.', 'This rule does not apply.', 'This rule does not apply.', 'This rule does not apply.', 'This rule does not apply.']",High,"{'Uncategorized': 2, 'Sociability': 2, 'Warmth': 1}",0
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"[""IF a person uses phrases like 'lots of laughs,' 'great times,' and 'can't wait until the next one' in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions."", 'IF a person shares an experience of a reunion but focuses primarily on personal reflections or comparisons rather than the social aspects of the gathering THEN extraversion is likely Low because it implies a preference for introspection over social engagement.']","['I was so excited. it was an amazing experience which I totally recommend if you can do it.', 'the feeling of meeting someone you used to play with when you talked to them is unforgettable.']",High,"{'Uncategorized': 1, 'Warmth': 1}",1
7,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,High,"['IF a person uses phrases like ""lots of laughs,"" ""great times,"" and ""can\'t wait until the next one"" in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions.', 'IF a person uses phrases like ""can\'t wait until the next one"" in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions.']","['Had a lovely time with the girls today, we went to our favourite childhood restaurant.', 'I love you dearly and cant wait to spend the rest of the day with you.']",High,"{'Positive Emotions': 1, 'Uncategorized': 1}",1
8,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Moderate,"['IF a person uses phrases like ""lots of laughs,"" ""great times,"" and ""can\'t wait until the next one"" in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions.', 'IF a person uses phrases like ""lots of laughs,"" ""great times,"" and ""can\'t wait until the next one"" in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions.', 'IF a person uses phrases like ""lots of laughs,"" ""great times,"" and ""can\'t wait until the next one"" in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions.', 'IF a person uses phrases like ""lots of laughs,"" ""great times,"" and ""can\'t wait until the next one"" in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions.']","['had so much fun seeing you all again and catching up.', 'we should make this an annual thing every year.', 'i cant wait to celebrate every birthday with you.', 'cant wait to celebrate this day with you.']",High,{'Positive Emotions': 4},0
10,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",High,"['IF a person uses phrases like ""lots of laughs,"" ""great times,"" and ""can\'t wait until the next one"" in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions.', 'IF a person talks about the enjoyment of a specific social activity, such as singing karaoke in front of others, THEN this indicates a high level of extraversion due to the enjoyment of being the center of attention in social situations.', 'IF a person expresses affection and enthusiasm in a birthday message, indicating a desire to celebrate with others, THEN extraversion is likely High because this reflects a warmth and willingness to engage socially.']","[""having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time."", 'just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique!', ""Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you xxxxx""]",High,"{'Positive Emotions': 1, 'Uncategorized': 2}",1
11,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",Low,"['IF a person uses phrases like ""lots of laughs,"" ""great times,"" and ""can\'t wait until the next one"" in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions.']","[""I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up.""]",High,{'Positive Emotions': 1},0
13,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",Moderate,"[""IF a person uses phrases like 'lots of laughs,' 'great times,' and 'can't wait until the next one' in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions.""]","[""I love you! Cant wait to do it again! Let's go whale watching next time.""]",High,{'Uncategorized': 1},0
21,"Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals. Food, drinks, music, games and great chat! Venue was great too with great service, would highly recommend. Thanks to all for coming. Should make this a regular thing, so heres to the next one!","A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that i know, and i am privileged to have you in my life. Congratulations on all that you have achieved and your recent success, long may it continue. thanks for many memories and look forward to creating many more with you.",Low,"['IF a person uses phrases like ""lots of laughs,"" ""great times,"" and ""can\'t wait until the next one"" in a post THEN extraversion is likely High because these expressions showcase a fondness for social interactions.', 'IF a person shares an experience of a reunion but focuses primarily on personal reflections or comparisons rather than the social aspects of the gathering THEN extraversion is likely Low because it implies a preference for introspection over social engagement.']","['Good times with old friends! Great catch up... great chat!... Should make this a regular thing, so heres to the next one!', 'Thanks for many memories and look forward to creating many more with you.']",High,"{'Positive Emotions': 1, 'Warmth': 1}",0
