p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero,rep,fold
4,"Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time. It's great to see all these familiar faces smiling back at me! I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!","Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more! I know that you will a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way. Enjoy your day, take some time to yourself and start back to work tomorrow. L,S",Moderate,"IF a person shows in a post a desire to meet new people and suggests frequent socializing, THEN extraversion is likely High because this implies an enjoyment of expanding social connections.; IF a person shows in a post a willingness to engage with others and initiate conversation, THEN extraversion is likely High because this reflects active social interaction.",Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time.; I know that you will a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way.,High,High,{'Sociability': 2},0,0,4,3
5,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Low,"IF a person shows in a post a tendency to reminisce about past social experiences without eagerness for new ones, THEN extraversion is likely Low because this reflects a disengagement from new social opportunities.; IF a person shows in a post a focus on solitary activities and does not emphasize social interactions, THEN extraversion is likely Low because this indicates a preference for low social engagement.; IF a person shows in a post references to spending time with a limited number of friends and expresses minimal enthusiasm, THEN extraversion is likely Low because this indicates a preference for fewer social interactions.","Lovely to catch up with some old friends and reminisce on childhood memories!; I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories.; It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them.",High,Low,{'Sociability': 3},1,0,4,3
7,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,High,"IF a person shows in a post a tendency to reminisce about past social experiences without eagerness for new ones, THEN extraversion is likely Low because this reflects a disengagement from new social opportunities.; IF a person shows in a post references to spending time with a limited number of friends and expresses minimal enthusiasm, THEN extraversion is likely Low because this indicates a preference for fewer social interactions.","Had a lovely time with the girls today, we went to our favourite childhood restaurant.; 15 years of friendship down, a lifetime to go.",High,Low,{'Sociability': 2},0,1,4,3
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"IF a person shows in a post a desire to meet new people and suggests frequent socializing, THEN extraversion is likely High because this implies an enjoyment of expanding social connections.; IF a person shows in a post a willingness to engage with others and initiate conversation, THEN extraversion is likely High because this reflects active social interaction.",Let me know when you're all back in town - we can hang out again.; Happy birthday!! I hope you had an amazing day with friends and family - and thank you for letting me share it with you.,High,High,{'Sociability': 2},0,0,4,3
11,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",Low,"IF a person shows in a post a desire to meet new people and suggests frequent socializing, THEN extraversion is likely High because this implies an enjoyment of expanding social connections.; IF a person shows in a post a willingness to engage with others and initiate conversation, THEN extraversion is likely High because this reflects active social interaction.",I can't wait to update you guys on the plans we have to catch up.; Hey guys!!! guess who we have here today??? My childhood friends came over.,High,High,{'Sociability': 2},0,0,4,3
13,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",Moderate,"IF a person shows in a post a desire to meet new people and suggests frequent socializing, THEN extraversion is likely High because this implies an enjoyment of expanding social connections.; IF a person shows in a post a tendency to reminisce about past social experiences without eagerness for new ones, THEN extraversion is likely Low because this reflects a disengagement from new social opportunities.",I can't wait to do it again! Let's go whale watching next time.; I hung out with my best friend when I was a teenager.,High,Moderate,{'Sociability': 2},1,0,4,3
17,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,"IF a person shows in a post a desire to meet new people and suggests frequent socializing, THEN extraversion is likely High because this implies an enjoyment of expanding social connections.; IF a person shows in a post a tendency to reminisce about past social experiences without eagerness for new ones, THEN extraversion is likely Low because this reflects a disengagement from new social opportunities.; IF a person shows in a post a willingness to engage with others and initiate conversation, THEN extraversion is likely High because this reflects active social interaction.",Finally! The stars aligned and we were able to go out together!; you would think that we were in 2004 living our best life at XXX university!; I hope you will enjoy the celebrations we planned for you today.,High,Moderate,{'Sociability': 3},0,1,4,3
21,"Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals. Food, drinks, music, games and great chat! Venue was great too with great service, would highly recommend. Thanks to all for coming. Should make this a regular thing, so heres to the next one!","A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that i know, and i am privileged to have you in my life. Congratulations on all that you have achieved and your recent success, long may it continue. thanks for many memories and look forward to creating many more with you.",Low,"IF a person shows in a post a desire to meet new people and suggests frequent socializing, THEN extraversion is likely High because this implies an enjoyment of expanding social connections.; IF a person shows in a post a tendency to reminisce about past social experiences without eagerness for new ones, THEN extraversion is likely Low because this reflects a disengagement from new social opportunities.","Should make this a regular thing, so heres to the next one!; Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals.",High,Moderate,{'Sociability': 2},0,0,4,3
23,An unforgettable day with childhood friends! A magical day reminicising together and catching up after so long. Doesn’t matter how long it’s been we all slot back together like no time has passed at all. Watching our kids play together and seeing the cycles of life begin all over again is so emotional. Love you all xx #westhillgang #pyegreenmassive #childhood #friends,"Happy Birthday to my best friend, the best husband and dad in the world! I’ve celebrated 13 of your birthdays with you and every day in between and for all the chats and hugs, the love, the tough times, it is never ever enough. I look forward to seeing you every morning, I can’t wait to see you after work every day. The love of my life, I am so in love with you. Happy Birthday, my love xxx",Low,"IF a person shows in a post a tendency to reminisce about past social experiences without eagerness for new ones, THEN extraversion is likely Low because this reflects a disengagement from new social opportunities.; IF a person shows in a post references to spending time with a limited number of friends and expresses minimal enthusiasm, THEN extraversion is likely Low because this indicates a preference for fewer social interactions.","An unforgettable day with childhood friends! A magical day reminicising together and catching up after so long.; Happy Birthday to my best friend, the best husband and dad in the world! I’ve celebrated 13 of your birthdays with you...",High,Low,{'Sociability': 2},1,0,4,3
24,"Had the best time ca tching up with my chilidhood friends last night! It’s amazing how, despite t he years, we fall riight back into those silly jokes and shared memories. From playing games in the backyard to reminis cing about our wild adventures, it was a great reminder of the b onds that shaped us","Happy Birtihday to the love of my life! i’m so grateful for every moment we share together. You bring so mucih joy and laughter into my world. I can’t wait to celebrate you today and make more amazinng memories! Here’s to another year of love, adventure, and all your dreams coming true. You deserve the best!",High,"IF a person shows in a post a tendency to reminisce about past social experiences without eagerness for new ones, THEN extraversion is likely Low because this reflects a disengagement from new social opportunities.; IF a person shows in a post references to spending time with a limited number of friends and expresses minimal enthusiasm, THEN extraversion is likely Low because this indicates a preference for fewer social interactions.","Had the best time catching up with my childhood friends last night! It’s amazing how, despite the years, we fall right back into those silly jokes and shared memories.; Had the best time catching up with my childhood friends last night!",High,Low,{'Sociability': 2},0,1,4,3
