p,true_label,few_shot_pred,few_shot_score,zero_shot_pred,zero_shot_score
12,Moderate,High,0,High,0
16,Low,High,0,High,0
20,High,High,1,High,1
21,Low,High,0,High,0
23,Low,High,0,High,0
28,Low,High,0,High,0
29,Moderate,High,0,High,0
30,Low,High,0,High,0
33,Low,High,0,High,0
37,Moderate,Moderate,1,High,0
38,Low,Moderate,0,Moderate,0
39,Moderate,High,0,High,0
41,High,High,1,High,1
43,Low,High,0,High,0
46,Moderate,High,0,High,0
53,Moderate,High,0,High,0
55,Moderate,High,0,High,0
56,Moderate,High,0,High,0
59,High,High,1,High,1
60,Low,Moderate,0,Moderate,0
1,High,High,1,High,1
4,Moderate,High,0,High,0
5,Low,Moderate,0,High,0
6,High,Moderate,0,High,1
8,Moderate,Moderate,1,High,0
9,Moderate,Moderate,1,High,0
10,High,High,1,High,1
13,Moderate,Moderate,1,High,0
14,High,Moderate,0,High,1
19,Moderate,Moderate,1,High,0
22,Low,Moderate,0,High,0
26,High,High,1,High,1
27,Low,Unknown,0,Moderate,0
32,Moderate,High,0,High,0
35,High,Moderate,0,High,1
47,High,Moderate,0,High,1
48,Low,High,0,High,0
50,Low,Moderate,0,High,0
52,Low,Moderate,0,High,0
58,Low,Moderate,0,High,0
2,High,High,1,High,1
3,Moderate,High,0,High,0
7,High,High,1,High,1
11,Low,High,0,High,0
15,High,High,1,High,1
17,High,High,1,High,1
18,Low,High,0,High,0
24,High,High,1,High,1
25,Moderate,High,0,High,0
31,High,High,1,High,1
34,Moderate,Moderate,1,High,0
36,High,High,1,High,1
40,Moderate,High,0,High,0
42,High,High,1,High,1
44,Low,High,0,High,0
45,Moderate,Moderate,1,High,0
49,Moderate,High,0,High,0
51,High,High,1,High,1
54,High,High,1,High,1
57,Low,Low,1,Moderate,0
