p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero
30,"What a weekend we have just had catching up with my childhood friends. The sun made a special appearance for us and it felt like the gods were looking out for us!

We ate, drank, laughed and shopped our hearts out.

Thank you for this special time together and can’t wait to do this again ????????","Happy birthday to you, my wonderful husband. Can’t wait to shower you with your gifts and take you out and celebrate you. We will go to your favourite restaurant ??

Congratulations ?? on this your special birthday ?? ?? let’s have lots of funnnnn!!

Love you very much, see you later my darling xxxxx",Low,"['IF a person shares in a post that they enjoy nights out with a group of people THEN extraversion is likely High because this indicates pleasure in social interactions.', 'IF a person shows excitement in sharing their plans on social media and updates friends about their activities THEN extraversion is likely High because this reflects a desire for connection and social sharing.', 'IF a person demonstrates enthusiasm and excitement, especially using punctuation in their posts about social events, THEN extraversion is likely High because this signals positivity associated with social engagement.', 'IF a person mentions enjoying spending time with others and communicates these interactions on social media THEN extraversion is likely High because this illustrates a proactive approach to socializing.']","['What a weekend we have just had catching up with my childhood friends.', 'Thank you for this special time together and can’t wait to do this again ????????', 'Can’t wait to shower you with your gifts and take you out and celebrate you.', 'let’s have lots of funnnnn!!']",High,High,"{'Sociability': 3, 'Positive Emotions': 1}",0,0
24,"Had the best time ca tching up with my chilidhood friends last night! It’s amazing how, despite t he years, we fall riight back into those silly jokes and shared memories. From playing games in the backyard to reminis cing about our wild adventures, it was a great reminder of the b onds that shaped us","Happy Birtihday to the love of my life! i’m so grateful for every moment we share together. You bring so mucih joy and laughter into my world. I can’t wait to celebrate you today and make more amazinng memories! Here’s to another year of love, adventure, and all your dreams coming true. You deserve the best!",High,"['IF a person enjoys nights out with a group of people THEN extraversion is likely High because this indicates pleasure in social interactions.', 'IF a person shows enthusiasm in sharing their plans on social media and updates friends about their activities THEN extraversion is likely High because this reflects a desire for connection and social sharing.', 'IF a person expresses a desire to spend more time with people in their communications THEN extraversion is likely High because this reflects social motivation and engagement.', 'IF a person expresses enthusiasm and excitement, especially using punctuation in their posts about social events, THEN extraversion is likely High because this signals positivity associated with social engagement.']","['Had the best time catching up with my childhood friends last night!', 'I can’t wait to celebrate you today and make more amazing memories!', 'You bring so much joy and laughter into my world.', 'I can’t wait to celebrate you today and make more amazing memories!']",High,High,"{'Uncategorized': 3, 'Sociability': 1}",1,1
23,An unforgettable day with childhood friends! A magical day reminicising together and catching up after so long. Doesn’t matter how long it’s been we all slot back together like no time has passed at all. Watching our kids play together and seeing the cycles of life begin all over again is so emotional. Love you all xx #westhillgang #pyegreenmassive #childhood #friends,"Happy Birthday to my best friend, the best husband and dad in the world! I’ve celebrated 13 of your birthdays with you and every day in between and for all the chats and hugs, the love, the tough times, it is never ever enough. I look forward to seeing you every morning, I can’t wait to see you after work every day. The love of my life, I am so in love with you. Happy Birthday, my love xxx",Low,"['IF a person expresses that they are distant and reserved in their interactions, even with a partner, THEN extraversion is likely Low because this reflects a preference for solitude and introspection.', 'IF a person reflects on experiences without emphasizing social aspects or interactions with a wider group THEN extraversion is likely Low because this suggests a focus on personal thoughts over social engagement.']","['I look forward to seeing you every morning, I can’t wait to see you after work every day.', 'A magical day reminiscing together and catching up after so long.']",High,Low,{'Sociability': 2},1,1
43,"Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait. All those memories, all the good times and the best part about it, we get to recreate those memories and relive them every time we talk about them. Good to see everytime. Until the next time!","Happy birthday to the most gorgeous girl i've ever laid eyes on in my entire life. I always felt as though i was missing something in life, and now that i've found you i finally feel whole. I hope you have the best day and i hope you get everything you want out of life. Love you. I'll be raising a glass today, To more happiness and more memories!",Low,"['IF a person shares in a post that they enjoy nights out with a group of people THEN extraversion is likely High because this indicates pleasure in social interactions.', 'IF a person reflects on experiences without emphasizing social aspects or interactions with a wider group THEN extraversion is likely Low because this suggests a focus on personal thoughts over social engagement.', 'IF a person shows excitement in sharing their plans on social media and updates friends about their activities THEN extraversion is likely High because this reflects a desire for connection and social sharing.', 'IF a person demonstrates enthusiasm and excitement, especially using punctuation in their posts about social events, THEN extraversion is likely High because this signals positivity associated with social engagement.', 'IF a person expresses a desire to see friends again and tags them in a post to initiate plans THEN extraversion is likely High because this shows an eagerness to maintain social connections.']","['Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait.', 'All those memories, all the good times and the best part about it, we get to recreate those memories and relive them every time we talk about them.', 'Good to see everytime. Until the next time!', ""Happy birthday to the most gorgeous girl i've ever laid eyes on in my entire life."", ""I'll be raising a glass today, To more happiness and more memories!""]",High,High,"{'Sociability': 4, 'Positive Emotions': 1}",0,0
7,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,High,"['IF a person shares in a post that they enjoy nights out with a group of people THEN extraversion is likely High because this indicates pleasure in social interactions.', 'IF a person highlights the value of long-standing friendships over new acquaintances THEN extraversion is likely Low because this indicates a preference for familiarity over openness to new social experiences.', 'IF a person expresses a desire to spend more time with people in their communications THEN extraversion is likely High because this reflects social motivation and engagement.']","['Had a lovely time with the girls today.', '15 years of friendship down, a lifetime to go.', 'cant wait to spend the rest of the day with you.']",High,Moderate,{'Sociability': 3},0,0
18,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",Low,"['IF a person shares in a post that they enjoy nights out with a group of people THEN extraversion is likely High because this indicates pleasure in social interactions.', 'IF a person expresses excitement in sharing their plans on social media and updates friends about their activities THEN extraversion is likely High because this reflects a desire for connection and social sharing.', 'IF a person expresses enthusiasm and excitement, especially using punctuation in their posts about social events, THEN extraversion is likely High because this signals positivity associated with social engagement.', 'IF a person mentions enjoying spending time with others and communicates these interactions on social media THEN extraversion is likely High because this illustrates a proactive approach to socializing.', 'IF a person describes their enjoyment of partying during their university days in detail THEN extraversion is likely High because this indicates a fondness for social and communal activities.']","['School reunion gathering, fun night with all.', 'It was great to catch up with everyone again after so long.', ""Here's to being not too old to dance the night away in true school disco style."", 'He has finally made it another year older.', 'Here to cake, fizz and a fun-filled day of surprises.']",High,High,"{'Sociability': 3, 'Uncategorized': 2}",0,0
56,Finally back together again! Been far too long since we've seen each other but the three idiots are together and making mischief again at last. My cheeks and sides are already hurting from laughing too much. Time to set the world to rights and consume exhorbitant amounts of alcohol. Cheers!,"Happy birthday Big Ears! Just kidding, happy birthday to the loveliest man in the whole wide world! Another year older and just getting cuter (and somehow more silly) with age. Hope you have the best day with the best group of misfits and copious amounts of steak, cake an champagne! Lot's of prezzies waiting for you too!",Moderate,"['IF a person shares in a post that they enjoy nights out with a group of people THEN extraversion is likely High because this indicates pleasure in social interactions.', 'IF a person shows excitement in sharing their plans on social media and updates friends about their activities THEN extraversion is likely High because this reflects a desire for connection and social sharing.', 'IF a person describes their enjoyment of partying during their university days in detail THEN extraversion is likely High because this indicates a fondness for social and communal activities.', 'IF a person demonstrates enthusiasm and excitement, especially using punctuation in their posts about social events, THEN extraversion is likely High because this signals positivity associated with social engagement.']","[""Been far too long since we've seen each other but the three idiots are together and making mischief again at last."", 'Time to set the world to rights and consume exhorbitant amounts of alcohol. Cheers!', 'Hope you have the best day with the best group of misfits and copious amounts of steak, cake an champagne!', 'Happy birthday to the loveliest man in the whole wide world! Another year older and just getting cuter (and somehow more silly) with age.']",High,High,"{'Sociability': 3, 'Positive Emotions': 1}",0,0
44,"How time surely flies meeting up with my old class for 08” has brought back so many good memories and some much nostalgia but glad today we are here together again and making more new memories. Growing up we always talked about this moment and how memorable it would be to be able to actually do after 10 years feels so surreal, am glad we meet so many years ago wouldn’t ask for more # when friends become family ????",when we meet online a few ago i never would imagined we would be celebrating your 34th  birthday together in this moment. I wish you many more birthdays ahead and wanted to let you know you are truly loved and appreciated everyday you bring love and warmth into our lives i could not ask for more. Many this birthday be everything you wish for and more and hope you age gracefully and we will celebrate many more birthdays together ??????????,Low,"['IF a person expresses a desire to see friends again and tags them in a post to initiate plans THEN extraversion is likely High because this shows an eagerness to maintain social connections.', 'IF a person shows excitement in sharing their plans on social media and updates friends about their activities THEN extraversion is likely High because this reflects a desire for connection and social sharing.']","['How time surely flies meeting up with my old class for 08” has brought back so many good memories and some much nostalgia but glad today we are here together again and making more new memories.', 'when we meet online a few ago i never would imagined we would be celebrating your 34th birthday together in this moment.']",High,Moderate,{'Sociability': 2},0,0
60,"Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy. We all grew up together and went to the same little local school, it feels so long ago and we and the world around has changed so much, sometimes I think too much, and to able to get together and share all our memories is so comforting.","To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for, you certainly deserve it, you have been a wonderful partner to me and such a good father to our sons, where would we be without you, you always put us first and show us you care, it means the world to us to know we have your love and support.",Low,"['IF a person reflects on experiences without emphasizing social aspects or interactions with a wider group THEN extraversion is likely Low because this suggests a focus on personal thoughts over social engagement.', 'IF a person expresses that they are distant and reserved in their interactions, even with a partner, THEN extraversion is likely Low because this reflects a preference for solitude and introspection.']","['Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy.', 'where would we be without you, you always put us first and show us you care, it means the world to us to know we have your love and support.']",Moderate,Low,{'Sociability': 2},1,1
10,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",High,"['IF a person shares in a post that they enjoy nights out with a group of people THEN extraversion is likely High because this indicates pleasure in social interactions.', 'IF a person expresses a desire to see friends again and tags them in a post to initiate plans THEN extraversion is likely High because this shows an eagerness to maintain social connections.', 'IF a person demonstrates enthusiasm and excitement, especially using punctuation in their posts about social events, THEN extraversion is likely High because this signals positivity associated with social engagement.', 'IF a person expresses a desire to spend more time with people in their communications THEN extraversion is likely High because this reflects social motivation and engagement.', 'IF a person displays an outgoing tone and uses a lot of emojis to express their feelings in posts THEN extraversion is likely High because this suggests comfort in being sociable.', 'IF a person demonstrates enthusiasm and excitement, especially using punctuation in their posts about social events, THEN extraversion is likely High because this signals positivity associated with social engagement.']","[""having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time."", ""we mustn't leave it so long next time."", 'just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique !', 'Talking about old times at school was a blast....rekindled many good memories.', 'expect the princess treatment !!! love you  xxxxx', 'happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx']",High,High,"{'Sociability': 3, 'Positive Emotions': 2, 'Warmth': 1}",1,1
