p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero
34,"just been to a reunion with my childhood friends and it was a great night and i would like to thank them all for great night.
 it brought back some good memorys and good times. at least this time we got drunk legally and didn't have to run off when we got caught.
i think we  should all do it again in the very near future. ","i would like to wish my better half a very happy birthday and i hope you have a very good day. you are the best thing that ever happened to me and i would be lost with out you.
 i've got a few special things planned for us to do for your birthday and i hope you will enjoy yourself.
",Moderate,"['IF a person expresses gratitude towards others for a shared experience, THEN extraversion is likely High because this reflects a tendency to connect with others and appreciate social interactions.', 'IF a person mentions looking forward to future social events, THEN extraversion is likely High as it indicates enthusiasm for engaging with others.', 'IF a person expresses positive sentiments towards a partner and plans special activities for them, THEN extraversion is likely High because it demonstrates a desire for connection and shared happiness.']","['just been to a reunion with my childhood friends and it was a great night and i would like to thank them all for great night.', 'i think we should all do it again in the very near future.', ""i've got a few special things planned for us to do for your birthday and i hope you will enjoy yourself.""]",High,High,{'Uncategorized': 3},0,0
25,"Was lucky enough to recently meet up and have an amazing time catching up with old friends from school who I hadn't seen in years, these are the people who made my childhood and shaped me into the person i am now so to see them all again and share memories was unbelievable, hopefully do it again soon","Happy birthday to my amazing partner, hope you have an fantastic day, thank you for everything you have done for me since the first moment I met you and putting up with me all the time, wishing you an amazing day and I've got a lot planned that will hopefully give you the day you deserve and to spoil you ",Moderate,"['IF a person expresses joy about reconnecting with friends and values those relationships, THEN extraversion is likely High because this reflects a strong inclination towards social interaction and community.', 'IF a person shares enthusiastic sentiments about celebrations and shows appreciation for a partner, THEN extraversion is likely High because this is indicative of valuing social connections and expressing affection openly.']","[""Was lucky enough to recently meet up and have an amazing time catching up with old friends from school who I hadn't seen in years."", 'Happy birthday to my amazing partner, hope you have an fantastic day, thank you for everything you have done for me since the first moment I met you.']",High,High,{'Uncategorized': 2},0,0
24,"Had the best time ca tching up with my chilidhood friends last night! It’s amazing how, despite t he years, we fall riight back into those silly jokes and shared memories. From playing games in the backyard to reminis cing about our wild adventures, it was a great reminder of the b onds that shaped us","Happy Birtihday to the love of my life! i’m so grateful for every moment we share together. You bring so mucih joy and laughter into my world. I can’t wait to celebrate you today and make more amazinng memories! Here’s to another year of love, adventure, and all your dreams coming true. You deserve the best!",High,"['IF a person expresses joy and nostalgia about connections with friends and cherishing shared memories, THEN extraversion is likely High because this reflects a deep appreciation for social bonds and shared experiences.', 'IF a person expresses gratitude and excitement about spending time with loved ones and creating new memories, THEN extraversion is likely High because this reflects a strong desire for social interaction and connection.']","['Had the best time catching up with my childhood friends last night! It’s amazing how, despite the years, we fall right back into those silly jokes and shared memories.', 'Happy Birthday to the love of my life! I’m so grateful for every moment we share together. You bring so much joy and laughter into my world.']",High,High,{'Uncategorized': 2},1,1
46,"Such a crazy time with my bro from childhood. We got to this house party which was full of vibes. From the time we got there we knew it was going to be special. The decoration on the house was amazing. Massive shout out to whoever made the ribs, chicken wings and burgers - 10/10. Music was on point, dancing was on point too. We need to do this again.","Just want to send a special happy birthday to my wife - my best friend, my advisor, my partner in crime and in love. Your patience, kind heart, focus, intelligence and your resilience in the face of life's obstacles makes me so lucky to be called your husband. To witness and stand by the woman you've grown into is amazing. I look forward to celebrating many more birthdays with you. Happy birthday my love. ",Moderate,"['IF a person talks about having an enjoyable experience at a social event and expresses a desire to repeat it, THEN extraversion is likely High because this indicates enjoyment of social interactions.', 'IF a person describes their feelings toward a loved one with passion and warmth, THEN extraversion is likely High because it signifies a strong connection and openness in relationships.']","['We got to this house party which was full of vibes. From the time we got there we knew it was going to be special.', 'Just want to send a special happy birthday to my wife - my best friend, my advisor, my partner in crime and in love.']",High,High,{'Uncategorized': 2},0,0
7,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,High,"['IF a person expresses joy in spending time with friends and values long-term relationships, THEN extraversion is likely High because this indicates a comfort in social settings and valuing connections with others.', ""IF a person displays affection and excitement for a significant other's special occasion, THEN extraversion is likely High because this reflects a desire to connect emotionally and celebrate together.""]","['Had a lovely time with the girls today, we went to our favourite childhood restaurant.', ""Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy.""]",High,High,{'Uncategorized': 2},1,1
20,"Wow. Having a great time catching up with old childhood friends after over 50 years! We haven't changed a bit ????.  Other than having several marriages, 18 children and 7 grandchildren between us. Life has definitely been a journey and pretty good to all of us ??. Lets not leave it another 50 years to catch up ??",Happy Birthday to this amazing man who I'm so proud to call my husband and father of my chidren. Hope you have an absolutely brilliant day and so glad i get to share it with you. You're definitely like a fine wine and get better and better with each passing year. All my love forever and always ?,High,"['IF a person shares a positive narrative about reconnecting with friends and reflects on shared experiences, THEN extraversion is likely High due to their engagement with social relationships.', 'IF a person expresses pride and affection towards loved ones and enjoys celebrating special occasions with them, THEN extraversion is likely High as this indicates a strong connection to social relationships.']","['Having a great time catching up with old childhood friends after over 50 years!', ""Happy Birthday to this amazing man who I'm so proud to call my husband and father of my children.""]",High,High,{'Uncategorized': 2},1,1
58,Was so great to see my childhood friends at the catch up recently.  So many old faces and memories.  It's so weird how everything has changed but also stayed the same at the same time.  Lucky to still have such a great group and a toast to those that couldn't be with us. Missed and not forgotten. xo ,Well another year older but no wiser just about sums it up!  Happiest of birthdays to my partner in crime! Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway. Let's drink great wine and eat all the cake! London here we come. We love you xxx,Low,"['IF a person expresses enjoyment in reconnecting with friends and reflects positively on past interactions, THEN extraversion is likely High because this indicates strong social engagement and an appreciation for relationships.', 'IF a person plans social activities with enthusiasm, such as celebrations that involve gatherings or outings, THEN extraversion is likely High because this demonstrates a strong desire to socialize and enjoy time with others.']","['Was so great to see my childhood friends at the catch up recently. So many old faces and memories.', 'Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway.']",High,High,{'Uncategorized': 2},0,0
47,I am really happy I attended this event as it really exposed me to a lot of persons I have not seen for a while. I was able to catch on things I have missed about my guys and reconnecting with them really gladdens my heart. I will quickly connect them on all social media network to sustain the relationship so as not to lose. Thank you guys.,"A superlative birthday shout out to my you my guy!
You have really done well in your career and I am so happy for you on this special occassion of yours. The Lord bless you real good brother.
I would have come around to say hello, but I am really busy right now.
Enjoy your day to the fullest and avoid trouble at all cost my guy.
",High,"['IF a person expresses happiness about reconnecting with friends and values maintaining social relationships, THEN extraversion is likely High because this reflects a strong desire for social interaction.', 'IF a person gives a public shout-out to a friend for their accomplishments and expresses joy for their success, THEN extraversion is likely High because this indicates a strong appreciation for social bonds.']","['I was able to catch on things I have missed about my guys and reconnecting with them really gladdens my heart.', 'A superlative birthday shout out to my you my guy! You have really done well in your career and I am so happy for you on this special occasion of yours.']",High,High,{'Uncategorized': 2},1,1
60,"Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy. We all grew up together and went to the same little local school, it feels so long ago and we and the world around has changed so much, sometimes I think too much, and to able to get together and share all our memories is so comforting.","To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for, you certainly deserve it, you have been a wonderful partner to me and such a good father to our sons, where would we be without you, you always put us first and show us you care, it means the world to us to know we have your love and support.",Low,"['IF a person expresses feelings of nostalgia and happiness about social gatherings, THEN extraversion is likely Moderate because this indicates a level of enjoyment in social interactions.', 'IF a person shows appreciation for their partner and family, highlighting the importance of relationships, THEN extraversion is likely Moderate because this reflects value placed on social connections.']","['Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy.', 'To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for, you certainly deserve it.']",Moderate,Moderate,{'Uncategorized': 2},0,0
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"['IF a person expresses joy and excitement about meeting up with friends and reflects positively on social interactions, THEN extraversion is likely High because this shows a strong appreciation for social connections.', 'IF a person shares enthusiasm for future social events and connects emotionally with others, THEN extraversion is likely High because this reflects a desire for ongoing social relationships.', ""IF a person expresses happiness for someone else's birthday and shows eagerness to celebrate with them, THEN extraversion is likely High because this demonstrates an active involvement in social occasions."", 'IF a person states they look forward to spending time with someone in the future, THEN extraversion is likely High because this reflects a proactive approach to social engagement.']","['It was so lovely to catch up with all of you. It has been way too long since we last saw each other...', ""Let me know when you're all back in town - we can hang out again."", 'Happy birthday!! I hope you had an amazing day with friends and family - and thank you for letting me share it with you.', 'I look forward to spending the next year with you.']",High,High,{'Uncategorized': 4},0,0
