p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero
34,"just been to a reunion with my childhood friends and it was a great night and i would like to thank them all for great night.
 it brought back some good memorys and good times. at least this time we got drunk legally and didn't have to run off when we got caught.
i think we  should all do it again in the very near future. ","i would like to wish my better half a very happy birthday and i hope you have a very good day. you are the best thing that ever happened to me and i would be lost with out you.
 i've got a few special things planned for us to do for your birthday and i hope you will enjoy yourself.
",Moderate,"['IF a person shows in a post descriptions of social interactions with friends, filled with enthusiasm and excitement, THEN extraversion is likely High because they demonstrate enjoyment of social activities.', 'IF a person shows in a post expressions of joy and enjoyment from recent social experiences, THEN extraversion is likely High because they are highlighting positive social interactions.', 'IF a person shows in a post language that expresses excitement and eagerness for future social events, THEN extraversion is likely High because they exhibit a strong desire to connect with others.']","['just been to a reunion with my childhood friends and it was a great night.', 'it brought back some good memorys and good times.', 'i think we should all do it again in the very near future.']",High,Moderate,"{'Positive Emotions': 2, 'Energy/Activity': 1}",1,1
25,"Was lucky enough to recently meet up and have an amazing time catching up with old friends from school who I hadn't seen in years, these are the people who made my childhood and shaped me into the person i am now so to see them all again and share memories was unbelievable, hopefully do it again soon","Happy birthday to my amazing partner, hope you have an fantastic day, thank you for everything you have done for me since the first moment I met you and putting up with me all the time, wishing you an amazing day and I've got a lot planned that will hopefully give you the day you deserve and to spoil you ",Moderate,"['IF a person shows in a post descriptions of social interactions with friends, filled with enthusiasm and excitement, THEN extraversion is likely High because they demonstrate enjoyment of social activities.', 'IF a person shows in a post expressions of joy and enjoyment from recent social experiences, THEN extraversion is likely High because they are highlighting positive social interactions.', 'IF a person shows in a post language that expresses excitement and eagerness for future social events, THEN extraversion is likely High because they exhibit a strong desire to connect with others.', 'IF a person shows in a post a focus on food and quiet activities rather than social aspects, THEN extraversion is likely Low because they indicate a preference for introspective experiences over social engagement.']","[""Was lucky enough to recently meet up and have an amazing time catching up with old friends from school who I hadn't seen in years."", 'these are the people who made my childhood and shaped me into the person I am now so to see them all again and share memories was unbelievable.', 'hopefully do it again soon.', ""wishing you an amazing day and I've got a lot planned that will hopefully give you the day you deserve and to spoil you.""]",High,High,"{'Positive Emotions': 2, 'Energy/Activity': 1, 'Sociability': 1}",0,0
24,"Had the best time ca tching up with my chilidhood friends last night! It’s amazing how, despite t he years, we fall riight back into those silly jokes and shared memories. From playing games in the backyard to reminis cing about our wild adventures, it was a great reminder of the b onds that shaped us","Happy Birtihday to the love of my life! i’m so grateful for every moment we share together. You bring so mucih joy and laughter into my world. I can’t wait to celebrate you today and make more amazinng memories! Here’s to another year of love, adventure, and all your dreams coming true. You deserve the best!",High,"['IF a person shows in a post descriptions of social interactions with friends, filled with enthusiasm and excitement, THEN extraversion is likely High because they demonstrate enjoyment of social activities.', 'IF a person shows in a post expressions of joy and enjoyment from recent social experiences, THEN extraversion is likely High because they are highlighting positive social interactions.', 'IF a person shows in a post language that expresses excitement and eagerness for future social events, THEN extraversion is likely High because they exhibit a strong desire to connect with others.']","['Had the best time catching up with my childhood friends last night! It’s amazing how, despite the years, we fall right back into those silly jokes and shared memories.', 'You bring so much joy and laughter into my world.', 'I can’t wait to celebrate you today and make more amazing memories!']",High,High,"{'Positive Emotions': 2, 'Energy/Activity': 1}",1,1
46,"Such a crazy time with my bro from childhood. We got to this house party which was full of vibes. From the time we got there we knew it was going to be special. The decoration on the house was amazing. Massive shout out to whoever made the ribs, chicken wings and burgers - 10/10. Music was on point, dancing was on point too. We need to do this again.","Just want to send a special happy birthday to my wife - my best friend, my advisor, my partner in crime and in love. Your patience, kind heart, focus, intelligence and your resilience in the face of life's obstacles makes me so lucky to be called your husband. To witness and stand by the woman you've grown into is amazing. I look forward to celebrating many more birthdays with you. Happy birthday my love. ",Moderate,"['IF a person shows in a post descriptions of social interactions with friends, filled with enthusiasm and excitement, THEN extraversion is likely High because they demonstrate enjoyment of social activities.', 'IF a person shows in a post descriptions of a good time filled with laughter and energetic activities, THEN extraversion is likely High because they indicate active social involvement and enthusiasm.', 'IF a person shows in a post language that expresses excitement and eagerness for future social events, THEN extraversion is likely High because they exhibit a strong desire to connect with others.', 'IF a person shows in a post expressions of joy and enjoyment from recent social experiences, THEN extraversion is likely High because they are highlighting positive social interactions.']","['Such a crazy time with my bro from childhood. We got to this house party which was full of vibes.', 'The decoration on the house was amazing. Massive shout out to whoever made the ribs, chicken wings and burgers - 10/10. Music was on point, dancing was on point too.', 'We need to do this again.', ""Witness and stand by the woman you've grown into is amazing.""]",High,High,"{'Positive Emotions': 2, 'Energy/Activity': 2}",0,0
7,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,High,"['IF a person shows in a post descriptions of social interactions with friends, filled with enthusiasm and excitement, THEN extraversion is likely High because they demonstrate enjoyment of social activities.', 'IF a person shows in a post expressions of joy and enjoyment from recent social experiences, THEN extraversion is likely High because they are highlighting positive social interactions.', 'IF a person shows in a post language that expresses excitement and eagerness for future social events, THEN extraversion is likely High because they exhibit a strong desire to connect with others.']","['Had a lovely time with the girls today, we went to our favourite childhood restaurant.', '15 years of friendship down, a lifetime to go.', 'I love you dearly and cant wait to spend the rest of the day with you.']",High,High,"{'Positive Emotions': 2, 'Energy/Activity': 1}",1,1
20,"Wow. Having a great time catching up with old childhood friends after over 50 years! We haven't changed a bit ????.  Other than having several marriages, 18 children and 7 grandchildren between us. Life has definitely been a journey and pretty good to all of us ??. Lets not leave it another 50 years to catch up ??",Happy Birthday to this amazing man who I'm so proud to call my husband and father of my chidren. Hope you have an absolutely brilliant day and so glad i get to share it with you. You're definitely like a fine wine and get better and better with each passing year. All my love forever and always ?,High,"['IF a person shows in a post descriptions of social interactions with friends, filled with enthusiasm and excitement, THEN extraversion is likely High because they demonstrate enjoyment of social activities.', 'IF a person shows in a post expressions of joy and enjoyment from recent social experiences, THEN extraversion is likely High because they are highlighting positive social interactions.', 'IF a person shows in a post language that expresses excitement and eagerness for future social events, THEN extraversion is likely High because they exhibit a strong desire to connect with others.', 'IF a person shows in a post expressions of joy and enjoyment from recent social experiences, THEN extraversion is likely High because they are highlighting positive social interactions.']","['Wow. Having a great time catching up with old childhood friends after over 50 years!', 'Life has definitely been a journey and pretty good to all of us ??', 'Lets not leave it another 50 years to catch up ??', 'Hope you have an absolutely brilliant day and so glad i get to share it with you.']",High,High,"{'Positive Emotions': 3, 'Energy/Activity': 1}",1,1
58,Was so great to see my childhood friends at the catch up recently.  So many old faces and memories.  It's so weird how everything has changed but also stayed the same at the same time.  Lucky to still have such a great group and a toast to those that couldn't be with us. Missed and not forgotten. xo ,Well another year older but no wiser just about sums it up!  Happiest of birthdays to my partner in crime! Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway. Let's drink great wine and eat all the cake! London here we come. We love you xxx,Low,"['IF a person shows in a post descriptions of social interactions with friends, filled with enthusiasm and excitement, THEN extraversion is likely High because they demonstrate enjoyment of social activities.', 'IF a person shows in a post expressions of joy and enjoyment from recent social experiences, THEN extraversion is likely High because they are highlighting positive social interactions.', 'IF a person shows in a post language that expresses excitement and eagerness for future social events, THEN extraversion is likely High because they exhibit a strong desire to connect with others.', 'IF a person shows in a post descriptions of a good time filled with laughter and energetic activities, THEN extraversion is likely High because they indicate active social involvement and enthusiasm.']","['Was so great to see my childhood friends at the catch up recently.', 'So many old faces and memories.', 'Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway.', ""Let's drink great wine and eat all the cake!""]",High,Moderate,"{'Positive Emotions': 2, 'Energy/Activity': 2}",0,0
47,I am really happy I attended this event as it really exposed me to a lot of persons I have not seen for a while. I was able to catch on things I have missed about my guys and reconnecting with them really gladdens my heart. I will quickly connect them on all social media network to sustain the relationship so as not to lose. Thank you guys.,"A superlative birthday shout out to my you my guy!
You have really done well in your career and I am so happy for you on this special occassion of yours. The Lord bless you real good brother.
I would have come around to say hello, but I am really busy right now.
Enjoy your day to the fullest and avoid trouble at all cost my guy.
",High,"['IF a person shows in a post expressions of joy and enjoyment from recent social experiences, THEN extraversion is likely High because they are highlighting positive social interactions.', 'IF a person shows in a post a willingness to engage with others, starting an interaction with a stranger, THEN extraversion is likely High because they are actively seeking social connections.', 'IF a person shows in a post descriptions of social interactions with friends, filled with enthusiasm and excitement, THEN extraversion is likely High because they demonstrate enjoyment of social activities.', 'IF a person shows in a post language that expresses excitement and eagerness for future social events, THEN extraversion is likely High because they exhibit a strong desire to connect with others.']","['I am really happy I attended this event as it really exposed me to a lot of persons I have not seen for a while.', 'I will quickly connect them on all social media network to sustain the relationship so as not to lose.', 'reconnecting with them really gladdens my heart.', 'A superlative birthday shout out to my you my guy! You have really done well in your career and I am so happy for you on this special occasion of yours.']",High,High,"{'Positive Emotions': 2, 'Sociability': 1, 'Energy/Activity': 1}",1,1
60,"Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy. We all grew up together and went to the same little local school, it feels so long ago and we and the world around has changed so much, sometimes I think too much, and to able to get together and share all our memories is so comforting.","To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for, you certainly deserve it, you have been a wonderful partner to me and such a good father to our sons, where would we be without you, you always put us first and show us you care, it means the world to us to know we have your love and support.",Low,"['IF a person shows in a post a tendency to focus on reminiscing rather than current social interactions, THEN extraversion is likely Low because they emphasize past experiences instead of present engagement.', 'IF a person shows in a post a distant demeanor with their partner and an emphasis on introspective reflections, THEN extraversion is likely Low because they appear reserved in social interactions.']","['Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy.', 'you always put us first and show us you care, it means the world to us to know we have your love and support.']",Moderate,Low,"{'Sociability': 1, 'Warmth': 1}",1,1
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"['IF a person shows in a post descriptions of social interactions with friends, filled with enthusiasm and excitement, THEN extraversion is likely High because they demonstrate enjoyment of social activities.', 'IF a person shows in a post expressions of joy and enjoyment from recent social experiences, THEN extraversion is likely High because they are highlighting positive social interactions.', 'IF a person shows in a post language that expresses excitement and eagerness for future social events, THEN extraversion is likely High because they exhibit a strong desire to connect with others.']","['It was so lovely to catch up with all of you.', 'I hope you had an amazing day with friends and family - and thank you for letting me share it with you.', ""Let me know when you're all back in town - we can hang out again.""]",High,High,"{'Positive Emotions': 2, 'Energy/Activity': 1}",0,0
