p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero
35,Had a great catchup with my old friends today. It had been too long since we had last spoke with each other. Met up at a local pub and had some nice drinks and a great dinner. There was a show on across the road and we jumped over there after a few beers. Thanks for organising it guys and let's not wait too long for the next one! ,"Happy birthday, babe! Where has the year gone? It felt like only last month we were talking about our plans for the year and now nearly a whole other year has gone by. Don't feel too worked up about your age because I know it gets to you, sometimes. We'll go out and enjoy ourselves and treat it like an 18th to make you happy. Remember, it's better to be over the hill than buried under it.",High,"['IF a person expresses enjoyment in socializing with friends and appreciates gatherings, THEN extraversion is likely High because this shows a preference for social interactions.', 'IF a person mentions specific plans to meet friends again soon, THEN extraversion is likely High because it indicates a strong inclination towards social activities.', 'IF a person celebrates a significant occasion with enthusiasm and a positive attitude towards social plans, THEN extraversion is likely High as it reflects a desire to engage socially.']","['Had a great catchup with my old friends today.', ""Thanks for organising it guys and let's not wait too long for the next one!"", ""Happy birthday, babe! We'll go out and enjoy ourselves and treat it like an 18th to make you happy.""]",High,High,{'Uncategorized': 3},1,1
27,"After all these years it's very interesting seeing how everyone I grew up with has changed, it's almost as if I was talking to two different versions of people from parallel universes, one a complete immature and incompetent buffon, the other a sophisticated and well mannered individual. It's crazy how time flies!","From cheerleader to married, I'm so appreciative of all the things you have done for me, and our family. Helping us financially or help cope with illness, I knew I made the right decision engaging with a nurse.I'm so glad that you came into my life and that we'll one day exit together. Happy 26th birthday my love!",Low,"['IF a person expresses a critical or detached observation about others, THEN extraversion is likely Low because this suggests a lack of engagement with social interactions.', 'IF a person reflects on personal relationships primarily in a serious tone without emotional excitement, THEN extraversion is likely Low because this indicates less sociability and enthusiasm.']","[""It's very interesting seeing how everyone I grew up with has changed, it's almost as if I was talking to two different versions of people from parallel universes."", ""I'm so appreciative of all the things you have done for me, and our family. Helping us financially or help cope with illness, I knew I made the right decision engaging with a nurse.""]",Moderate,Low,{'Uncategorized': 2},1,1
26,"Loved loved loved seeing these guys today…the original OG’s from way back when I still had a fringe, wore double denim and was reading Shout magazine. Wah life goes by so fast.
I’m so lucky to have these guys still in my life today, we need to make these meet ups a more regular thing!","Happy Birthday to our one and only, our jam in the sandwich… have the best day. Me and the boys will be on our best behaviour today so get some rest and do something you enjoy. We love you along with everyone else who knows you. Wishing you the best of health wealth and happiness.",High,"['IF a person expresses strong positive emotions about meeting friends and values social connections, THEN extraversion is likely High because this signifies a desire for social interactions.', 'IF a person wishes others well on their special occasions in a warm and inclusive manner, THEN extraversion is likely High because this reflects a tendency to celebrate and connect with others.']","['""Loved loved loved seeing these guys today…the original OG’s from way back when... I\'m so lucky to have these guys still in my life today, we need to make these meet ups a more regular thing!""', '""Happy Birthday to our one and only, our jam in the sandwich… have the best day. Me and the boys will be on our best behaviour today so get some rest and do something you enjoy.""']",High,High,{'Uncategorized': 2},1,1
45,"I visited some of my childhood friends that I haven't seen in many years. We reminisced about all of the good times we experienced together and had a fun time for many hours down at the local bar. I talked with many friends who I had even forgot existed, but we sat down at remembered many moments we shared together.",Happy birthday to my significant other. They are such an amazing person and I am glad to have spent the last few years of my life with them. I am already looking forward to spending the future and hopefully the rest of my life with them. We have already spent so many good moments together.,Moderate,"['IF a person shares about connecting with many friends and reminiscing about good times, THEN extraversion is likely High because it reflects enjoyment in social interactions and valuing relationships.', 'IF a person expresses happiness about spending time with a significant other and looks forward to future moments together, THEN extraversion is likely High because this reflects an appreciation for social bonds.']","['I talked with many friends who I had even forgot existed, but we sat down at remembered many moments we shared together.', 'I am already looking forward to spending the future and hopefully the rest of my life with them.']",High,High,{'Uncategorized': 2},0,0
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"['IF a person expresses joy about meeting with friends and values social interactions, THEN extraversion is likely High because this indicates a strong desire for social connection.', 'IF a person eagerly anticipates future social gatherings with friends, THEN extraversion is likely High because this reflects a proactive attitude towards socializing.', ""IF a person celebrates others' events and expresses gratitude for social inclusion, THEN extraversion is likely High as this shows a strong appreciation for social relationships."", 'IF a person expresses excitement for future interactions, THEN extraversion is likely High because this indicates a strong interest in establishing and maintaining social connections.']","['It was so lovely to catch up with all of you.', ""Let me know when you're all back in town - we can hang out again."", 'thank you for letting me share it with you.', 'I look forward to spending the next year with you.']",High,High,{'Uncategorized': 4},0,0
18,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",Low,"['IF a person describes a gathering with friends and expresses enjoyment of social interaction, THEN extraversion is likely High because this indicates a preference for socializing.', ""IF a person shares excitement about celebrating a loved one's birthday in a lively manner, THEN extraversion is likely High because it reflects enthusiasm for social events.""]","['School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true.', 'Here to cake, fizz and a fun-filled day of surprises.']",High,High,{'Uncategorized': 2},0,0
58,Was so great to see my childhood friends at the catch up recently.  So many old faces and memories.  It's so weird how everything has changed but also stayed the same at the same time.  Lucky to still have such a great group and a toast to those that couldn't be with us. Missed and not forgotten. xo ,Well another year older but no wiser just about sums it up!  Happiest of birthdays to my partner in crime! Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway. Let's drink great wine and eat all the cake! London here we come. We love you xxx,Low,"['IF a person expresses excitement about social gatherings or meet-ups with friends, THEN extraversion is likely High because this indicates enjoyment of social interactions.', 'IF a person indicates plans for celebrating with friends or loved ones, reflecting excitement about social activities, THEN extraversion is likely High because this shows a preference for social interactions.']","['Was so great to see my childhood friends at the catch up recently.', 'Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway.']",High,High,{'Uncategorized': 2},0,0
47,I am really happy I attended this event as it really exposed me to a lot of persons I have not seen for a while. I was able to catch on things I have missed about my guys and reconnecting with them really gladdens my heart. I will quickly connect them on all social media network to sustain the relationship so as not to lose. Thank you guys.,"A superlative birthday shout out to my you my guy!
You have really done well in your career and I am so happy for you on this special occassion of yours. The Lord bless you real good brother.
I would have come around to say hello, but I am really busy right now.
Enjoy your day to the fullest and avoid trouble at all cost my guy.
",High,"['IF a person expresses happiness about reconnecting with others and maintaining relationships, THEN extraversion is likely High because this shows a desire for social interaction and connection.', 'IF a person publicly celebrates and recognizes the achievements of friends, THEN extraversion is likely High because this reflects a focus on social relationships and communal support.']","['I was able to catch on things I have missed about my guys and reconnecting with them really gladdens my heart.', 'A superlative birthday shout out to my you my guy! You have really done well in your career and I am so happy for you on this special occasion of yours.']",High,High,{'Uncategorized': 2},1,1
60,"Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy. We all grew up together and went to the same little local school, it feels so long ago and we and the world around has changed so much, sometimes I think too much, and to able to get together and share all our memories is so comforting.","To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for, you certainly deserve it, you have been a wonderful partner to me and such a good father to our sons, where would we be without you, you always put us first and show us you care, it means the world to us to know we have your love and support.",Low,"['IF a person expresses enjoyment and happiness from social gatherings and reminiscing, THEN extraversion is likely Moderate because this reflects a certain comfort in social interaction without an overwhelming number of social engagements.', ""IF a person praises a loved one's supportive qualities and emphasizes the importance of family bonds, THEN extraversion is likely Moderate because this indicates valuing close relationships and social connections.""]","['Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy.', 'To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for... it means the world to us to know we have your love and support.']",Moderate,Moderate,{'Uncategorized': 2},0,0
11,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",Low,"['IF a person expresses excitement about reuniting with friends and shares plans for catching up, THEN extraversion is likely High because this demonstrates a strong preference for social interaction.', 'IF a person publicly expresses deep emotions and affection for their loved one, THEN extraversion is likely High because this indicates comfort in sharing personal feelings with others.']","[""I have really missed them, I saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and I can't wait to update you guys on the plans we have to catch up."", ""Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life.""]",High,High,{'Uncategorized': 2},0,0
