p,true_label,few_shot_pred,few_shot_score,zero_shot_pred,zero_shot_score
1,High,Moderate,0,High,1
6,High,Moderate,0,High,1
37,Moderate,Moderate,1,Moderate,1
46,Moderate,High,0,High,0
14,High,High,1,High,1
55,Moderate,High,0,High,0
34,Moderate,Moderate,1,Moderate,1
49,Moderate,High,0,High,0
13,Moderate,Moderate,1,High,0
58,Low,Moderate,0,Moderate,0
44,Low,Moderate,0,High,0
20,High,High,1,High,1
35,High,Moderate,0,High,1
59,High,Moderate,0,High,1
26,High,High,1,High,1
57,Low,Moderate,0,Moderate,0
16,Low,High,0,High,0
28,Low,Moderate,0,High,0
10,High,High,1,High,1
31,High,Moderate,0,High,1
45,Moderate,Moderate,1,Moderate,1
2,High,High,1,High,1
22,Low,Moderate,0,Moderate,0
3,Moderate,Moderate,1,High,0
48,Low,High,0,High,0
40,Moderate,Moderate,1,High,0
36,High,High,1,High,1
24,High,High,1,High,1
50,Low,Moderate,0,High,0
11,Low,Moderate,0,High,0
