p,true_label,few_shot_pred,few_shot_score,zero_shot_pred,zero_shot_score
1,High,High,1,High,1
55,Moderate,High,0,High,0
54,High,High,1,High,1
40,Moderate,High,0,High,0
4,Moderate,High,0,High,0
8,Moderate,Moderate,1,High,0
56,Moderate,High,0,High,0
50,Low,High,0,High,0
32,Moderate,High,0,High,0
29,Moderate,Moderate,1,High,0
3,Moderate,High,0,High,0
5,Low,High,0,High,0
12,Moderate,High,0,High,0
52,Low,Moderate,0,High,0
57,Low,Moderate,0,Moderate,0
15,High,High,1,High,1
18,Low,High,0,High,0
28,Low,High,0,High,0
58,Low,High,0,High,0
27,Low,Moderate,0,Moderate,0
48,Low,High,0,High,0
6,High,Moderate,0,High,1
20,High,Moderate,0,High,1
37,Moderate,Moderate,1,High,0
24,High,High,1,High,1
30,Low,High,0,High,0
33,Low,High,0,High,0
59,High,Moderate,0,High,1
11,Low,High,0,High,0
47,High,Moderate,0,High,1
