p,true_label,few_shot_pred,few_shot_score,zero_shot_pred,zero_shot_score
1,High,High,1,High,1
8,Moderate,High,0,High,0
21,Low,High,0,High,0
30,Low,High,0,High,0
46,Moderate,High,0,High,0
49,Moderate,High,0,High,0
43,Low,High,0,High,0
11,Low,High,0,High,0
17,High,High,1,High,1
10,High,High,1,High,1
37,Moderate,Moderate,1,High,0
14,High,High,1,High,1
51,High,High,1,High,1
19,Moderate,High,0,High,0
15,High,High,1,High,1
53,Moderate,High,0,High,0
7,High,High,1,High,1
28,Low,High,0,High,0
29,Moderate,High,0,High,0
16,Low,High,0,High,0
24,High,High,1,High,1
55,Moderate,High,0,High,0
5,Low,High,0,High,0
54,High,High,1,High,1
59,High,High,1,High,1
31,High,High,1,High,1
25,Moderate,High,0,High,0
52,Low,Moderate,0,High,0
47,High,Moderate,0,High,1
36,High,High,1,High,1
