p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero
31,Long awaited catch up with life long friends!  Why has it taken so long? It was so good to catch up with everybody.  It has been so great seeing how we have all changed and grown both physically and spiritually.  Let me know who is up for making this an annual event? Please let me know.  I am happy to organise it.  Feeling blessed.  Cheers everyone!,"Happy birthday to the best and most wonderful husband I could ever ask for xx  Thank you for everything you do. Thank you for being an awesome dad to our two children. Enjoy your day and look forward the birthday celebrations tonight.  Enjoy your gifts. 
 You  so deserve them.  Love as always.",High,"['IF a person shows in a post participation in social activities, such as karaoke, in front of a crowd, THEN extraversion is likely High because they exhibit bravery and a willingness to engage socially.', 'IF a person shows in a post enthusiasm for planning social events and celebrating occasions, THEN extraversion is likely High because this reflects a desire for social interactions and connections.', 'IF a person shows in a post expressions of love and appreciation for family and social occasions, THEN extraversion is likely High because it indicates joy in social connections.']","['It was so good to catch up with everybody.', 'Let me know who is up for making this an annual event? Please let me know. I am happy to organise it.', 'Happy birthday to the best and most wonderful husband I could ever ask for xx. Enjoy your day and look forward to the birthday celebrations tonight.']",High,High,"{'Sociability': 1, 'Uncategorized': 2}",1,1
25,"Was lucky enough to recently meet up and have an amazing time catching up with old friends from school who I hadn't seen in years, these are the people who made my childhood and shaped me into the person i am now so to see them all again and share memories was unbelievable, hopefully do it again soon","Happy birthday to my amazing partner, hope you have an fantastic day, thank you for everything you have done for me since the first moment I met you and putting up with me all the time, wishing you an amazing day and I've got a lot planned that will hopefully give you the day you deserve and to spoil you ",Moderate,"['IF a person shows in a post participation in social activities, such as karaoke, in front of a crowd, THEN extraversion is likely High because they exhibit bravery and a willingness to engage socially.', 'IF a person shows in a post limited or dry language while referring to friends or social situations, THEN extraversion is likely Low because it suggests a lack of enthusiasm for social connections.']","[""Was lucky enough to recently meet up and have an amazing time catching up with old friends from school who I hadn't seen in years."", 'to see them all again and share memories was unbelievable.']",High,High,"{'Sociability': 1, 'Warmth': 1}",0,0
24,"Had the best time ca tching up with my chilidhood friends last night! It’s amazing how, despite t he years, we fall riight back into those silly jokes and shared memories. From playing games in the backyard to reminis cing about our wild adventures, it was a great reminder of the b onds that shaped us","Happy Birtihday to the love of my life! i’m so grateful for every moment we share together. You bring so mucih joy and laughter into my world. I can’t wait to celebrate you today and make more amazinng memories! Here’s to another year of love, adventure, and all your dreams coming true. You deserve the best!",High,"['IF a person shows in a post participation in social activities, such as karaoke, in front of a crowd, THEN extraversion is likely High because they exhibit bravery and a willingness to engage socially.', ""IF a person shows in a post enthusiasm for celebrating their loved one's birthday, THEN extraversion is likely High because this reflects a desire to connect and create joyful experiences with others.""]","['Had the best time catching up with my childhood friends last night!', 'Happy Birthday to the love of my life! I’m so grateful for every moment we share together. You bring so much joy and laughter into my world.']",High,High,"{'Sociability': 1, 'Uncategorized': 1}",1,1
42,Back together again after 35 years! Childhood friends from Newton in Warwickshire reliving our fond memories of all the adventures and special times we shared together. At this moment it doesn’t seem that 35 years have passed. Sadly a few people couldn’t make it today and they are missed. Looking forward already to our next get together.,Today’s your special birthday &lt;cough&gt; I hope that you enjoy all the things I have planned for you today. And the celebrations will continue long into the night with more birthday surprises. You deserve every single one of them! Thank you for all that you do and for being you! Let’s go and celebrate! Lots of love always xxxxxx,High,"['IF a person shows in a post participation in social activities, such as karaoke, in front of a crowd, THEN extraversion is likely High because they exhibit bravery and a willingness to engage socially.', 'IF a person shows in a post enthusiasm for upcoming plans with friends, THEN extraversion is likely High because this reflects a desire for new experiences and social connections.']","['Looking forward already to our next get together.', 'Let’s go and celebrate! Lots of love always xxxxxx']",High,High,"{'Sociability': 1, 'Uncategorized': 1}",1,1
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"['IF a person shows in a post participation in social activities, such as karaoke, in front of a crowd, THEN extraversion is likely High because they exhibit bravery and a willingness to engage socially.', 'IF a person shows in a post limited or dry language while referring to friends or social situations, THEN extraversion is likely Low because it suggests a lack of enthusiasm for social connections.']","['I have reunited with my childhood friends and I was so excited. it was an amazing experience...', 'I wish you the best of many days and years to come...']",High,High,"{'Sociability': 1, 'Warmth': 1}",1,1
17,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,"['IF a person shows in a post participation in social activities, such as karaoke, in front of a crowd, THEN extraversion is likely High because they exhibit bravery and a willingness to engage socially.', 'IF a person shows in a post descriptions of past experiences without expressions of current enjoyment or enthusiasm, THEN extraversion is likely Low because they signal a disconnection from present social interactions.']","[""What a wild time we've had, you would think that we were in 2004 living our best life at XXX university!"", 'despite turning 40 we can still bust a move like when we were 20!']",High,High,"{'Sociability': 1, 'Positive Emotions': 1}",1,1
58,Was so great to see my childhood friends at the catch up recently.  So many old faces and memories.  It's so weird how everything has changed but also stayed the same at the same time.  Lucky to still have such a great group and a toast to those that couldn't be with us. Missed and not forgotten. xo ,Well another year older but no wiser just about sums it up!  Happiest of birthdays to my partner in crime! Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway. Let's drink great wine and eat all the cake! London here we come. We love you xxx,Low,"['IF a person shows in a post participation in social activities, such as karaoke, in front of a crowd, THEN extraversion is likely High because they exhibit bravery and a willingness to engage socially.', 'IF a person shows in a post a desire to remain cozy at home rather than socialize, THEN extraversion is likely Low because they prefer low-energy environments.', 'IF a person shows in a post a desire to remain cozy at home rather than socialize, THEN extraversion is likely Low because they prefer low-energy environments.']","['Was so great to see my childhood friends at the catch up recently.', 'Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway.', ""Let's drink great wine and eat all the cake!""]",High,High,"{'Sociability': 1, 'Energy/Activity': 2}",0,0
43,"Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait. All those memories, all the good times and the best part about it, we get to recreate those memories and relive them every time we talk about them. Good to see everytime. Until the next time!","Happy birthday to the most gorgeous girl i've ever laid eyes on in my entire life. I always felt as though i was missing something in life, and now that i've found you i finally feel whole. I hope you have the best day and i hope you get everything you want out of life. Love you. I'll be raising a glass today, To more happiness and more memories!",Low,"['IF a person shows in a post participation in social activities, such as karaoke, in front of a crowd, THEN extraversion is likely High because they exhibit bravery and a willingness to engage socially.', 'IF a person shows in a post descriptions of past experiences without expressions of current enjoyment or enthusiasm, THEN extraversion is likely Low because they signal a disconnection from present social interactions.', 'IF a person shows in a post a desire to remain cozy at home rather than socialize, THEN extraversion is likely Low because they prefer low-energy environments.', 'IF a person shows in a post preference for reflecting on personal experiences and focuses on non-social aspects, THEN extraversion is likely Low because they indicate less interest in socializing.']","['Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait.', 'All those memories, all the good times and the best part about it, we get to recreate those memories and relive them every time we talk about them.', 'Until the next time!', ""I always felt as though i was missing something in life, and now that i've found you i finally feel whole.""]",High,High,"{'Sociability': 2, 'Positive Emotions': 1, 'Energy/Activity': 1}",0,0
60,"Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy. We all grew up together and went to the same little local school, it feels so long ago and we and the world around has changed so much, sometimes I think too much, and to able to get together and share all our memories is so comforting.","To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for, you certainly deserve it, you have been a wonderful partner to me and such a good father to our sons, where would we be without you, you always put us first and show us you care, it means the world to us to know we have your love and support.",Low,"['IF a person shows in a post preference for reflecting on personal experiences and focuses on non-social aspects, THEN extraversion is likely Low because they indicate less interest in socializing.', 'IF a person shows in a post descriptions of past experiences without expressions of current enjoyment or enthusiasm, THEN extraversion is likely Low because they signal a disconnection from present social interactions.', 'IF a person shows in a post limited or dry language while referring to friends or social situations, THEN extraversion is likely Low because it suggests a lack of enthusiasm for social connections.']","['Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy.', 'it feels so long ago and we and the world around has changed so much, sometimes I think too much, and to able to get together and share all our memories is so comforting.', 'it means the world to us to know we have your love and support.']",Moderate,Low,"{'Sociability': 1, 'Positive Emotions': 1, 'Warmth': 1}",1,1
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"['IF a person shows in a post participation in social activities, such as karaoke, in front of a crowd, THEN extraversion is likely High because they exhibit bravery and a willingness to engage socially.', 'IF a person shows in a post descriptions of past experiences without expressions of current enjoyment or enthusiasm, THEN extraversion is likely Low because they signal a disconnection from present social interactions.']","['It was so lovely to catch up with all of you.', ""It has been full of many great times and I'm sure the next year will be full of lots of new opportunities.""]",High,High,"{'Sociability': 1, 'Positive Emotions': 1}",0,0
