p,true_label,few_shot_pred,few_shot_score,zero_shot_pred,zero_shot_score
1,High,High,1,High,1
3,Moderate,High,0,High,0
6,High,High,1,High,1
9,Moderate,High,0,High,0
11,Low,High,0,High,0
17,High,High,1,High,1
18,Low,High,0,High,0
20,High,High,1,High,1
24,High,High,1,High,1
27,Low,Moderate,0,Moderate,0
33,Low,High,0,High,0
35,High,High,1,High,1
36,High,High,1,High,1
37,Moderate,Moderate,1,Moderate,1
44,Low,High,0,High,0
46,Moderate,High,0,High,0
48,Low,High,0,High,0
51,High,High,1,High,1
52,Low,High,0,High,0
56,Moderate,High,0,High,0
2,High,High,1,High,1
4,Moderate,High,0,High,0
8,Moderate,Moderate,1,High,0
12,Moderate,Moderate,1,High,0
14,High,High,1,High,1
15,High,High,1,High,1
21,Low,High,0,High,0
23,Low,High,0,High,0
25,Moderate,High,0,High,0
28,Low,Moderate,0,High,0
31,High,Moderate,0,High,1
32,Moderate,High,0,High,0
38,Low,Moderate,0,High,0
39,Moderate,High,0,High,0
40,Moderate,High,0,High,0
41,High,High,1,High,1
45,Moderate,Moderate,1,High,0
49,Moderate,High,0,High,0
57,Low,Low,1,Moderate,0
58,Low,Moderate,0,High,0
5,Low,High,0,High,0
7,High,High,1,High,1
10,High,High,1,High,1
13,Moderate,High,0,High,0
16,Low,High,0,High,0
19,Moderate,High,0,High,0
22,Low,Moderate,0,High,0
26,High,High,1,High,1
29,Moderate,Moderate,1,High,0
30,Low,High,0,High,0
34,Moderate,Moderate,1,High,0
42,High,Moderate,0,High,1
43,Low,High,0,High,0
47,High,Moderate,0,High,1
50,Low,Moderate,0,High,0
53,Moderate,High,0,High,0
54,High,High,1,High,1
55,Moderate,High,0,High,0
59,High,High,1,High,1
60,Low,Moderate,0,Moderate,0
