,p,matched_rules,true_label,pred_label
0,1,"['IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.', 'IF a person shows in a post detail and vivid description of current experiences with enthusiasm, THEN openness is likely High because this reflects engagement with the present and exploring new activities.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",High,High
1,2,"['IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",High,High
2,3,"['IF a person shows in a post a focus on routine and familiarity in their language, THEN openness is likely Low because this reflects a preference for the predictable over the novel.', 'IF a person shows in a post a description of past events without desire for future engagements, THEN openness is likely Low because this indicates a reluctance to pursue new experiences.']",Low,Low
3,4,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",High,High
4,5,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post curiosity about how others have changed over time, THEN openness is likely High because this indicates an interest in different life paths and new experiences.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.', 'IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.']",Low,High
5,6,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",Moderate,High
6,7,"['IF a person shows in a post a preference for reminiscing about familiar experiences rather than seeking new ones, THEN openness is likely Low because this indicates a tendency to stick to the known rather than exploring new opportunities.', 'IF a person shows in a post a focus on routine and familiarity in their language, THEN openness is likely Low because this reflects a preference for the predictable over the novel.', 'IF a person shows in a post a desire to reflect on past memories instead of making new ones, THEN openness is likely Low because this suggests a resistance to change.', 'IF a person shows in a post limited expression of engagement with new activities and focuses on routine, THEN openness is likely Low because this implies a resistance to exploring new experiences.']",Low,Low
7,8,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",Moderate,Moderate
8,9,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.', 'IF a person shows in a post curiosity about how others have changed over time, THEN openness is likely High because this indicates an interest in different life paths and new experiences.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",High,High
9,10,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.', 'IF a person shows in a post detail and vivid description of current experiences with enthusiasm, THEN openness is likely High because this reflects engagement with the present and exploring new activities.']",Moderate,High
