,p,matched_rules,true_label,pred_label
0,1,"['IF a person shows enthusiasm for new experiences and activities in social settings, THEN openness is likely High because they indicate a willingness to engage with novelty.', 'IF a person uses detailed and enthusiastic language to describe their social experiences, THEN openness is likely High because this reflects a zest for life and engagement with new experiences.', 'IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.']",High,High
1,2,"['IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.', 'IF a person uses detailed and enthusiastic language to describe their social experiences, THEN openness is likely High because this reflects a zest for life and engagement with new experiences.']",High,High
2,3,"['IF a person talks about social gatherings in a routine manner without describing excitement for the activities or people involved, THEN openness is likely Low because they appear less interested in experiencing diversity in their social interactions.', 'IF a person reflects on old memories without expressing interest in new activities or relationships, THEN openness is likely Low because they demonstrate a preference for past experiences.', 'IF a person discusses their past friendships in a way that suggests they do not frequently engage in new social experiences or activities, THEN openness is likely Low because they reflect a preference for routine interactions.']",Low,Low
3,4,"['IF a person expresses nostalgia about friendships while also reflecting on the positive experiences and growth over time, THEN openness is likely High because they show appreciation for varied life experiences.', 'IF a person shows enthusiasm for new experiences and activities in social settings, THEN openness is likely High because they indicate a willingness to engage with novelty.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.']",High,High
4,5,"['IF a person expresses nostalgia about friendships while also reflecting on the positive experiences and growth over time, THEN openness is likely High because they show appreciation for varied life experiences.', 'IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.']",Low,High
5,6,"['IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.', 'IF a person shows enthusiasm for new experiences and activities in social settings, THEN openness is likely High because they indicate a willingness to engage with novelty.']",Moderate,High
6,7,"['IF a person expresses nostalgia about friendships while also reflecting on the positive experiences and growth over time, THEN openness is likely High because they show appreciation for varied life experiences.', 'IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.', 'IF a person reflects on old memories without expressing interest in new activities or relationships, THEN openness is likely Low because they demonstrate a preference for past experiences.']",Low,Moderate
7,8,"['IF a person expresses nostalgia about friendships while also reflecting on the positive experiences and growth over time, THEN openness is likely High because they show appreciation for varied life experiences.', 'IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.']",Moderate,High
8,9,"['IF a person expresses nostalgia about friendships while also reflecting on the positive experiences and growth over time, THEN openness is likely High because they show appreciation for varied life experiences.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.', 'IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.']",High,High
9,10,"['IF a person expresses nostalgia about friendships while also reflecting on the positive experiences and growth over time, THEN openness is likely High because they show appreciation for varied life experiences.', 'IF a person shows enthusiasm for new experiences and activities in social settings, THEN openness is likely High because they indicate a willingness to engage with novelty.', 'IF a person uses detailed and enthusiastic language to describe their social experiences, THEN openness is likely High because this reflects a zest for life and engagement with new experiences.']",Moderate,High
10,11,"['IF a person expresses nostalgia about friendships while also reflecting on the positive experiences and growth over time, THEN openness is likely High because they show appreciation for varied life experiences.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.', 'IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.', 'IF a person uses detailed and enthusiastic language to describe their social experiences, THEN openness is likely High because this reflects a zest for life and engagement with new experiences.']",Moderate,High
11,12,"['IF a person expresses nostalgia about friendships while also reflecting on the positive experiences and growth over time, THEN openness is likely High because they show appreciation for varied life experiences.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.', 'IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.']",Low,High
12,13,"['IF a person expresses nostalgia about friendships while also reflecting on the positive experiences and growth over time, THEN openness is likely High because they show appreciation for varied life experiences.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.', 'IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.']",Moderate,High
13,14,"['IF a person talks about social gatherings in a routine manner without describing excitement for the activities or people involved, THEN openness is likely Low because they appear less interested in experiencing diversity in their social interactions.', 'IF a person reflects on old memories without expressing interest in new activities or relationships, THEN openness is likely Low because they demonstrate a preference for past experiences.']",High,Low
14,15,"['IF a person expresses nostalgia about friendships while also reflecting on the positive experiences and growth over time, THEN openness is likely High because they show appreciation for varied life experiences.', 'IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.', 'IF a person uses detailed and enthusiastic language to describe their social experiences, THEN openness is likely High because this reflects a zest for life and engagement with new experiences.']",High,High
15,16,"['IF a person shows enthusiasm for new experiences and activities in social settings, THEN openness is likely High because they indicate a willingness to engage with novelty.', 'IF a person uses detailed and enthusiastic language to describe their social experiences, THEN openness is likely High because this reflects a zest for life and engagement with new experiences.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.']",Moderate,High
16,17,"['IF a person shows enthusiasm for new experiences and activities in social settings, THEN openness is likely High because they indicate a willingness to engage with novelty.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.', 'IF a person uses detailed and enthusiastic language to describe their social experiences, THEN openness is likely High because this reflects a zest for life and engagement with new experiences.']",High,High
17,18,"['IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.', 'IF a person focuses on reminiscing and the importance of past relationships without mentioning new activities or experiences, THEN openness is likely Low because they demonstrate a preference for familiar interactions over new experiences.']",Moderate,Moderate
18,19,"['IF a person shows enthusiasm for new experiences and activities in social settings, THEN openness is likely High because they indicate a willingness to engage with novelty.', 'IF a person describes their experiences with joy and excitement while making plans for the future, THEN openness is likely High because this suggests they are open to new possibilities and experiences.', 'IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.']",High,High
19,20,"['IF a person expresses nostalgia about friendships while also reflecting on the positive experiences and growth over time, THEN openness is likely High because they show appreciation for varied life experiences.', 'IF a person expresses gratitude for past friendships and mentions having fun with familiar people, THEN openness is likely High because this demonstrates affection for the dynamics of varied life relationships.', 'IF a person discusses their past friendships in a way that suggests they do not frequently engage in new social experiences or activities, THEN openness is likely Low because they reflect a preference for routine interactions.']",High,Moderate
