,p,matched_rules,true_label,pred_label
0,1,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.']",High,High
1,2,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.', 'IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.']",High,High
2,3,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.']",Low,Moderate
3,4,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.']",High,High
4,5,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.']",Low,Moderate
5,6,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.']",Moderate,High
6,7,"['IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.', 'IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.']",Low,Low
7,8,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.', 'IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.']",Moderate,High
8,9,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.', 'IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.']",High,High
9,10,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.', 'IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.']",Moderate,Moderate
10,11,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.']",Moderate,High
11,12,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.', 'IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.']",Low,High
12,13,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.']",Moderate,High
13,14,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.']",High,Moderate
14,15,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.', 'IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.']",High,High
15,16,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.']",Moderate,High
16,17,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.', 'IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.']",High,High
17,18,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.']",Moderate,High
18,19,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.', 'IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.']",High,High
19,20,"['IF a person shows in a post enthusiasm for reliving past experiences with friends and engaging in fun activities, THEN openness is likely High because this suggests a willingness to embrace new experiences and positive connections.', 'IF a person expresses excitement about celebrating milestones and future adventures with loved ones, THEN openness is likely High because this demonstrates a positive attitude towards new experiences and social interactions.']",High,Moderate
