,p,matched_rules,true_label,pred_label
0,1,"['IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.', 'IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.']",High,High
1,2,"['IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.', 'IF a person indicates that they operate within a familiar routine and demonstrate reluctance towards new social settings, THEN openness is likely Low because this suggests a closed disposition toward experiences.']",High,Low
2,3,"['IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.', 'IF a person indicates that they operate within a familiar routine and demonstrate reluctance towards new social settings, THEN openness is likely Low because this suggests a closed disposition toward experiences.']",Low,Low
3,4,"['IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.', 'IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.', 'IF a person indicates that they operate within a familiar routine and demonstrate reluctance towards new social settings, THEN openness is likely Low because this suggests a closed disposition toward experiences.']",High,Low
4,5,"['IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.', 'IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.']",Low,Low
5,6,"['IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.', 'IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.']",Moderate,Moderate
6,7,"['IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.', 'IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.', 'IF a person indicates that they operate within a familiar routine and demonstrate reluctance towards new social settings, THEN openness is likely Low because this suggests a closed disposition toward experiences.']",Low,Low
7,8,"['IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.', 'IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.']",Moderate,Low
8,9,"['IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.', 'IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.']",High,High
9,10,"['IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.', 'IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.', 'IF a person indicates that they operate within a familiar routine and demonstrate reluctance towards new social settings, THEN openness is likely Low because this suggests a closed disposition toward experiences.']",Moderate,Low
10,11,"['IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.', 'IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.']",Moderate,Low
11,12,"['IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.', 'IF a person uses language that emphasizes a lack of new experiences and focuses only on unchanging friendships, THEN openness is likely Low because this suggests resistance to change and a closed mindset.']",Low,Low
12,13,"['IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.', 'IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.']",Moderate,High
13,14,"['IF a person emphasizes a lack of new experiences and focuses only on unchanging friendships, THEN openness is likely Low because this suggests resistance to change and a closed mindset.', 'IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.']",High,Low
14,15,"['IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.', 'IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.', 'IF a person discusses meeting new acquaintances and expresses affection towards them, THEN openness is likely High because this indicates a positive attitude towards new relationships.']",High,High
15,16,"['IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.', 'IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.']",Moderate,High
16,17,"['IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.', 'IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.']",High,High
17,18,"['IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.', 'IF a person provides detailed descriptions of fun activities and spontaneous gatherings, THEN openness is likely High because this indicates an inclination towards new experiences and engagement.']",Moderate,High
18,19,"['IF a person discusses meeting new acquaintances at social events and appreciates spontaneous moments, THEN openness is likely High because this reflects an openness to new experiences and interactions.', 'IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.']",High,Moderate
19,20,"['IF a person reflects frequently on past memories and demonstrates little interest in trying new activities, THEN openness is likely Low because this indicates a preference for familiar routines and environments rather than exploring new possibilities.', 'IF a person talks about past relationships with a focus on nostalgia and minimal mention of new experiences or plans, THEN openness is likely Low because this suggests a preference for comfort over exploration.']",High,Low
