,p,matched_rules,true_label,pred_label
0,21,"['IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.']",Low,Low
1,22,"['IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.', 'IF a person uses enthusiastic and detailed language to describe a social event or gathering in a post, THEN openness is likely High because this indicates engagement with new experiences and enjoyment of diverse activities.']",Moderate,High
2,23,"['IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.', 'IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.']",Moderate,Moderate
3,24,"['IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.']",High,Low
4,25,"['IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.', 'IF a person enthusiastically shares specific details about new activities or experiences in a post, THEN openness is likely High because this demonstrates a readiness to try new things and engage with different environments.']",Moderate,High
5,26,"['IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.', 'IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.']",Moderate,Moderate
6,27,"['IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.']",Moderate,Low
7,28,"['IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.', 'IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.']",Low,Moderate
8,29,"['IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.']",Moderate,Low
9,30,"['IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.', 'IF a person uses enthusiastic and detailed language to describe a social event or gathering in a post, THEN openness is likely High because this indicates engagement with new experiences and enjoyment of diverse activities.', 'IF a person enthusiastically shares specific details about new activities or experiences in a post, THEN openness is likely High because this demonstrates a readiness to try new things and engage with different environments.']",Low,High
10,31,"['IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.', 'IF a person enthusiastically shares specific details about new activities or experiences in a post, THEN openness is likely High because this demonstrates a readiness to try new things and engage with different environments.']",Low,High
11,32,"['IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.', 'IF a person uses enthusiastic and detailed language to describe a social event or gathering in a post, THEN openness is likely High because this indicates engagement with new experiences and enjoyment of diverse activities.']",High,High
12,33,"['IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.', 'IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.']",Moderate,Moderate
13,34,"['IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.']",Low,Low
14,35,"['IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.', 'IF a person enthusiastically shares specific details about new activities or experiences in a post, THEN openness is likely High because this demonstrates a readiness to try new things and engage with different environments.']",High,High
15,36,"['IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.', 'IF a person uses enthusiastic and detailed language to describe a social event or gathering in a post, THEN openness is likely High because this indicates engagement with new experiences and enjoyment of diverse activities.']",Moderate,High
16,37,"['IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.']",High,Low
17,38,"['IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.']",High,Low
18,39,"['IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.', 'IF a person enthusiastically shares specific details about new activities or experiences in a post, THEN openness is likely High because this demonstrates a readiness to try new things and engage with different environments.']",Moderate,High
19,40,"['IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.']",Low,Low
