,p,matched_rules,true_label,pred_label
0,21,"['IF a person expresses excitement about reuniting with past friends or experiences, THEN openness is likely High because this indicates a willingness to reconnect and embrace new moments.', 'IF a person conveys hopefulness for future experiences and activities, THEN openness is likely High because this reflects a proactive attitude towards new opportunities.', 'IF a person articulates gratitude for personal growth or shared adventures with loved ones, THEN openness is likely High because this implies an appreciation for diverse experiences.']",Low,High
1,22,"['IF a person expresses excitement about reuniting with past friends or experiences, THEN openness is likely High because this indicates a willingness to reconnect and embrace new moments.', 'IF a person articulates gratitude for personal growth or shared adventures with loved ones, THEN openness is likely High because this implies an appreciation for diverse experiences.', 'IF a person conveys hopefulness for future experiences and activities, THEN openness is likely High because this reflects a proactive attitude towards new opportunities.']",Moderate,High
2,23,"['IF a person expresses excitement about reuniting with past friends or experiences, THEN openness is likely High because this indicates a willingness to reconnect and embrace new moments.', 'IF a person conveys hopefulness for future experiences and activities, THEN openness is likely High because this reflects a proactive attitude towards new opportunities.', 'IF a person articulates gratitude for personal growth or shared adventures with loved ones, THEN openness is likely High because this implies an appreciation for diverse experiences.']",Moderate,High
3,24,"['IF a person expresses excitement about reuniting with past friends or experiences, THEN openness is likely High because this indicates a willingness to reconnect and embrace new moments.', 'IF a person conveys hopefulness for future experiences and activities, THEN openness is likely High because this reflects a proactive attitude towards new opportunities.', 'IF a person articulates gratitude for personal growth or shared adventures with loved ones, THEN openness is likely High because this implies an appreciation for diverse experiences.']",High,High
4,25,"['IF a person expresses excitement about reuniting with past friends or experiences, THEN openness is likely High because this indicates a willingness to reconnect and embrace new moments.', 'IF a person articulates gratitude for personal growth or shared adventures with loved ones, THEN openness is likely High because this implies an appreciation for diverse experiences.', 'IF a person conveys hopefulness for future experiences and activities, THEN openness is likely High because this reflects a proactive attitude towards new opportunities.', 'IF a person shares anecdotes involving spontaneity or impromptu gatherings, THEN openness is likely High because this suggests a willingness to embrace unexpected experiences.']",Moderate,High
5,26,"['IF a person expresses excitement about reuniting with past friends or experiences, THEN openness is likely High because this indicates a willingness to reconnect and embrace new moments.', 'IF a person conveys hopefulness for future experiences and activities, THEN openness is likely High because this reflects a proactive attitude towards new opportunities.', 'IF a person articulates gratitude for personal growth or shared adventures with loved ones, THEN openness is likely High because this implies an appreciation for diverse experiences.']",Moderate,High
6,27,"['IF a person shows preference for reminiscing about past experiences without indicating desire for new ones, THEN openness is likely Low because this suggests a comfort with the familiar rather than seeking new experiences.', 'IF a person emphasizes the importance of established friendships without expressing interest in meeting new ones, THEN openness is likely Low because this indicates a preference for the known rather than exploring new connections.']",Moderate,Low
7,28,"['IF a person expresses excitement about reuniting with past friends or experiences, THEN openness is likely High because this indicates a willingness to reconnect and embrace new moments.', 'IF a person conveys hopefulness for future experiences and activities, THEN openness is likely High because this reflects a proactive attitude towards new opportunities.']",Low,Moderate
8,29,"['IF a person emphasizes the importance of established friendships without expressing interest in meeting new ones, THEN openness is likely Low because this indicates a preference for the known rather than exploring new connections.', 'IF a person focuses on traditional events and lacks mention of new or varied activities, THEN openness is likely Low because this indicates adherence to routine and familiarity rather than exploration.']",Moderate,Low
9,30,"['IF a person expresses excitement about reuniting with past friends or experiences, THEN openness is likely High because this indicates a willingness to reconnect and embrace new moments.', 'IF a person conveys hopefulness for future experiences and activities, THEN openness is likely High because this reflects a proactive attitude towards new opportunities.', 'IF a person articulates gratitude for personal growth or shared adventures with loved ones, THEN openness is likely High because this implies an appreciation for diverse experiences.', 'IF a person expresses excitement about celebrating a special occasion and looks forward to specific enjoyable activities, THEN openness is likely High because this suggests enthusiasm for future experiences.']",Low,High
