,p,matched_rules,true_label,pred_label
0,21,"['IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.', 'IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.']",Low,Low
1,22,"['IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.', 'IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.']",Moderate,High
2,23,"['IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.', 'IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.']",Moderate,Low
3,24,"['IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.', 'IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.']",High,Moderate
4,25,"['IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.', 'IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.']",Moderate,High
5,26,"['IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.', 'IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.']",Moderate,Low
6,27,"['IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.', 'IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.']",Moderate,Low
7,28,"['IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.', 'IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.']",Low,Low
8,29,"['IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.', 'IF a person reflects on past experiences rather than indicating any plans or excitement about new activities, THEN openness is likely Low because this implies a lack of interest in exploring new opportunities.']",Moderate,Low
9,30,"['IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.', 'IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.']",Low,High
10,31,"['IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.', 'IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.']",Low,High
11,32,"['IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.', 'IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.', 'IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.']",High,Moderate
12,33,"['IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.', 'IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.']",Moderate,Low
13,34,"['IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.', 'IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.', 'IF a person shares in a post that they reflect on past experiences rather than indicating any plans or excitement about new activities, THEN openness is likely Low because this implies a lack of interest in exploring new opportunities.', 'IF a person expresses a carefree attitude towards new experiences and spontaneity, often mentioning enjoyment in the moment without reservation, THEN openness is likely High because this indicates a willingness to embrace unpredictability.']",Low,High
14,35,"['IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.', 'IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.', 'IF a person expresses a carefree attitude towards new experiences and spontaneity, often mentioning enjoyment in the moment without reservation, THEN openness is likely High because this indicates a willingness to embrace unpredictability.']",High,High
15,36,"['IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.', 'IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.']",Moderate,High
16,37,"['IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.', 'IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.']",High,Low
17,38,"['IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.', 'IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.']",High,Low
18,39,"['IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.', 'IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.', 'IF a person expresses a carefree attitude towards new experiences and spontaneity, often mentioning enjoyment in the moment without reservation, THEN openness is likely High because this indicates a willingness to embrace unpredictability.']",Moderate,High
19,40,"['IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.', 'IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.']",Low,Low
