,p,matched_rules,true_label,pred_label
0,1,"['IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.', 'IF a person discusses seemingly spontaneous and fun experiences with friends, THEN openness is likely High because this conveys adaptability and a willingness to embrace new opportunities.', 'IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.']",High,High
1,2,"['IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.', 'IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.', 'IF a person shares playful and spontaneous language about social events, THEN openness is likely High because this indicates an adventurous spirit and readiness to embrace new experiences.']",High,High
2,3,"['IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.', 'IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.']",Low,Low
3,4,"['IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.', 'IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.', 'IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.']",High,High
4,5,"['IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.', 'IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.']",Low,Low
5,6,"['IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.', 'IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.', 'IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.']",Moderate,High
6,7,"['IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.', 'IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.']",Low,Low
7,8,"['IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.', 'IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.']",Moderate,Low
8,9,"['IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.', 'IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.', 'IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.']",High,Moderate
9,10,"['IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.', 'IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.', 'IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.']",Moderate,Moderate
