,p,matched_rules,true_label,pred_label
0,21,"['IF a person focuses on traditional events and lacks mention of new or varied activities, THEN openness is likely Low because this indicates adherence to routine and familiarity rather than exploration.', 'IF a person describes their activities in a general or unenthusiastic manner without apparent excitement for new experiences, THEN openness is likely Low because this demonstrates a lack of engagement with novel opportunities.', 'IF a person presents their social interactions in a formulaic or serious tone, THEN openness is likely Low because this may indicate a lack of enthusiasm for exploring new social or experiential avenues.']",Low,Low
1,22,"['IF a person focuses on traditional events and lacks mention of new or varied activities, THEN openness is likely Low because this indicates adherence to routine and familiarity rather than exploration.', 'IF a person describes their activities in a general or unenthusiastic manner without apparent excitement for new experiences, THEN openness is likely Low because this demonstrates a lack of engagement with novel opportunities.']",Moderate,Low
2,23,"['IF a person focuses on traditional events and lacks mention of new or varied activities, THEN openness is likely Low because this indicates adherence to routine and familiarity rather than exploration.', 'IF a person presents their social interactions in a formulaic or serious tone, THEN openness is likely Low because this may indicate a lack of enthusiasm for exploring new social or experiential avenues.']",Moderate,Low
3,24,"['IF a person describes enjoying varied activities and the engagement of those experiences in detail, THEN openness is likely High because this reflects an appreciation for novelty and new experiences.', 'IF a person shares anecdotes involving spontaneity or impromptu gatherings, THEN openness is likely High because this suggests a willingness to embrace unexpected experiences.']",High,High
4,25,"['IF a person focuses on traditional events and lacks mention of new or varied activities, THEN openness is likely Low because this indicates adherence to routine and familiarity rather than exploration.', 'IF a person presents their social interactions in a formulaic or serious tone, THEN openness is likely Low because this may indicate a lack of enthusiasm for exploring new social or experiential avenues.']",Moderate,Low
5,26,"['IF a person describes enjoying varied activities and the engagement of those experiences in detail, THEN openness is likely High because this reflects an appreciation for novelty and new experiences.', 'IF a person presents their social interactions in a formulaic or serious tone, THEN openness is likely Low because this may indicate a lack of enthusiasm for exploring new social or experiential avenues.']",Moderate,Moderate
6,27,"['IF a person focuses on traditional events and lacks mention of new or varied activities, THEN openness is likely Low because this indicates adherence to routine and familiarity rather than exploration.', 'IF a person describes their activities in a general or unenthusiastic manner without apparent excitement for new experiences, THEN openness is likely Low because this demonstrates a lack of engagement with novel opportunities.', 'IF a person presents their social interactions in a formulaic or serious tone, THEN openness is likely Low because this may indicate a lack of enthusiasm for exploring new social or experiential avenues.']",Moderate,Low
7,28,"['IF a person describes enjoying varied activities and the engagement of those experiences in detail, THEN openness is likely High because this reflects an appreciation for novelty and new experiences.', 'IF a person shares anecdotes involving spontaneity or impromptu gatherings, THEN openness is likely High because this suggests a willingness to embrace unexpected experiences.', 'IF a person describes their activities in a general or unenthusiastic manner without apparent excitement for new experiences, THEN openness is likely Low because this demonstrates a lack of engagement with novel opportunities.']",Low,Moderate
8,29,"['IF a person focuses on traditional events and lacks mention of new or varied activities, THEN openness is likely Low because this indicates adherence to routine and familiarity rather than exploration.', 'IF a person presents their social interactions in a formulaic or serious tone, THEN openness is likely Low because this may indicate a lack of enthusiasm for exploring new social or experiential avenues.']",Moderate,Low
9,30,"['IF a person describes enjoying varied activities and the engagement of those experiences in detail, THEN openness is likely High because this reflects an appreciation for novelty and new experiences.', 'IF a person describes their activities in a general or unenthusiastic manner without apparent excitement for new experiences, THEN openness is likely Low because this demonstrates a lack of engagement with novel opportunities.']",Low,Moderate
