,p,matched_rules,true_label,pred_label
0,41,"['IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.', 'IF a person describes meeting up with friends and engaging in fun activities like karaoke or reminiscing about the past, THEN openness is likely High because this reflects a willingness to participate in enjoyable and potentially new experiences.']",Moderate,High
1,42,"['IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.', 'IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.']",Low,Moderate
2,43,"['IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.', 'IF a person uses casual or unrefined language while discussing past activities without any reference to new experiences, THEN openness is likely Low because this indicates a lack of interest in exploring beyond familiar comfort zones.']",Low,Low
3,44,"['IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.', 'IF a person describes meeting up with friends and engaging in fun activities like karaoke or reminiscing about the past, THEN openness is likely High because this reflects a willingness to participate in enjoyable and potentially new experiences.']",High,High
4,45,"['IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.', 'IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.']",Low,Low
5,46,"['IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.', 'IF a person describes meeting up with friends and engaging in fun activities like karaoke or reminiscing about the past, THEN openness is likely High because this reflects a willingness to participate in enjoyable and potentially new experiences.']",High,High
6,47,"['IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.', 'IF a person describes meeting up with friends and engaging in fun activities like karaoke or reminiscing about the past, THEN openness is likely High because this reflects a willingness to participate in enjoyable and potentially new experiences.']",High,High
7,48,"['IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.', 'IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.']",Moderate,Moderate
8,49,"['IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.', 'IF a person uses casual or unrefined language while discussing past activities without any reference to new experiences, THEN openness is likely Low because this indicates a lack of interest in exploring beyond familiar comfort zones.']",Low,Low
9,50,"['IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.', 'IF a person uses casual or unrefined language while discussing past activities without any reference to new experiences, THEN openness is likely Low because this indicates a lack of interest in exploring beyond familiar comfort zones.']",Low,Low
10,51,"['IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.', 'IF a person uses casual or unrefined language while discussing past activities without any reference to new experiences, THEN openness is likely Low because this indicates a lack of interest in exploring beyond familiar comfort zones.']",Moderate,Low
11,52,"['IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.', 'IF a person uses casual or unrefined language while discussing past activities without any reference to new experiences, THEN openness is likely Low because this indicates a lack of interest in exploring beyond familiar comfort zones.']",High,Low
