,p,matched_rules,true_label,pred_label
0,21,"['IF a person shows preference for reminiscing about past experiences without indicating desire for new ones, THEN openness is likely Low because this suggests a comfort with the familiar rather than seeking new experiences.', 'IF a person focuses on traditional events and lacks mention of new or varied activities, THEN openness is likely Low because this indicates adherence to routine and familiarity rather than exploration.', 'IF a person emphasizes the importance of established friendships without expressing interest in meeting new ones, THEN openness is likely Low because this indicates a preference for the known rather than exploring new connections.']",Low,Low
1,22,"['IF a person shows preference for reminiscing about past experiences without indicating desire for new ones, THEN openness is likely Low because this suggests a comfort with the familiar rather than seeking new experiences.', 'IF a person emphasizes the importance of established friendships without expressing interest in meeting new ones, THEN openness is likely Low because this indicates a preference for the known rather than exploring new connections.']",Moderate,Low
2,23,"['IF a person shows preference for reminiscing about past experiences without indicating desire for new ones, THEN openness is likely Low because this suggests a comfort with the familiar rather than seeking new experiences.', 'IF a person emphasizes the importance of established friendships without expressing interest in meeting new ones, THEN openness is likely Low because this indicates a preference for the known rather than exploring new connections.']",Moderate,Low
3,24,"['IF a person shows preference for reminiscing about past experiences without indicating desire for new ones, THEN openness is likely Low because this suggests a comfort with the familiar rather than seeking new experiences.', 'IF a person focuses on traditional events and lacks mention of new or varied activities, THEN openness is likely Low because this indicates adherence to routine and familiarity rather than exploration.']",High,Low
4,25,"['IF a person shows preference for reminiscing about past experiences without indicating desire for new ones, THEN openness is likely Low because this suggests a comfort with the familiar rather than seeking new experiences.', 'IF a person emphasizes the importance of established friendships without expressing interest in meeting new ones, THEN openness is likely Low because this indicates a preference for the known rather than exploring new connections.', 'IF a person describes their activities in a general or unenthusiastic manner without apparent excitement for new experiences, THEN openness is likely Low because this demonstrates a lack of engagement with novel opportunities.']",Moderate,Low
5,26,"['IF a person shows preference for reminiscing about past experiences without indicating desire for new ones, THEN openness is likely Low because this suggests a comfort with the familiar rather than seeking new experiences.', 'IF a person emphasizes the importance of established friendships without expressing interest in meeting new ones, THEN openness is likely Low because this indicates a preference for the known rather than exploring new connections.']",Moderate,Low
6,27,"['IF a person shows preference for reminiscing about past experiences without indicating desire for new ones, THEN openness is likely Low because this suggests a comfort with the familiar rather than seeking new experiences.', 'IF a person focuses on traditional events and lacks mention of new or varied activities, THEN openness is likely Low because this indicates adherence to routine and familiarity rather than exploration.', 'IF a person emphasizes the importance of established friendships without expressing interest in meeting new ones, THEN openness is likely Low because this indicates a preference for the known rather than exploring new connections.']",Moderate,Low
7,28,"['IF a person emphasizes the importance of established friendships without expressing interest in meeting new ones, THEN openness is likely Low because this indicates a preference for the known rather than exploring new connections.', 'IF a person shows preference for reminiscing about past experiences without indicating desire for new ones, THEN openness is likely Low because this suggests a comfort with the familiar rather than seeking new experiences.', 'IF a person describes enjoying varied activities and the engagement of those experiences in detail, THEN openness is likely High because this reflects an appreciation for novelty and new experiences.']",Low,Moderate
8,29,"['IF a person emphasizes the importance of established friendships without expressing interest in meeting new ones, THEN openness is likely Low because this indicates a preference for the known rather than exploring new connections.', 'IF a person focuses on traditional events and lacks mention of new or varied activities, THEN openness is likely Low because this indicates adherence to routine and familiarity rather than exploration.']",Moderate,Low
9,30,"['IF a person shows preference for reminiscing about past experiences without indicating desire for new ones, THEN openness is likely Low because this suggests a comfort with the familiar rather than seeking new experiences.', 'IF a person focuses on traditional events and lacks mention of new or varied activities, THEN openness is likely Low because this indicates adherence to routine and familiarity rather than exploration.']",Low,Low
