,p,matched_rules,true_label,pred_label
0,21,"['IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.', 'IF a person expresses enjoyment while participating in activities such as bowling or karaoke, demonstrating engagement with new experiences, THEN openness is likely High because they are seeking varied and adventurous interactions.', 'IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.']",Low,Moderate
1,22,"['IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.', 'IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.']",Moderate,Low
2,23,"['IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.', 'IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.', 'IF a person mentions past experiences and good times in a way that suggests a focus on what they have already done rather than anticipating new adventures, THEN openness is likely Low because it reflects a lack of interest in change or novelty.']",Moderate,Low
3,24,"['IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.', 'IF a person expresses enjoyment while participating in activities such as bowling or karaoke, demonstrating engagement with new experiences, THEN openness is likely High because they are seeking varied and adventurous interactions.', 'IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.']",High,High
4,25,"['IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.', 'IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.']",Moderate,Low
5,26,"['IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.', 'IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.']",Moderate,Low
6,27,"['IF a person describes their experience with friends in a generalized manner, indicating they do not remember new details about old acquaintances, THEN openness is likely Low because it suggests a lack of curiosity for exploring new relationships.', 'IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.']",Moderate,Low
7,28,"['IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.', 'IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.', 'IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.']",Low,Moderate
8,29,"['IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.', 'IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.']",Moderate,Low
9,30,"['IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.', 'IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.']",Low,High
10,31,"['IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.', 'IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.']",Low,High
11,32,"['IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.', 'IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.']",High,Low
12,33,"['IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.', 'IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.']",Moderate,Low
13,34,"['IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.', 'IF a person reveals a desire and hopefulness for more positive experiences with individuals in their posts, THEN openness is likely High because it indicates a willingness to engage in new activities and environments.', 'IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.']",Low,Moderate
14,35,"['IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.', 'IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.']",High,High
15,36,"['IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.', 'IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.']",Moderate,High
16,37,"['IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.', 'IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.']",High,Low
17,38,"['IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.', 'IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.', 'IF a person mentions past experiences and good times in a way that suggests a focus on what they have already done rather than anticipating new adventures, THEN openness is likely Low because it reflects a lack of interest in change or novelty.']",High,Low
