p,post1,post2,true_label,matched_rules,matched_behaviours,pred_rule_based,category_counts,score_rules
1,OMG we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night,I just want to shout out happy birthday to my amazing husband he always does everything for us and gets up and goes to work and works hard everyday to provide everything that we need I just want to say I'm so grateful for him and everything he has done for me and our children and I will continue to be grateful everyday,High,"['IF a person expresses excitement about social interactions or gatherings, THEN extraversion is likely High because this indicates a strong enjoyment of socializing.', 'IF a person shares details about social events with friends and demonstrates engagement with others, THEN extraversion is likely High because this reflects a tendency to seek social connections.']","['OMG we went to the movie theater and watched a new movie and had fun...', 'we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers...']",High,{'Uncategorized': 2},1
2,"Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well, who'll see you through anything and everything. And no matter how old we get are still up for a good girls night out, even if it now takes us two days to recover! Night at Sixways is always the best, love this place, and Love you all ???? ","It's official, he's getting older! Happy birthday to my gorgeous husband, another year old and not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find. Looking forward to spoiling you rotten today - and maybe a few surprises this weekend! Happy birthday favourite human xoxo",High,"['IF a person expresses joy about being with friends and shows appreciation for close relationships, THEN extraversion is likely High because this indicates a strong preference for social interactions.', 'IF a person talks about celebrating and planning social activities, THEN extraversion is likely High because this reflects an enjoyment of social engagement.']","['Such a great night with this incredible bunch... Everyone needs those friends who know you so well...', 'Looking forward to spoiling you rotten today - and maybe a few surprises this weekend!']",High,{'Uncategorized': 2},1
3,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Moderate,"['IF a person shares positive experiences involving social gatherings with friends and highlights enjoyment from these interactions, THEN extraversion is likely High because this indicates a preference for engaging with others.', 'IF a person mentions celebrating others and cherishing their relationship in a heartfelt manner, THEN extraversion is likely High because this reflects a strong emotional connection and an appreciation of social bonds.', 'IF a person expresses joy and affection in their communications with others, THEN extraversion is likely High because this reflects an openness and enthusiasm for social interactions.']","['We love spending time together and chilling out.', 'I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you.', 'The love you give me is the best.']",High,{'Uncategorized': 3},0
4,"Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time. It's great to see all these familiar faces smiling back at me! I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!","Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more! I know that you will a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way. Enjoy your day, take some time to yourself and start back to work tomorrow. L,S",Moderate,"['IF a person expresses excitement about reuniting with others and reminiscing about good times, THEN extraversion is likely High because this shows a strong enjoyment of social interactions.', ""IF a person sends a thoughtful message for a friend's birthday and expresses support for their journey, THEN extraversion is likely High as it indicates a desire to maintain social connections and celebrate others.""]","[""Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time."", 'Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more!']",High,{'Uncategorized': 2},0
5,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Low,"['IF a person shares their joy and affection for close relationships and expresses a desire to connect with others, THEN extraversion is likely High because it shows engagement in social interaction and an appreciation for relationships.', 'IF a person expresses warmth and affection towards loved ones publicly, along with an enthusiastic desire to celebrate life events together, THEN extraversion is likely High as it signifies a fondness for social connections and sharing experiences.']","['Lovely to catch up with some old friends and reminisce on childhood memories!', 'To the love of my life, I hope you have the best day and make the best memories!']",High,{'Uncategorized': 2},0
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"['IF a person expresses excitement about reconnecting with friends, THEN extraversion is likely High because this indicates a strong preference for social interaction.', 'IF a person describes a memorable experience with friends and encourages others to participate, THEN extraversion is likely High as it shows a desire to connect and share social experiences.', ""IF a person expresses happiness and joy related to someone's special occasion, THEN extraversion is likely High as it reflects a connection to social relationships and celebration."", 'IF a person wishes well for others and shows enthusiasm for gifts and celebrations, THEN extraversion is likely High because this highlights social engagement and positive interactions.']","['I have reunited with my childhood friends and I was so excited.', 'It was an amazing experience which I totally recommend if you can do it.', 'I am so happy to see you growing up bit by bit.', ""I hope you find my gifts splendid as well as everyone else's.""]",High,{'Uncategorized': 4},1
7,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,High,"['IF a person shares positive experiences and connections with friends, THEN extraversion is likely High because this reflects social engagement and enjoyment of interactions.', 'IF a person expresses affection and enthusiasm toward loved ones, THEN extraversion is likely High because this indicates warmth and a strong social bond.', 'IF a person reminisces about past social interactions shared with friends, THEN extraversion is likely High because this shows a tendency to value social relationships.']","['Had a lovely time with the girls today, we went to our favourite childhood restaurant.', ""Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy."", 'We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go.']",High,{'Uncategorized': 3},1
8,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Moderate,"['IF a person expresses joy and excitement about reconnecting with friends and making future plans, THEN extraversion is likely High because this shows a strong interest in social interactions.', ""IF a person shows enthusiasm for celebrating others' special occasions, THEN extraversion is likely High because this reflects a desire for social engagement and connection."", 'IF a person looks forward to spending time with friends in the future, THEN extraversion is likely High because this indicates a preference for social interactions.']","['I had so much fun seeing you all again and catching up. we should make this an annual thing every year.', 'Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people.', ""I cant wait to celebrate every birthday with you, even when we are old we'll still have each others company.""]",High,{'Uncategorized': 3},0
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"['IF a person expresses joy in reconnecting with friends and values these relationships, THEN their level of extraversion is likely High, as this reflects a strong desire for social interaction.', 'IF a person demonstrates excitement about future social plans and expresses looking forward to spending time with others, THEN their level of extraversion is likely High, as this indicates an eagerness for socialization.', ""IF a person celebrates others' achievements and enjoys being part of their special moments, THEN their level of extraversion is likely High, as it reflects a tendency to engage socially and supportively."", ""IF a person expresses pride in others' accomplishments and looks forward to shared experiences, THEN their level of extraversion is likely High, as this shows enthusiasm for social connections.""]","['It was so lovely to catch up with all of you.', ""Let me know when you're all back in town - we can hang out again."", 'Happy birthday!! I hope you had an amazing day with friends and family.', ""I'm so proud of all you've achieved this past year.""]",High,{'Uncategorized': 4},0
10,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",High,"['IF a person shows excitement about social gatherings and expresses eagerness to participate in activities like karaoke, THEN extraversion is likely High because it reflects an enjoyment of social interactions.', 'IF a person expresses affection and uses playful language to connect with friends on social media, THEN extraversion is likely High because this reflects a strong desire to bond with others.', 'IF a person enjoys sharing songs and messages publicly, demonstrating a willingness to entertain and engage with others, THEN extraversion is likely High because this indicates comfort in social situations.']","[""having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time."", ""Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you xxxxx"", 'happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx']",High,{'Uncategorized': 3},1
