p,trait,true level,post 1,post 2,pred rules,experts-rules score,matched rules,matched behaviors,pred with few-shot,few-shot score,pred with zero-shot,zero-shot score
5,openness,Low,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Low,1,"IF a person reflects on memories with friends and emphasizes nostalgic feelings in their posts, THEN openness is likely Low because this behavior indicates a preference for familiar experiences rather than seeking new ones.",reflects on childhood memories and reminisces with old friends,High,0,High,0
5,openness,Low,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Low,1,"IF a person emphasizes the importance of old friendships and past memories, indicating a focus on what was rather than what could be in their posts, THEN openness is likely Low because this suggests a tendency to stick to the familiar.",how much everybody has grown and achieved in life and where their paths have taken them,High,0,High,0
5,openness,Low,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Low,1,"IF a person includes expressions of gratitude and appreciation for their significant other, focusing on past experiences together, in their posts, THEN openness is likely Low because this indicates a strong attachment to established relationships rather than seeking new ones.",Thank you for making the world a happier place and staying by my side.,High,0,High,0
6,openness,Moderate,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,0,"IF a person expresses excitement about meeting friends after a long time in a post, THEN openness is likely High because this behavior shows eagerness for social interactions and new experiences.",I was so excited to have reunited with my childhood friends.,Moderate,1,High,0
6,openness,Moderate,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,0,"IF a person demonstrates enthusiasm for planning or anticipating upcoming social events with friends, THEN openness is likely High because this reflects a proactive attitude towards new experiences.",it was an amazing experience which I totally recommend if you can do it.,Moderate,1,High,0
10,openness,Moderate,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",Moderate,1,"IF a person expresses excitement about meeting friends after a long time in a post, THEN openness is likely High because this behavior shows eagerness for social interactions and new experiences.","having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time.",High,0,High,0
10,openness,Moderate,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",Moderate,1,"IF a person reflects on memories with friends and emphasizes nostalgic feelings in their posts, THEN openness is likely Low because this behavior indicates a preference for familiar experiences rather than seeking new ones.",Talking about old times at school was a blast....rekindled many good memories.,High,0,High,0
10,openness,Moderate,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",Moderate,1,"IF a person talks about their existing relationships and does not indicate interest in new experiences or meeting new people in their posts, THEN openness is likely Low because this suggests a preference for familiarity over novelty.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!!",High,0,High,0
17,openness,High,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,1,"IF a person expresses excitement about meeting friends after a long time in a post, THEN openness is likely High because this behavior shows eagerness for social interactions and new experiences.",Finally! The stars aligned and we were able to go out together! What a wild time we've had.,Moderate,0,High,1
17,openness,High,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,1,"IF a person describes engaging in fun activities, such as games or celebrations, in detail within their posts, THEN openness is likely High because this demonstrates an enjoyment for new and adventurous experiences.","What a wild time we've had, you would think that we were in 2004 living our best life at XXX university!",Moderate,0,High,1
