p,trait,true level,post 1,post 2,pred rules,experts-rules score,matched rules,matched behaviors,pred with few-shot,few-shot score,pred with zero-shot,zero-shot score
6,openness,Moderate,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,0,"IF a person expresses enthusiasm for reconnecting and catching up with friends after a long time in a post, THEN openness is likely High because this indicates a desire for social interaction and new experiences.",I have reunited with my childhood friends and I was so excited.,Moderate,1,High,0
6,openness,Moderate,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,0,"IF a person shares excitement about spontaneous plans or new activities they have engaged in with friends in a post, THEN openness is likely High because this reflects a willingness to embrace new experiences.",It was an amazing experience which I totally recommend if you can do it.,Moderate,1,High,0
6,openness,Moderate,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,0,"IF a person indicates that they look forward to creating new memories with loved ones in a post, THEN openness is likely High because this indicates an engagement with the present and future experiences.",I hope you find my gifts splendid as well as everyone else's.,Moderate,1,High,0
8,openness,Moderate,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Moderate,1,"IF a person expresses enthusiasm for reconnecting and catching up with friends after a long time in a post, THEN openness is likely High because this indicates a desire for social interaction and new experiences.",I had so much fun seeing you all again and catching up.,Moderate,1,High,0
8,openness,Moderate,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Moderate,1,"IF a person reflects on past relationships and seems content with maintaining long-standing friendships in a post, THEN openness is likely Low because this suggests a preference for familiar connections over seeking out new experiences.",none of you have changed!,Moderate,1,High,0
8,openness,Moderate,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Moderate,1,"IF a person indicates that they look forward to creating new memories with loved ones in a post, THEN openness is likely High because this indicates an engagement with the present and future experiences.","I cant wait to celebrate every birthday with you, even when we are old we'll still have each others company.",Moderate,1,High,0
14,openness,High,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,Low,0,"IF a person reflects on past relationships and seems content with maintaining long-standing friendships in a post, THEN openness is likely Low because this suggests a preference for familiar connections over seeking out new experiences.",My loved ones are what keep me going... I don't know where I would be without them. I'm so blessed to be able to call you guys my family.,Moderate,0,Moderate,0
14,openness,High,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,Low,0,"IF a person predominantly discusses reminiscing about old times and highlights the significance of familiar people in their life in a post, THEN openness is likely Low because this implies a comfort in routine and familiar experiences rather than seeking change.",I'm so blessed to be able to call you guys my family... I don't know where I would be without them.,Moderate,0,Moderate,0
14,openness,High,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,Low,0,"IF a person uses straightforward and unvarnished language without expressing a desire to explore or experience something new in a post, THEN openness is likely Low because this indicates a lack of interest in broader experiences.","Life can be complicated, but my people make it all worth it.",Moderate,0,Moderate,0
16,openness,Moderate,"went to a great birthday party today at the drummond park animal experience
centre with ash, jen, jodie jake, alex and all the rest of the crew.  loved watching the
monkeys antics.  the lion cubs were so cute.  alex ate too much cake and looked alittle
green jake punched him in the stomach to sicee if he could make him sick ..","wow!  another landmark birthday.  we are all so looking forward to your birthday
bash at Fisher's restaurant.  can't believe you've come this far despite all the
hoops you've had to jump through in the past few years,  what an achievement
well done you.  I know you said no presents but well suspect there may still be one or two surprises",High,0,"IF a person expresses enthusiasm for reconnecting and catching up with friends after a long time in a post, THEN openness is likely High because this indicates a desire for social interaction and new experiences.","went to a great birthday party today at the drummond park animal experience centre with ash, jen, jodie jake, alex and all the rest of the crew",Low,0,Moderate,1
