p,trait,true level,post 1,post 2,pred rules,experts-rules score,matched rules,matched behaviors,pred with few-shot,few-shot score,pred with zero-shot,zero-shot score
9,openness,High,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",High,1,"IF a person expresses excitement about reconnecting with old friends and describes their shared experiences in detail, THEN openness is likely High because this reflects a willingness to engage in social interactions and cherish relationships.",It was so lovely to catch up with all of you.,Moderate,0,High,1
9,openness,High,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",High,1,"IF a person writes about engaging in a variety of enjoyable activities and expresses a desire to keep doing them, THEN openness is likely High because this shows an openness to experimentation and future experiences.",I look forward to spending the next year with you.,Moderate,0,High,1
9,openness,High,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",High,1,"IF a person’s language reflects a positive attitude toward upcoming plans or experiences, THEN openness is likely High because this suggests excitement for future opportunities and a willingness to embrace change.",I'm sure the next year will be full of lots of new opportunities.,Moderate,0,High,1
13,openness,Moderate,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",High,0,"IF a person expresses excitement about reconnecting with old friends and describes their shared experiences in detail, THEN openness is likely High because this reflects a willingness to engage in social interactions and cherish relationships.",I love you! Cant wait to do it again! Let's go whale watching next time.,Moderate,1,Moderate,1
13,openness,Moderate,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",High,0,"IF a person shows enthusiasm for spontaneous activities and describes their enjoyment in detail, THEN openness is likely High because this suggests they are open to new experiences and living in the moment.",We drank and danced to 80s music! I kicked her butt in air hockey and we went to the zoo.,Moderate,1,Moderate,1
13,openness,Moderate,I hung out with my best friend when I was a teenager.   We were in San Diego in a rented condo.  We drank and danced to 80s music!  I kicked her butt in air hockey and we went to the zoo.  Shout out to Dassi.  I love you! Cant wait to do it again!  Let's go whale watching next time.,"Happy Birthday my Kub.  I love you so much and am praying that God blesses you with peace and happiness this year.  I know God is good, he brought me to you.   You are the best thing that has ever happened to me.  I pray for many more years together.  Love your Kewgar.  Happy Birthday my rub.",High,0,"IF a person’s language reflects a positive attitude toward upcoming plans or experiences, THEN openness is likely High because this suggests excitement for future opportunities and a willingness to embrace change.",Cant wait to do it again! Let's go whale watching next time.,Moderate,1,Moderate,1
14,openness,High,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,Low,0,"IF a person emphasizes their comfort in discussing familiar relationships without mentioning new experiences or activities, THEN openness is likely Low because this reveals a preference for the past and a lack of engagement with new possibilities.",I don't know where I would be without them. I'm so blessed to be able to call you guys my family.,Moderate,0,Moderate,0
14,openness,High,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,Low,0,"IF a person describes their friends or experiences in a general or vague manner without enthusiasm, THEN openness is likely Low because this indicates a lack of engagement with new experiences and a preference for familiarity.","Times Like This??Life can be complicated, but my people make it all worth it.",Moderate,0,Moderate,0
15,openness,High,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,1,"IF a person expresses excitement about reconnecting with old friends and describes their shared experiences in detail, THEN openness is likely High because this reflects a willingness to engage in social interactions and cherish relationships.",Just got back from a reunion with some friends from back home! These guys always had my back...,Moderate,0,Moderate,0
15,openness,High,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,1,"IF a person’s language reflects a positive attitude toward upcoming plans or experiences, THEN openness is likely High because this suggests excitement for future opportunities and a willingness to embrace change.",Hope to see you guys soon!!,Moderate,0,Moderate,0
15,openness,High,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,1,"IF a person expresses a desire to keep doing enjoyable activities, THEN openness is likely High because this shows an openness to experimentation and future experiences.","Happy birthday my love, I hope that we can spend many more together!",Moderate,0,Moderate,0
18,openness,Moderate,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",High,0,"IF a person expresses excitement about reconnecting with old friends and describes their shared experiences in detail, THEN openness is likely High because this reflects a willingness to engage in social interactions and cherish relationships.",It was great to catch up with everyone again after so long.,Moderate,1,High,0
18,openness,Moderate,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",High,0,"IF a person writes about engaging in a variety of enjoyable activities and expresses a desire to keep doing them, THEN openness is likely High because this shows an openness to experimentation and future experiences.",Here's to being not too old to dance the night away in true school disco style.,Moderate,1,High,0
18,openness,Moderate,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",High,0,"IF a person’s language reflects a positive attitude toward upcoming plans or experiences, THEN openness is likely High because this suggests excitement for future opportunities and a willingness to embrace change.","Here to cake, fizz and a fun-filled day of surprises.",Moderate,1,High,0
24,openness,High,"Had the best time ca tching up with my chilidhood friends last night! It’s amazing how, despite t he years, we fall riight back into those silly jokes and shared memories. From playing games in the backyard to reminis cing about our wild adventures, it was a great reminder of the b onds that shaped us","Happy Birtihday to the love of my life! i’m so grateful for every moment we share together. You bring so mucih joy and laughter into my world. I can’t wait to celebrate you today and make more amazinng memories! Here’s to another year of love, adventure, and all your dreams coming true. You deserve the best!",High,1,"IF a person expresses excitement about reconnecting with old friends and describes their shared experiences in detail, THEN openness is likely High because this reflects a willingness to engage in social interactions and cherish relationships.","Had the best time catching up with my childhood friends last night! It’s amazing how, despite the years, we fall right back into those silly jokes and shared memories.",High,1,High,1
24,openness,High,"Had the best time ca tching up with my chilidhood friends last night! It’s amazing how, despite t he years, we fall riight back into those silly jokes and shared memories. From playing games in the backyard to reminis cing about our wild adventures, it was a great reminder of the b onds that shaped us","Happy Birtihday to the love of my life! i’m so grateful for every moment we share together. You bring so mucih joy and laughter into my world. I can’t wait to celebrate you today and make more amazinng memories! Here’s to another year of love, adventure, and all your dreams coming true. You deserve the best!",High,1,"IF a person’s language reflects a positive attitude toward upcoming plans or experiences, THEN openness is likely High because this suggests excitement for future opportunities and a willingness to embrace change.","I can’t wait to celebrate you today and make more amazing memories! Here’s to another year of love, adventure, and all your dreams coming true.",High,1,High,1
26,openness,Moderate,"Loved loved loved seeing these guys today…the original OG’s from way back when I still had a fringe, wore double denim and was reading Shout magazine. Wah life goes by so fast.
I’m so lucky to have these guys still in my life today, we need to make these meet ups a more regular thing!","Happy Birthday to our one and only, our jam in the sandwich… have the best day. Me and the boys will be on our best behaviour today so get some rest and do something you enjoy. We love you along with everyone else who knows you. Wishing you the best of health wealth and happiness.",High,0,"IF a person expresses excitement about reconnecting with old friends and describes their shared experiences in detail, THEN openness is likely High because this reflects a willingness to engage in social interactions and cherish relationships.",Loved loved loved seeing these guys today…the original OG’s from way back when,Moderate,1,High,0
26,openness,Moderate,"Loved loved loved seeing these guys today…the original OG’s from way back when I still had a fringe, wore double denim and was reading Shout magazine. Wah life goes by so fast.
I’m so lucky to have these guys still in my life today, we need to make these meet ups a more regular thing!","Happy Birthday to our one and only, our jam in the sandwich… have the best day. Me and the boys will be on our best behaviour today so get some rest and do something you enjoy. We love you along with everyone else who knows you. Wishing you the best of health wealth and happiness.",High,0,"IF a person writes about engaging in a variety of enjoyable activities and expresses a desire to keep doing them, THEN openness is likely High because this shows an openness to experimentation and future experiences.",we need to make these meet ups a more regular thing!,Moderate,1,High,0
