p,trait,true level,post 1,post 2,pred rules,experts-rules score,matched rules,matched behaviors,pred with few-shot,few-shot score,pred with zero-shot,zero-shot score
5,openness,Low,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Moderate,0,"IF a person reflects on their childhood experiences and sustains long-standing friendships without indicating a desire for new interactions, THEN openness is likely Low because this suggests a preference for familiar over new experiences.",Lovely to catch up with some old friends and reminisce on childhood memories!,Moderate,0,High,0
5,openness,Low,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Moderate,0,"IF a person indicates enjoyment in planning or participating in social events, THEN openness is likely High because this reflects a willingness to engage socially and explore new experiences.",hope to catch up with you all again sometime soon and make more brilliant memories,Moderate,0,High,0
5,openness,Low,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Moderate,0,"IF a person expresses a carefree attitude about spontaneous activities, THEN openness is likely High because it reflects a willingness to embrace new experiences without constraints.",hope to catch up with you all again sometime soon and make more brilliant memories,Moderate,0,High,0
6,openness,Moderate,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,0,"IF a person expresses excitement about catching up with friends after a long time apart, THEN openness is likely High because this indicates a positive attitude towards reconnecting and possible new experiences.",I have reunited with my childhood friends and I was so excited.,Moderate,1,High,0
6,openness,Moderate,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,0,"IF a person expresses enjoyment in planning or participating in social events, THEN openness is likely High because this reflects a willingness to engage socially and explore new experiences.",I wish you the best of many days and years to come and I hope you find my gifts splendid as well as everyone else's.,Moderate,1,High,0
8,openness,Moderate,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",High,0,"IF a person expresses excitement about catching up with friends after a long time apart, THEN openness is likely High because this indicates a positive attitude towards reconnecting and possible new experiences.","I cant believe its been so long since we all met, had so much fun seeing you all again and catching up.",Moderate,1,High,0
8,openness,Moderate,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",High,0,"IF a person mentions looking forward to future activities or celebrations with others, THEN openness is likely High because it shows enthusiasm for future experiences and new adventures.","cant wait to celebrate every birthday with you, even when we are old we'll still have each others company.",Moderate,1,High,0
8,openness,Moderate,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",High,0,"IF a person uses lively and expressive language about current gatherings and events, THEN openness is likely High because this reflects an engaging and enthusiastic approach to social interactions.",Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people.,Moderate,1,High,0
9,openness,High,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",High,1,"IF a person expresses excitement about catching up with friends after a long time apart, THEN openness is likely High because this indicates a positive attitude towards reconnecting and possible new experiences.",It was so lovely to catch up with all of you. It has been way too long since we last saw each other.,Moderate,0,Moderate,0
9,openness,High,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",High,1,"IF a person mentions looking forward to future activities or celebrations with others, THEN openness is likely High because it shows enthusiasm for future experiences and new adventures.",I look forward to spending the next year with you.,Moderate,0,Moderate,0
