p,trait,true level,post 1,post 2,pred rules,experts-rules score,matched rules,matched behaviors,pred with few-shot,few-shot score,pred with zero-shot,zero-shot score
4,openness,High,"Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time. It's great to see all these familiar faces smiling back at me! I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!","Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more! I know that you will a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way. Enjoy your day, take some time to yourself and start back to work tomorrow. L,S",High,1,"IF a person shares a post expressing excitement about meeting childhood friends after a long time and describes it as an unforgettable experience, THEN openness is likely High because they demonstrate an eagerness for new and meaningful social interactions.",I am so excited to be here and catch up on all that we missed over time.,Moderate,0,High,1
4,openness,High,"Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time. It's great to see all these familiar faces smiling back at me! I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!","Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more! I know that you will a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way. Enjoy your day, take some time to yourself and start back to work tomorrow. L,S",High,1,"IF a person appreciates personal connections and expresses excitement for future experiences with loved ones, THEN openness is likely High because they indicate a commitment to growth and shared adventures.",I know that you will have a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way.,Moderate,0,High,1
4,openness,High,"Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time. It's great to see all these familiar faces smiling back at me! I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!","Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more! I know that you will a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way. Enjoy your day, take some time to yourself and start back to work tomorrow. L,S",High,1,"IF a person expresses a carefree attitude towards social gatherings and shows a willingness to go with the flow, THEN openness is likely High because they exhibit a tendency to embrace new situations spontaneously.",Wow! It's so great to see everyone after all this time!,Moderate,0,High,1
8,openness,Moderate,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Low,0,"IF a person expresses gratitude for experiences with friends while reminiscing about the past without mentioning new activities or changes, THEN openness is likely Low because they focus on familiar memories rather than exploring new experiences.",I remember when we used to go out on our bikes for hours now we all have our own houses.,Moderate,1,High,0
8,openness,Moderate,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Low,0,"IF a person discusses past gatherings with friends and indicates they want to maintain the same activities rather than seeking new experiences, THEN openness is likely Low because they show a preference for familiar social settings over exploring new opportunities.",we should make this an annual thing every year.,Moderate,1,High,0
11,openness,Moderate,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",High,0,"IF a person shares a post expressing excitement about meeting childhood friends after a long time and describes it as an unforgettable experience, THEN openness is likely High because they demonstrate an eagerness for new and meaningful social interactions.",I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up.,High,0,High,0
11,openness,Moderate,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",High,0,"IF a person appreciates personal connections and expresses excitement for future experiences with loved ones, THEN openness is likely High because they indicate a commitment to growth and shared adventures.",i can't wait to update you guys on the plans we have to catch up.,High,0,High,0
12,openness,Low,"Had a great catch up with my old school pals. 
Dinner was lovely and lots of laughs and drinks as usual! Always great to see them and amazing that we are all still friends after over 30 years.
Can't wait until the next one in December . Hope everyone can make it as it's going to be a special trip!","Wishing you the happiest of birthdays. You deserve to have the best day!
Thanks for being the most amazing and supportive partner.
We all appreciate everything you do for us .
We hope you love your surprise party .. you won't read this until after , so it's safe to write this :-) Lots of love ...",Moderate,0,"IF a person shares a post expressing excitement about meeting childhood friends after a long time and describes it as an unforgettable experience, THEN openness is likely High because they demonstrate an eagerness for new and meaningful social interactions.",Had a great catch up with my old school pals. Can't wait until the next one in December.,Moderate,0,Moderate,0
12,openness,Low,"Had a great catch up with my old school pals. 
Dinner was lovely and lots of laughs and drinks as usual! Always great to see them and amazing that we are all still friends after over 30 years.
Can't wait until the next one in December . Hope everyone can make it as it's going to be a special trip!","Wishing you the happiest of birthdays. You deserve to have the best day!
Thanks for being the most amazing and supportive partner.
We all appreciate everything you do for us .
We hope you love your surprise party .. you won't read this until after , so it's safe to write this :-) Lots of love ...",Moderate,0,"IF a person discusses past gatherings with friends and indicates they want to maintain the same activities rather than seeking new experiences, THEN openness is likely Low because they show a preference for familiar social settings over exploring new opportunities.",Dinner was lovely and lots of laughs and drinks as usual!,Moderate,0,Moderate,0
12,openness,Low,"Had a great catch up with my old school pals. 
Dinner was lovely and lots of laughs and drinks as usual! Always great to see them and amazing that we are all still friends after over 30 years.
Can't wait until the next one in December . Hope everyone can make it as it's going to be a special trip!","Wishing you the happiest of birthdays. You deserve to have the best day!
Thanks for being the most amazing and supportive partner.
We all appreciate everything you do for us .
We hope you love your surprise party .. you won't read this until after , so it's safe to write this :-) Lots of love ...",Moderate,0,"IF a person appreciates personal connections and expresses excitement for future experiences with loved ones, THEN openness is likely High because they indicate a commitment to growth and shared adventures.",Thanks for being the most amazing and supportive partner. We hope you love your surprise party.,Moderate,0,Moderate,0
