p,trait,true level,post 1,post 2,pred rules,experts-rules score,matched rules,matched behaviors,pred with few-shot,few-shot score,pred with zero-shot,zero-shot score
2,openness,High,"Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well, who'll see you through anything and everything. And no matter how old we get are still up for a good girls night out, even if it now takes us two days to recover! Night at Sixways is always the best, love this place, and Love you all ???? ","It's official, he's getting older! Happy birthday to my gorgeous husband, another year old and not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find. Looking forward to spoiling you rotten today - and maybe a few surprises this weekend! Happy birthday favourite human xoxo",High,1,"IF a person expresses excitement about reuniting with friends and shares the joy of the experience in a post, THEN openness is likely High because it demonstrates a willingness to engage with new experiences and emotions.",Such a great night with this incredible bunch,Moderate,0,High,1
2,openness,High,"Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well, who'll see you through anything and everything. And no matter how old we get are still up for a good girls night out, even if it now takes us two days to recover! Night at Sixways is always the best, love this place, and Love you all ???? ","It's official, he's getting older! Happy birthday to my gorgeous husband, another year old and not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find. Looking forward to spoiling you rotten today - and maybe a few surprises this weekend! Happy birthday favourite human xoxo",High,1,"IF a person mentions having fun with friends and describes the enjoyment of various activities, THEN openness is likely High because it indicates an eagerness to participate in diverse experiences.",still up for a good girls night out,Moderate,0,High,1
2,openness,High,"Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well, who'll see you through anything and everything. And no matter how old we get are still up for a good girls night out, even if it now takes us two days to recover! Night at Sixways is always the best, love this place, and Love you all ???? ","It's official, he's getting older! Happy birthday to my gorgeous husband, another year old and not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find. Looking forward to spoiling you rotten today - and maybe a few surprises this weekend! Happy birthday favourite human xoxo",High,1,"IF a person mentions having planned a celebration or event, showing anticipation for it, THEN openness is likely High because it suggests a willingness to engage in new activities and experiences.",Looking forward to spoiling you rotten today - and maybe a few surprises this weekend!,Moderate,0,High,1
3,openness,Low,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Low,1,"IF a person describes attending a reunion with friends and refers to it as a common or typical event without conveying enthusiasm, THEN openness is likely Low because it suggests a preference for familiar experiences over new ones.",We love spending time together and chilling out.,Moderate,0,Moderate,0
3,openness,Low,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Low,1,"IF a person shows gratitude for long-standing friendships and emphasizes the importance of these ties, THEN openness is likely Low because it indicates a preference for established relationships rather than seeking new connections or experiences.",I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you.,Moderate,0,Moderate,0
5,openness,Low,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",High,0,"IF a person expresses excitement about reuniting with friends and shares the joy of the experience in a post, THEN openness is likely High because it demonstrates a willingness to engage with new experiences and emotions.",Lovely to catch up with some old friends and reminisce on childhood memories!,Moderate,0,High,0
5,openness,Low,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",High,0,"IF a person reflects on their childhood and childhood friends with enthusiasm and a sense of nostalgia, THEN openness is likely High because it suggests an appreciation for the past and the experiences that shaped them while also indicating openness to nostalgia-driven reflection.",It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them.,Moderate,0,High,0
5,openness,Low,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",High,0,"IF a person mentions having planned a celebration or event, showing anticipation for it, THEN openness is likely High because it suggests a willingness to engage in new activities and experiences.",hope you have the best day and make the best memories!,Moderate,0,High,0
7,openness,Low,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,High,0,"IF a person reflects on their childhood and childhood friends with enthusiasm and a sense of nostalgia, THEN openness is likely High because it suggests an appreciation for the past and the experiences that shaped them while also indicating openness to nostalgia-driven reflection.","Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us.",Moderate,0,Moderate,0
7,openness,Low,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,High,0,"IF a person mentions having fun with friends and describes the enjoyment of various activities, THEN openness is likely High because it indicates an eagerness to participate in diverse experiences.",Had a lovely time with the girls today.,Moderate,0,Moderate,0
