p,trait,true level,post 1,post 2,pred rules,experts-rules score,matched rules,matched behaviors,pred with few-shot,few-shot score,pred with zero-shot,zero-shot score
3,openness,Low,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Low,1,"IF a person mentions doing the same common activities with friends from the past, THEN openness is likely Low because they show a preference for familiar routines rather than new experiences",We love spending time together and chilling out.,Moderate,0,High,0
3,openness,Low,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Low,1,"IF a person frequently emphasizes their comfort in routine and past experiences without leaning into future possibilities, THEN openness is likely Low as it shows a lack of desire for exploration.",I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you.,Moderate,0,High,0
6,openness,Moderate,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,0,"IF a person expresses excitement about meeting friends from the past and shows positive emotions toward reminiscing, THEN openness is likely High because they are open to revisiting past experiences and reconnecting with others",I have reunited with my childhood friends and I was so excited.,Moderate,1,High,0
6,openness,Moderate,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,0,"IF a person uses vivid language to describe social interactions and conveys emotions of joy and nostalgia, THEN openness is likely High because they engage deeply with their experiences",it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable.,Moderate,1,High,0
6,openness,Moderate,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,0,"IF a person talks about how their experiences have enriched their life and expresses appreciation for the past, THEN openness is likely High because they show awareness and acceptance of change and growth",the fact that you used to be so close with them is shocking!,Moderate,1,High,0
7,openness,Low,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,Moderate,0,"IF a person expresses excitement about meeting friends from the past and shows positive emotions toward reminiscing, THEN openness is likely High because they are open to revisiting past experiences and reconnecting with others","Had a lovely time with the girls today, we went to our favourite childhood restaurant.",Moderate,0,High,0
7,openness,Low,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,Moderate,0,"IF a person reflects on past experiences with friends without expressing interest in new activities, THEN openness is likely Low because they appear focused on established, unchanging aspects of their social life",We used to go here after school finished and order 1 plate of chips between us haha.,Moderate,0,High,0
7,openness,Low,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,Moderate,0,"IF a person talks about how their experiences have enriched their life and expresses appreciation for the past, THEN openness is likely High because they show awareness and acceptance of change and growth.","15 years of friendship down, a lifetime to go.",Moderate,0,High,0
7,openness,Low,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,Moderate,0,"IF a person communicates in a formal or serious manner and uses language that lacks enthusiasm, THEN openness is likely Low because it suggests a disinterest in exploring new emotional experiences",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha.,Moderate,0,High,0
9,openness,High,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",High,1,"IF a person expresses excitement about meeting friends from the past and shows positive emotions toward reminiscing, THEN openness is likely High because they are open to revisiting past experiences and reconnecting with others",It was so lovely to catch up with all of you. It has been way too long since we last saw each other.,Moderate,0,High,1
