p,trait,true level,post 1,post 2,pred rules,experts-rules score,matched rules,matched behaviors,pred with few-shot,few-shot score,pred with zero-shot,zero-shot score
1,openness,High,OMG we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night,I just want to shout out happy birthday to my amazing husband he always does everything for us and gets up and goes to work and works hard everyday to provide everything that we need I just want to say I'm so grateful for him and everything he has done for me and our children and I will continue to be grateful everyday,High,1,"IF a person describes having a positive and engaging experience at a social gathering with detailed observations about the environment and activities, THEN openness is likely High because it shows an appreciation for new experiences and social interactions.",we went to the movie theater and watched a new movie and had fun... we was throwing popcorn at him to get his attention... we talked and exchanged phone numbers,Moderate,0,High,1
1,openness,High,OMG we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night,I just want to shout out happy birthday to my amazing husband he always does everything for us and gets up and goes to work and works hard everyday to provide everything that we need I just want to say I'm so grateful for him and everything he has done for me and our children and I will continue to be grateful everyday,High,1,"IF a person expresses enthusiasm about attempting something new or engaging in spontaneous activities, THEN openness is likely High because it reflects a desire for variety and adventure.",we went to the movie theater and watched a new movie and had fun,Moderate,0,High,1
2,openness,High,"Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well, who'll see you through anything and everything. And no matter how old we get are still up for a good girls night out, even if it now takes us two days to recover! Night at Sixways is always the best, love this place, and Love you all ???? ","It's official, he's getting older! Happy birthday to my gorgeous husband, another year old and not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find. Looking forward to spoiling you rotten today - and maybe a few surprises this weekend! Happy birthday favourite human xoxo",High,1,"IF a person describes having a positive and engaging experience at a social gathering with detailed observations about the environment and activities, THEN openness is likely High because it shows an appreciation for new experiences and social interactions.",Such a great night with this incredible bunch... Night at Sixways is always the best...,High,1,High,1
2,openness,High,"Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well, who'll see you through anything and everything. And no matter how old we get are still up for a good girls night out, even if it now takes us two days to recover! Night at Sixways is always the best, love this place, and Love you all ???? ","It's official, he's getting older! Happy birthday to my gorgeous husband, another year old and not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find. Looking forward to spoiling you rotten today - and maybe a few surprises this weekend! Happy birthday favourite human xoxo",High,1,"IF a person expresses enthusiasm about attempting something new or engaging in spontaneous activities, THEN openness is likely High because it reflects a desire for variety and adventure.",Looking forward to spoiling you rotten today - and maybe a few surprises this weekend!,High,1,High,1
7,openness,Low,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,Low,1,"IF a person reflects on past memories with a sense of nostalgia while primarily engaging in familiar activities in their posts, THEN openness is likely Low because it suggests a preference for routine and past experiences over new ones",we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us,Moderate,0,High,0
7,openness,Low,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,Low,1,"IF a person spends time reminiscing about past relationships and activities without indicating any new or varied experiences, THEN openness is likely Low because it indicates a focus on familiar past experiences rather than exploration of new avenues","15 years of friendship down, a lifetime to go",Moderate,0,High,0
11,openness,Moderate,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",High,0,"IF a person expresses excitement about reuniting with friends after a long time in a post, THEN openness is likely High because it indicates a willingness to embrace new experiences and connections","I have really missed them, I saw them last about 8 years ago but we've always been in communication. I'm so happy to see them",High,0,High,0
11,openness,Moderate,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",High,0,"IF a person describes having a positive and engaging experience at a social gathering with detailed observations about the environment and activities, THEN openness is likely High because it shows an appreciation for new experiences and social interactions",I can't wait to update you guys on the plans we have to catch up,High,0,High,0
18,openness,Moderate,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",High,0,"IF a person expresses excitement about reuniting with friends after a long time in a post, THEN openness is likely High because it indicates a willingness to embrace new experiences and connections",It was great to catch up with everyone again after so long.,Moderate,1,High,0
18,openness,Moderate,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",High,0,"IF a person describes having a positive and engaging experience at a social gathering with detailed observations about the environment and activities, THEN openness is likely High because it shows an appreciation for new experiences and social interactions","School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true.",Moderate,1,High,0
18,openness,Moderate,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",High,0,"IF a person expresses enthusiasm about attempting something new or engaging in spontaneous activities, THEN openness is likely High because it reflects a desire for variety and adventure",Here's to being not too old to dance the night away in true school disco style.,Moderate,1,High,0
