p,true_label,few_shot_pred,few_shot_score,zero_shot_pred,zero_shot_score,rep
1,High,High,1,High,1,2
2,High,High,1,High,1,2
10,High,High,1,High,1,2
12,Moderate,Moderate,1,High,0,2
14,High,Moderate,0,High,1,2
15,High,Moderate,0,High,1,2
20,High,Moderate,0,High,1,2
23,Low,High,0,High,0,2
26,High,High,1,High,1,2
33,Low,High,0,High,0,2
35,High,Moderate,0,High,1,2
37,Moderate,Moderate,1,High,0,2
41,High,Moderate,0,High,1,2
42,High,Moderate,0,High,1,2
47,High,Moderate,0,High,1,2
49,Moderate,Moderate,1,High,0,2
50,Low,Moderate,0,High,0,2
51,High,High,1,High,1,2
54,High,High,1,High,1,2
59,High,High,1,High,1,2
3,Moderate,Moderate,1,High,0,2
8,Moderate,High,0,High,0,2
9,Moderate,Moderate,1,High,0,2
11,Low,High,0,High,0,2
13,Moderate,High,0,High,0,2
17,High,High,1,High,1,2
18,Low,High,0,High,0,2
27,Low,Low,1,Moderate,0,2
29,Moderate,Moderate,1,High,0,2
36,High,High,1,High,1,2
40,Moderate,Moderate,1,High,0,2
43,Low,High,0,High,0,2
45,Moderate,Moderate,1,High,0,2
48,Low,High,0,High,0,2
52,Low,Moderate,0,High,0,2
53,Moderate,High,0,High,0,2
56,Moderate,High,0,High,0,2
57,Low,Moderate,0,Moderate,0,2
58,Low,Moderate,0,High,0,2
60,Low,Moderate,0,Moderate,0,2
4,Moderate,High,0,High,0,2
5,Low,High,0,High,0,2
6,High,High,1,High,1,2
7,High,High,1,High,1,2
16,Low,High,0,High,0,2
19,Moderate,High,0,High,0,2
21,Low,High,0,High,0,2
22,Low,Moderate,0,High,0,2
24,High,High,1,High,1,2
25,Moderate,High,0,High,0,2
28,Low,High,0,High,0,2
30,Low,High,0,High,0,2
31,High,High,1,High,1,2
32,Moderate,High,0,High,0,2
34,Moderate,Moderate,1,High,0,2
38,Low,Low,1,Moderate,0,2
39,Moderate,High,0,High,0,2
44,Low,Moderate,0,High,0,2
46,Moderate,High,0,High,0,2
55,Moderate,High,0,High,0,2
